date,open,high,low,close,volume
2026-05-26,77322.01000000,78080.00000000,75677.97000000,75930.01000000,16953.47629000
2026-05-27,75930.01000000,76174.15000000,74243.99000000,74449.30000000,16877.77483000
2026-05-28,74449.31000000,74590.77000000,72582.82000000,73617.51000000,21274.02026000
2026-05-29,73617.52000000,74514.10000000,72512.49000000,73460.78000000,18686.74141000
2026-05-30,73460.78000000,74143.76000000,73216.00000000,73884.38000000,7515.40909000
2026-05-31,73884.38000000,74275.66000000,73400.00000000,73674.39000000,6986.45707000
2026-06-01,73674.39000000,74092.00000000,70686.68000000,71408.90000000,23921.09184000
2026-06-02,71408.90000000,71408.90000000,66193.00000000,66760.83000000,32858.19586000
2026-06-03,66760.84000000,67516.00000000,64092.49000000,64142.75000000,30138.30650000
2026-06-04,64142.75000000,64764.32000000,61383.56000000,63885.99000000,43577.17571000
2026-06-05,63885.99000000,63978.00000000,59130.91000000,61056.47000000,55027.28807000
2026-06-06,61056.47000000,61530.05000000,59500.00000000,60884.62000000,19795.58877000
2026-06-07,60884.62000000,64234.68000000,60746.00000000,63332.01000000,26612.10443000
2026-06-08,63332.01000000,64200.00000000,62408.00000000,63085.99000000,23053.38624000
2026-06-09,63086.00000000,63526.01000000,60780.00000000,61730.00000000,21636.21959000
2026-06-10,61730.00000000,62857.99000000,60755.00000000,61510.99000000,15998.71652000
2026-06-11,61510.99000000,63933.02000000,61510.99000000,63625.99000000,17380.94642000
2026-06-12,63626.00000000,64394.44000000,62829.81000000,63580.01000000,16397.05240000
2026-06-13,63580.00000000,64762.77000000,63418.66000000,64458.01000000,9960.74163000
2026-06-14,64458.01000000,65800.00000000,63678.83000000,65746.45000000,13203.03375000
2026-06-15,65746.45000000,67292.15000000,65354.00000000,66328.74000000,18559.80102000
2026-06-16,66328.74000000,66992.00000000,65360.92000000,65675.01000000,14302.05801000
2026-06-17,65675.02000000,66445.93000000,63915.77000000,64509.40000000,19048.65409000
2026-06-18,64509.40000000,64806.00000000,62272.07000000,62958.01000000,16935.59661000
2026-06-19,62958.01000000,63666.00000000,62316.44000000,63543.91000000,14247.42400000
2026-06-20,63543.90000000,64388.00000000,63184.21000000,64298.01000000,9522.10324000
2026-06-21,64298.01000000,64588.00000000,63270.00000000,63311.99000000,8034.66333000
2026-06-22,63312.00000000,65622.83000000,63312.00000000,64020.01000000,15423.10851000
2026-06-23,64020.01000000,64275.38000000,61938.00000000,62734.57000000,20222.99292000
2026-06-24,62734.57000000,63239.06000000,59102.70000000,61077.99000000,30678.28543000
2026-06-25,61078.00000000,61962.40000000,58115.01000000,59794.00000000,30386.00694000
2026-06-26,59794.64000000,60759.99000000,58337.00000000,60097.27000000,27403.55723000
2026-06-27,60097.27000000,60941.17000000,59855.16000000,60029.00000000,9587.22916000
2026-06-28,60029.01000000,60545.01000000,58905.00000000,59577.01000000,8907.13796000
2026-06-29,59577.01000000,60780.57000000,58900.01000000,60260.21000000,20203.14178000
2026-06-30,60260.20000000,60276.54000000,58201.00000000,58624.71000000,19639.82787000
2026-07-01,58624.71000000,61334.00000000,57800.19000000,60024.00000000,25093.44662000
2026-07-02,60024.00000000,62200.00000000,59588.00000000,61560.00000000,21382.14163000
2026-07-03,61560.00000000,62979.86000000,61248.86000000,62583.26000000,14048.98627000
2026-07-04,62583.26000000,63461.99000000,62328.24000000,63144.01000000,9139.82740000
2026-07-05,63144.01000000,63999.00000000,62436.59000000,63650.00000000,9172.07758000
2026-07-06,63650.01000000,64700.00000000,61306.84000000,64042.02000000,21435.28437000
2026-07-07,64042.93000000,64314.00000000,62671.39000000,63363.99000000,16834.20823000
2026-07-08,63364.00000000,63761.99000000,61544.56000000,62290.00000000,18620.09796000
2026-07-09,62290.01000000,63500.00000000,61705.29000000,63230.00000000,16742.80672000
2026-07-10,63230.01000000,64692.83000000,62926.01000000,64161.72000000,17589.00122000
2026-07-11,64161.72000000,64504.11000000,63819.00000000,63819.00000000,9151.97432000
2026-07-12,63819.01000000,64290.11000000,63640.83000000,63780.00000000,13914.83703000
2026-07-13,63780.00000000,64425.00000000,61824.97000000,62334.52000000,21682.50204000
2026-07-14,62334.52000000,65100.00000000,62272.20000000,65043.98000000,20552.41384000
2026-07-15,65043.99000000,65600.00000000,64485.00000000,64756.28000000,18401.89741000
2026-07-16,64756.28000000,64997.52000000,63748.74000000,63830.20000000,18764.52679000
2026-07-17,63830.20000000,64387.99000000,62537.56000000,63931.67000000,18189.89389000
2026-07-18,63931.67000000,64865.00000000,63886.65000000,64834.22000000,8031.18012000
2026-07-19,64834.21000000,64967.25000000,64280.00000000,64722.54000000,8379.91474000
2026-07-20,64722.55000000,65799.00000000,63100.00000000,65255.51000000,21323.48702000
2026-07-21,65255.51000000,66956.15000000,65148.75000000,66556.16000000,18618.28087000
2026-07-22,66556.15000000,66739.89000000,65553.67000000,66114.49000000,18074.86602000
2026-07-23,66114.50000000,66313.14000000,64650.00000000,65098.97000000,14698.22673000
2026-07-24,65098.98000000,65808.59000000,63739.75000000,64139.99000000,16821.27180000
2026-07-25,64140.00000000,64475.28000000,63810.00000000,64375.00000000,8863.05030000
2026-07-26,64375.01000000,65577.00000000,64293.81000000,65399.99000000,7933.06089000
2026-07-27,65400.00000000,65744.60000000,63605.56000000,63755.86000000,14791.90543000
2026-07-28,63755.86000000,64100.00000000,62742.47000000,63915.00000000,13889.82996000
2026-07-29,63915.00000000,64744.81000000,63267.34000000,63984.28000000,16780.11912000
2026-07-30,63984.29000000,65176.60000000,63603.92000000,64780.02000000,17131.58486000
2026-07-31,64780.03000000,65409.56000000,62466.00000000,62887.88000000,20475.60686000
2026-08-01,62887.88000000,63150.00000000,62275.00000000,62823.64000000,7563.08904000
2026-08-02,62823.65000000,63796.33000000,62806.58000000,63570.00000000,8387.01154000
2026-08-03,63570.01000000,64080.00000000,62300.00000000,63520.00000000,15543.29743000
2026-08-04,63520.00000000,64549.16000000,63322.01000000,64106.56000000,13690.47909000
2026-08-05,64106.55000000,65025.22000000,63880.00000000,64665.23000000,12742.85528000
2026-08-06,64665.24000000,64999.00000000,64172.00000000,64323.61000000,9864.43284000
2026-08-07,64323.61000000,65390.99000000,64166.00000000,64923.19000000,11807.40403000
2026-08-08,64923.20000000,65192.54000000,64784.19000000,64962.60000000,5760.14298000
2026-08-09,64962.60000000,65474.46000000,64730.08000000,64901.59000000,7031.23606000
2026-08-10,64901.59000000,65391.14000000,63806.27000000,63970.01000000,13638.40877000
2026-08-11,63970.01000000,64515.43000000,63238.00000000,63600.00000000,12891.63248000
2026-08-12,63600.01000000,64500.00000000,63310.34000000,63479.99000000,13627.06822000
2026-08-13,63479.99000000,64010.00000000,62802.27000000,63490.86000000,10793.85853000
2026-08-14,63490.86000000,63617.45000000,62535.24000000,63043.56000000,12340.82899000
