date,open,high,low,close,volume
2026-05-26,1.00064000,1.00136000,1.00060000,1.00110000,3607809686.00000000
2026-05-27,1.00110000,1.00177000,1.00106000,1.00113000,2839358218.00000000
2026-05-28,1.00113000,1.02190000,1.00091000,1.00096000,1929704184.00000000
2026-05-29,1.00096000,1.00114000,1.00087000,1.00089000,1344554545.00000000
2026-05-30,1.00088000,1.00114000,1.00077000,1.00105000,659707804.00000000
2026-05-31,1.00104000,1.00115000,1.00098000,1.00107000,490002183.00000000
2026-06-01,1.00107000,1.01200000,1.00063000,1.00093000,2097596324.00000000
2026-06-02,1.00092000,1.00199000,1.00086000,1.00101000,2337620845.00000000
2026-06-03,1.00102000,1.00126000,1.00082000,1.00104000,2260213025.00000000
2026-06-04,1.00104000,1.00108000,1.00048000,1.00075000,2362364047.00000000
2026-06-05,1.00076000,1.00089000,0.99990000,1.00001000,2612193841.00000000
2026-06-06,1.00000000,1.00026000,0.99996000,1.00017000,885888807.00000000
2026-06-07,1.00018000,1.00020000,1.00004000,1.00016000,918978696.00000000
2026-06-08,1.00015000,1.00070000,1.00001000,1.00007000,1712720721.00000000
2026-06-09,1.00008000,1.00068000,1.00007000,1.00040000,1584632638.00000000
2026-06-10,1.00040000,1.00086000,1.00037000,1.00069000,1642695429.00000000
2026-06-11,1.00069000,1.01000000,1.00065000,1.00073000,2006094923.00000000
2026-06-12,1.00072000,1.00121000,1.00018000,1.00030000,2137650236.00000000
2026-06-13,1.00030000,1.00043000,1.00018000,1.00021000,733222354.00000000
2026-06-14,1.00021000,1.00038000,1.00012000,1.00034000,654358566.00000000
2026-06-15,1.00035000,1.00055000,1.00018000,1.00035000,2092414237.00000000
2026-06-16,1.00035000,1.00079000,1.00031000,1.00070000,1459106418.00000000
2026-06-17,1.00069000,1.00077000,1.00040000,1.00063000,1648464961.00000000
2026-06-18,1.00064000,1.00116000,1.00055000,1.00089000,1765277005.00000000
2026-06-19,1.00089000,1.00090000,1.00060000,1.00068000,887570423.00000000
2026-06-20,1.00069000,1.00097000,1.00065000,1.00093000,549888298.00000000
2026-06-21,1.00093000,1.00105000,1.00090000,1.00096000,506791524.00000000
2026-06-22,1.00096000,1.00102000,1.00073000,1.00086000,1559172431.00000000
2026-06-23,1.00087000,1.00100000,1.00080000,1.00096000,1657537814.00000000
2026-06-24,1.00096000,1.00164000,1.00094000,1.00129000,1853540211.00000000
2026-06-25,1.00128000,1.00180000,1.00103000,1.00116000,2377246246.00000000
2026-06-26,1.00116000,1.00126000,1.00100000,1.00108000,2517319055.00000000
2026-06-27,1.00108000,1.00134000,1.00108000,1.00116000,688626442.00000000
2026-06-28,1.00115000,1.00128000,1.00104000,1.00117000,767633497.00000000
2026-06-29,1.00117000,1.00429000,1.00101000,1.00106000,2690979396.00000000
2026-06-30,1.00105000,1.00147000,1.00096000,1.00112000,2446245127.00000000
2026-07-01,1.00113000,1.00144000,1.00051000,1.00075000,2187195653.00000000
2026-07-02,1.00076000,1.00150000,1.00053000,1.00096000,1880258255.00000000
