date,open,high,low,close,volume
2026-05-26,77255.00,78002.74,75559.41,75820.94,1137.32088336
2026-05-27,75820.95,76047.00,74127.01,74330.48,881.66520786
2026-05-28,74330.47,74461.71,72461.53,73519.16,1415.43760493
2026-05-29,73526.41,74223.00,72394.58,73373.29,968.72667883
2026-05-30,73373.30,74024.77,73125.86,73762.15,357.56268745
2026-05-31,73775.00,74162.97,73289.97,73567.99,421.37448096
2026-06-01,73568.00,73984.48,70574.13,71313.86,1811.51510088
2026-06-02,71305.47,71309.61,66099.58,66668.60,3062.12034726
2026-06-03,66669.99,67417.99,63991.31,64045.64,2990.47757587
2026-06-04,64045.63,64687.36,61310.19,63814.80,5828.84132012
2026-06-05,63811.00,63915.41,59100.00,61042.14,5485.96092016
2026-06-06,61032.64,61503.35,59485.04,60858.64,1210.53410993
2026-06-07,60850.82,64196.66,60717.66,63315.72,1423.34858338
2026-06-08,63306.56,64191.09,62370.00,63061.78,2143.33985315
2026-06-09,63068.48,63491.41,60718.00,61685.44,2619.16979905
2026-06-10,61685.43,62808.52,60678.99,61456.49,2140.36256101
2026-06-11,61452.99,63840.01,61452.99,63558.21,1556.87947910
2026-06-12,63558.20,64348.63,62761.04,63531.04,1263.51892611
2026-06-13,63539.04,64742.88,63409.94,64440.00,561.39256420
2026-06-14,64423.99,65758.99,63642.58,65712.50,779.26765605
2026-06-15,65713.19,67253.17,65315.92,66282.05,1590.05635192
2026-06-16,66282.05,66949.01,65301.00,65612.86,1296.44629285
2026-06-17,65612.85,66390.79,63861.31,64443.27,1568.83412340
2026-06-18,64448.09,64754.21,62178.00,62889.92,1547.32883980
2026-06-19,62889.92,63606.48,62245.01,63487.34,918.36907249
2026-06-20,63487.34,64334.69,63133.21,64245.72,610.71977158
2026-06-21,64225.99,64522.00,63197.23,63237.18,551.09674747
2026-06-22,63237.17,65555.13,63237.17,63948.96,1437.39073712
2026-06-23,63948.95,64199.85,61860.01,62651.43,1351.74022349
2026-06-24,62651.43,63137.00,59018.45,60987.00,2180.37620984
2026-06-25,60981.45,61865.72,58035.28,59696.26,2130.48721866
2026-06-26,59710.91,60656.42,58240.91,60019.38,2185.00058617
2026-06-27,60021.01,60850.00,59766.78,59940.07,508.53190375
2026-06-28,59940.06,60447.61,58806.76,59473.29,634.06945764
2026-06-29,59473.29,60692.20,58800.83,60163.86,1820.90791220
2026-06-30,60163.85,60184.93,58076.49,58526.17,1527.12409907
2026-07-01,58526.63,61280.50,57734.63,59963.46,1390.17261075
2026-07-02,59957.30,62136.70,59523.85,61479.10,1886.84255097
2026-07-03,61478.28,62894.88,61169.93,62522.46,1067.97160731
2026-07-04,62522.45,63454.80,62279.50,63086.18,606.07859629
2026-07-05,63089.64,63945.23,62389.98,63587.06,590.31403493
2026-07-06,63587.05,64657.29,61246.23,64000.10,1497.89511585
2026-07-07,64000.11,64263.34,62605.01,63311.30,1305.02995553
2026-07-08,63322.54,63711.85,61480.73,62237.84,902.04205645
2026-07-09,62238.20,63442.98,61641.44,63185.92,879.06661154
2026-07-10,63179.96,64653.09,62883.44,64114.25,989.88205770
2026-07-11,64116.45,64467.19,63777.01,63780.01,373.71337011
2026-07-12,63780.00,64233.00,63588.71,63743.46,358.98577813
2026-07-13,63743.51,64384.90,61750.06,62256.81,1038.09649603
2026-07-14,62256.80,65063.99,62203.26,64975.72,1066.83456731
2026-07-15,65000.00,65518.04,64435.14,64713.83,1005.03285047
2026-07-16,64713.83,64941.56,63700.01,63788.02,795.59627502
2026-07-17,63782.65,64347.12,62470.01,63891.98,1173.51036409
2026-07-18,63891.98,64825.94,63849.77,64792.35,387.44873134
2026-07-19,64792.57,64918.84,64239.27,64681.58,480.10924279
2026-07-20,64688.70,65747.46,63705.77,65212.60,1506.90189803
2026-07-21,65212.60,66920.74,65108.55,66518.68,1289.11475833
2026-07-22,66519.80,66697.57,65488.36,66082.49,984.25922288
2026-07-23,66086.87,66268.25,64590.00,65050.48,1131.52154987
2026-07-24,65050.47,65765.40,63666.00,64086.59,916.37917245
2026-07-25,64086.59,64384.68,63744.38,64307.90,351.44623629
2026-07-26,64306.95,65518.58,64232.38,65338.88,395.91905760
2026-07-27,65338.88,65679.50,63536.94,63697.72,1022.46271431
2026-07-28,63697.72,64034.96,62683.93,63850.53,1034.53000264
2026-07-29,63849.63,64658.00,63198.67,63894.39,1199.20177592
2026-07-30,63894.24,65100.00,63514.36,64716.76,1195.48420629
2026-07-31,64716.76,65340.42,62369.00,62817.96,1235.25524562
2026-08-01,62817.96,63088.09,62216.81,62759.82,445.31419101
2026-08-02,62759.82,63725.00,62754.40,63499.99,485.53607284
2026-08-03,63499.99,64023.90,62216.00,63460.01,924.01565811
2026-08-04,63460.89,64482.02,63270.00,64056.48,1012.02481152
2026-08-05,64056.47,64995.84,63820.01,64600.22,1116.54614458
2026-08-06,64600.21,64932.21,64094.00,64255.55,1131.90351550
2026-08-07,64265.53,65339.98,64103.00,64877.77,1964.13539171
2026-08-08,64877.77,65134.90,64801.24,64908.72,520.80456173
2026-08-09,64908.72,65415.69,64684.71,64857.27,628.89456178
2026-08-10,64857.26,65333.41,63737.02,63911.16,1480.54318461
2026-08-11,63911.15,64447.00,63173.91,63542.82,1378.44718852
2026-08-12,63539.69,64410.61,63240.01,63406.33,1617.70676449
2026-08-13,63406.33,63936.18,62782.77,63418.04,1675.84013733
2026-08-14,63418.05,63552.94,62470.00,62975.97,1244.03485310
2026-08-15,62975.97,63112.96,62863.54,63025.94,318.97333488
2026-08-16,63025.93,63310.16,62652.70,62831.66,534.53133128
2026-08-17,62831.65,64551.30,62689.89,64484.76,2083.29342512
2026-08-18,64488.02,65000.00,63982.23,64686.09,1663.10641737
2026-08-19,64686.09,70033.39,64112.88,69297.78,4829.36084086
2026-08-20,69298.02,73370.15,68858.17,73007.70,4199.95886284
2026-08-21,73000.01,79461.00,73000.01,78325.11,6239.29952159
2026-08-22,78325.29,78800.11,76525.41,77065.64,1540.63267264
2026-08-23,77065.63,78032.60,75568.18,77716.48,1541.98384930
2026-08-24,77723.58,79989.36,76664.18,78986.06,2794.80659801
2026-08-25,78985.15,81255.06,77850.00,78534.93,2638.50124393
2026-08-26,78536.30,79224.40,77626.89,79022.66,1508.94193139
2026-08-27,79022.65,80819.98,78573.39,80278.98,3073.12963145
2026-08-28,80278.99,81454.98,76876.88,77835.18,3147.57326254
2026-08-29,77835.18,78328.63,77345.28,78235.02,809.27102639
2026-08-30,78235.01,79385.99,77023.78,77701.70,1401.20396097
2026-08-31,77659.15,79249.85,77381.47,78571.17,2264.23417349
2026-09-01,78571.18,79184.00,76380.13,77397.43,2851.04332419
2026-09-02,77397.43,77747.28,76228.56,77301.83,1643.47814236
2026-09-03,77294.61,82280.62,76940.96,81265.00,2498.55416454
2026-09-04,81265.00,81426.37,78645.01,79676.60,2226.87926884
2026-09-05,79676.60,80187.04,79464.65,79830.42,552.23014980
2026-09-06,79830.42,80537.40,79218.00,80338.98,746.17053140
2026-09-07,80338.98,80430.96,78685.00,79090.41,1253.60427642
2026-09-08,79090.42,79455.12,77602.59,78449.00,1607.04652470
2026-09-09,78449.01,79741.64,77760.00,78281.65,1787.66218132
2026-09-10,78281.65,78526.26,76452.89,76528.75,1622.87031798
2026-09-11,76528.60,79836.83,76040.02,77212.48,2773.54564116
2026-09-12,77212.48,77480.00,77060.00,77269.22,499.05342596
2026-09-13,77269.21,77417.67,76480.00,76808.69,981.62415399
2026-09-14,76804.19,79579.16,76370.36,78185.01,2451.20669841
2026-09-15,78185.01,78241.56,74913.43,75577.29,2966.54321896
2026-09-16,75577.29,76471.23,74962.49,76138.60,1683.17477769
2026-09-17,76138.60,77083.20,75949.99,76354.94,1420.05650508
2026-09-18,76354.93,81376.86,76235.90,80878.77,2129.79425665
2026-09-19,80878.78,81913.69,80823.13,81235.14,1047.02886333
2026-09-20,81235.13,81452.45,80106.10,81151.65,849.32563024
2026-09-21,81151.64,87373.64,80851.86,86586.52,3037.52099851
2026-09-22,86586.52,86700.00,85094.48,86201.35,2202.56160068
