date,open,high,low,close,volume
2026-05-26,0.99906,0.99912,0.99838,0.99863,21756551.22010
2026-05-27,0.99862,0.99864,0.99807,0.99848,19186343.02326
2026-05-28,0.99848,0.99889,0.99804,0.99864,13885647.60784
2026-05-29,0.99863,0.99873,0.99846,0.99868,5079282.70918
2026-05-30,0.99867,0.99911,0.99853,0.99853,2452153.58469
2026-05-31,0.99853,0.99859,0.99844,0.99852,447623.43677
2026-06-01,0.99854,0.99899,0.99834,0.99873,13065016.20125
2026-06-02,0.99871,0.99961,0.99812,0.99867,19656696.90843
2026-06-03,0.99866,0.99880,0.99846,0.99863,8744677.67703
2026-06-04,0.99861,0.99922,0.99834,0.99894,15863888.28504
2026-06-05,0.99891,0.99979,0.99542,0.99977,12533905.61389
2026-06-06,0.99974,0.99977,0.99943,0.99957,3697060.71568
2026-06-07,0.99954,0.99964,0.99951,0.99956,286435.38974
2026-06-08,0.99956,0.99976,0.98452,0.99964,11134263.51556
2026-06-09,0.99967,0.99973,0.99896,0.99934,9624172.34931
2026-06-10,0.99935,0.99951,0.99876,0.99903,11182197.93814
2026-06-11,0.99903,0.99907,0.99857,0.99898,8169784.78798
2026-06-12,0.99896,0.99951,0.99859,0.99945,15497434.78820
2026-06-13,0.99946,0.99959,0.99935,0.99955,1855407.19965
2026-06-14,0.99955,0.99959,0.99935,0.99937,655055.79269
2026-06-15,0.99936,0.99957,0.99920,0.99940,9044679.46346
2026-06-16,0.99941,0.99942,0.99897,0.99897,2331828.04961
2026-06-17,0.99900,0.99929,0.99881,0.99914,6972690.01276
2026-06-18,0.99913,0.99913,0.99861,0.99885,9853937.54341
2026-06-19,0.99886,0.99920,0.99886,0.99905,3398194.11823
2026-06-20,0.99907,0.99910,0.99776,0.99881,2880117.41178
2026-06-21,0.99882,0.99884,0.99871,0.99881,1027941.81965
2026-06-22,0.99881,0.99908,0.99875,0.99884,6735025.14811
2026-06-23,0.99884,0.99909,0.99867,0.99875,9701403.73583
2026-06-24,0.99874,0.99880,0.99833,0.99843,13968114.94781
2026-06-25,0.99846,0.99882,0.99814,0.99848,20190107.03095
2026-06-26,0.99849,0.99896,0.99843,0.99856,10892290.96036
2026-06-27,0.99856,0.99856,0.99832,0.99850,3383275.02114
2026-06-28,0.99852,0.99859,0.99838,0.99846,997709.28136
2026-06-29,0.99840,0.99892,0.99815,0.99852,15643089.31109
2026-06-30,0.99855,0.99864,0.99825,0.99847,12548613.86425
2026-07-01,0.99846,0.99935,0.99834,0.99894,6173653.03929
2026-07-02,0.99894,0.99936,0.99860,0.99878,12556303.25555
2026-07-03,0.99886,0.99919,0.99872,0.99903,7967689.53189
2026-07-04,0.99903,0.99918,0.99900,0.99908,1066221.65533
2026-07-05,0.99908,0.99918,0.99901,0.99904,878408.16078
2026-07-06,0.99903,0.99945,0.99891,0.99934,9144043.42654
2026-07-07,0.99930,0.99940,0.99891,0.99934,13391783.66462
2026-07-08,0.99933,0.99937,0.99888,0.99922,15657230.96925
2026-07-09,0.99919,0.99930,0.99894,0.99920,6631766.54983
2026-07-10,0.99922,0.99949,0.99884,0.99926,12618320.36439
2026-07-11,0.99927,0.99929,0.99894,0.99927,1662994.13732
2026-07-12,0.99928,0.99939,0.99914,0.99935,3742594.76369
2026-07-13,0.99934,0.99936,0.99849,0.99872,15345682.83386
2026-07-14,0.99872,0.99940,0.99842,0.99933,20635261.87693
2026-07-15,0.99931,0.99938,0.99900,0.99932,16176590.99156
2026-07-16,0.99932,0.99935,0.99905,0.99920,15259051.14763
2026-07-17,0.99919,0.99940,0.99880,0.99930,15011325.30484
2026-07-18,0.99933,0.99937,0.99921,0.99937,2811295.54499
2026-07-19,0.99937,0.99937,0.99918,0.99922,2464695.41892
2026-07-20,0.99922,0.99934,0.99890,0.99927,12124845.11837
2026-07-21,0.99928,0.99951,0.99915,0.99936,23524997.94304
2026-07-22,0.99936,0.99963,0.99918,0.99948,17301411.37313
2026-07-23,0.99948,0.99960,0.99904,0.99927,29881113.55090
2026-07-24,0.99927,0.99942,0.99896,0.99909,21315092.65750
2026-07-25,0.99907,0.99916,0.99898,0.99907,3636210.51198
2026-07-26,0.99907,0.99920,0.99891,0.99907,1907776.93662
2026-07-27,0.99900,0.99940,0.99880,0.99907,15306771.45825
