time,PriceUSD
2018-03-01,
2018-03-02,
2018-03-03,
2018-03-04,
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-10,
2018-03-11,
2018-03-12,
2018-03-13,
2018-03-14,
2018-03-15,
2018-03-16,
2018-03-17,
2018-03-18,
2018-03-19,
2018-03-20,
2018-03-21,
2018-03-22,
2018-03-23,
2018-03-24,
2018-03-25,
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-03-30,
2018-03-31,
2018-04-01,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-05,
2018-04-06,
2018-04-07,
2018-04-08,
2018-04-09,
2018-04-10,
2018-04-11,
2018-04-12,
2018-04-13,
2018-04-14,
2018-04-15,
2018-04-16,
2018-04-17,
2018-04-18,
2018-04-19,
2018-04-20,
2018-04-21,
2018-04-22,
2018-04-23,
2018-04-24,
2018-04-25,
2018-04-26,
2018-04-27,
2018-04-28,
2018-04-29,
2018-04-30,
2018-05-01,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-05,
2018-05-06,
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-12,
2018-05-13,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-19,
2018-05-20,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-25,
2018-05-26,
2018-05-27,
2018-05-28,
2018-05-29,
2018-05-30,
2018-05-31,
2018-06-01,
2018-06-02,
2018-06-03,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-09,14.299436303232
2018-06-10,11.5864366075041
2018-06-11,11.7652364605707
2018-06-12,9.98362295629155
2018-06-13,10.0416899376121
2018-06-14,11.2341922552721
2018-06-15,10.6616424055291
2018-06-16,10.5601463999906
2018-06-17,10.3171050097807
2018-06-18,10.6214028340409
2018-06-19,10.6536021114756
2018-06-20,10.3992833329534
2018-06-21,10.3894438854897
2018-06-22,8.57049522788253
2018-06-23,8.4538679422624
2018-06-24,8.0493010381314
2018-06-25,8.33272040224216
2018-06-26,7.61636403304761
2018-06-27,8.0118181280105
2018-06-28,7.36590155823498
2018-06-29,7.78448561184296
2018-06-30,8.10318431373998
2018-07-01,8.13370636453328
2018-07-02,8.92975189610913
2018-07-03,8.79571340251051
2018-07-04,8.88666231394189
2018-07-05,8.83232967616004
2018-07-06,8.60610565166656
2018-07-07,8.77785012852123
2018-07-08,8.68861438969391
2018-07-09,7.74340705641391
2018-07-10,7.1629052073846
2018-07-11,7.13082491681989
2018-07-12,6.73614420213072
2018-07-13,6.83315930546062
2018-07-14,6.94888000012581
2018-07-15,7.36865944932268
2018-07-16,8.05366913165146
2018-07-17,8.80913118703178
2018-07-18,8.61425350139786
2018-07-19,8.38617319592851
2018-07-20,7.85400481510998
2018-07-21,8.04566789527693
2018-07-22,7.84191823298928
2018-07-23,7.92467288708985
2018-07-24,8.57966594012537
2018-07-25,8.57476143126815
2018-07-26,8.29733811609825
2018-07-27,8.43386147886521
2018-07-28,8.29546141767658
2018-07-29,8.35547008439263
2018-07-30,7.74922123845591
2018-07-31,7.30716948702556
2018-08-01,7.22953954360492
2018-08-02,7.03446670288858
2018-08-03,7.17924399965258
2018-08-04,6.96414240993799
2018-08-05,7.03903908378621
2018-08-06,7.05142711738
2018-08-07,6.56808070950237
2018-08-08,5.55207134820721
2018-08-09,5.82321580009223
2018-08-10,5.22897246040611
2018-08-11,5.04049929083099
2018-08-12,4.99863904422361
2018-08-13,4.59792219603228
2018-08-14,4.49681934217048
2018-08-15,4.615197314226
2018-08-16,4.4929522039703
2018-08-17,5.48797083723707
2018-08-18,5.09599001321047
2018-08-19,5.28690499120208
2018-08-20,4.72917367675627
2018-08-21,4.90401213398007
2018-08-22,4.71092733739938
2018-08-23,4.89617671362791
2018-08-24,5.05120389757314
2018-08-25,5.04202204207152
2018-08-26,4.93392182513806
2018-08-27,5.33725694249804
2018-08-28,5.93586741747524
2018-08-29,6.14795922710919
2018-08-30,6.05225980487799
2018-08-31,6.43030297285485
2018-09-01,6.64885622679701
2018-09-02,6.59598122302163
2018-09-03,6.46641623177258
2018-09-04,6.46899024117134
2018-09-05,5.28099958454868
2018-09-06,5.19471680175138
2018-09-07,5.03623359912447
2018-09-08,4.73416924684609
2018-09-09,4.93911999326126
2018-09-10,5.01383739605904
2018-09-11,4.95989180683583
2018-09-12,4.92920058214193
2018-09-13,5.44702593776242
2018-09-14,5.25838331432015
2018-09-15,5.40067117324324
2018-09-16,5.41222755594389
2018-09-17,4.86327616214861
2018-09-18,5.07892189439617
2018-09-19,5.21893168763078
2018-09-20,5.7416147993341
2018-09-21,6.1518578698373
2018-09-22,5.93633459012748
2018-09-23,6.04257596393363
2018-09-24,5.654392318471
2018-09-25,5.37816995857409
2018-09-26,5.5535120393926
2018-09-27,5.81664108035429
2018-09-28,5.74344201105778
2018-09-29,5.74874960909171
2018-09-30,5.70476428988596
2018-10-01,5.69448250498867
2018-10-02,5.60888362116545
2018-10-03,5.57746568880478
2018-10-04,5.75781356749108
2018-10-05,5.77529335873396
2018-10-06,5.69977849324118
2018-10-07,5.71755649423564
2018-10-08,5.87305381055621
2018-10-09,5.86914179323642
2018-10-10,5.83264088497869
2018-10-11,5.04685306942291
2018-10-12,5.11837378796843
2018-10-13,5.18498566471815
2018-10-14,5.07505291044898
2018-10-15,5.34763856860902
2018-10-16,5.33056659059653
2018-10-17,5.32858674665464
2018-10-18,5.27416262345829
2018-10-19,5.27560779129348
2018-10-20,5.30836219387321
2018-10-21,5.36292430927353
2018-10-22,5.32365187712209
2018-10-23,5.35376996216417
2018-10-24,5.31033792604843
2018-10-25,5.32147858898705
2018-10-26,5.33611608218788
2018-10-27,5.33943052823057
2018-10-28,5.36677637228277
2018-10-29,5.08447940073467
2018-10-30,5.09275184173415
2018-10-31,5.19831103668634
2018-11-01,5.23418604639243
2018-11-02,5.32482806257498
2018-11-03,5.27978007855468
2018-11-04,5.48823279123286
2018-11-05,5.43892915984087
2018-11-06,5.70055846803174
2018-11-07,5.61373757996304
2018-11-08,5.46568120370581
2018-11-09,5.33016490885033
2018-11-10,5.36323557225639
2018-11-11,5.35003163502024
2018-11-12,5.34176325220288
