time,PriceUSD
2018-03-01,
2018-03-02,
2018-03-03,
2018-03-04,
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-10,
2018-03-11,
2018-03-12,
2018-03-13,
2018-03-14,
2018-03-15,
2018-03-16,
2018-03-17,
2018-03-18,
2018-03-19,
2018-03-20,
2018-03-21,
2018-03-22,
2018-03-23,
2018-03-24,
2018-03-25,
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-03-30,
2018-03-31,
2018-04-01,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-05,
2018-04-06,
2018-04-07,
2018-04-08,
2018-04-09,
2018-04-10,
2018-04-11,
2018-04-12,
2018-04-13,
2018-04-14,
2018-04-15,
2018-04-16,
2018-04-17,
2018-04-18,
2018-04-19,
2018-04-20,
2018-04-21,
2018-04-22,
2018-04-23,
2018-04-24,
2018-04-25,
2018-04-26,
2018-04-27,
2018-04-28,
2018-04-29,
2018-04-30,
2018-05-01,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-05,
2018-05-06,
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-12,
2018-05-13,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-19,
2018-05-20,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-25,
2018-05-26,
2018-05-27,
2018-05-28,
2018-05-29,
2018-05-30,
2018-05-31,
2018-06-01,
2018-06-02,
2018-06-03,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-09,
2018-06-10,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-16,
2018-06-17,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-23,
2018-06-24,
2018-06-25,0.0420704911070361
2018-06-26,0.0377883972083784
2018-06-27,0.0389794450806054
2018-06-28,0.036076057638324
2018-06-29,0.0367014622822335
2018-06-30,0.0374827285379302
2018-07-01,0.0366334326009528
2018-07-02,0.0395767395537541
2018-07-03,0.0381053751297038
2018-07-04,0.0388245893215253
2018-07-05,0.0369706543825777
2018-07-06,0.0358734168988908
2018-07-07,0.0365835919860375
2018-07-08,0.0366898347944384
2018-07-09,0.035545088946783
2018-07-10,0.0334715444278421
2018-07-11,0.0334619661677168
2018-07-12,0.0317006258289861
2018-07-13,0.0330568867933912
2018-07-14,0.0333411972170494
2018-07-15,0.0343630675884045
2018-07-16,0.0373296099033579
2018-07-17,0.0398602108378464
2018-07-18,0.0397310263708948
2018-07-19,0.0379545237897216
2018-07-20,0.0348603194377864
2018-07-21,0.0356550458042681
2018-07-22,0.0351340999045158
2018-07-23,0.0340505205599906
2018-07-24,0.0381603498000242
2018-07-25,0.0372751407016766
2018-07-26,0.0358188907861036
2018-07-27,0.0365408994942888
2018-07-28,0.0368247989390267
2018-07-29,0.0393811241528921
2018-07-30,0.0364347183734708
2018-07-31,0.0337030357372322
2018-08-01,0.0325031088934724
2018-08-02,0.0313546566723784
2018-08-03,0.0303564042486356
2018-08-04,0.0287698445673952
2018-08-05,0.0302915681980407
2018-08-06,0.0290816725063141
2018-08-07,0.0277054747577254
2018-08-08,0.0241895102847402
2018-08-09,0.0257879261454497
2018-08-10,0.0235932821375235
2018-08-11,0.0226467821025342
2018-08-12,0.0224456582782461
2018-08-13,0.0191449214232329
2018-08-14,0.0184939371250603
2018-08-15,0.019220154273165
2018-08-16,0.0193060722307566
2018-08-17,0.0231152480728072
2018-08-18,0.0214396340364245
2018-08-19,0.022102133855422
2018-08-20,0.0203514415031283
2018-08-21,0.0209244812307706
2018-08-22,0.0195431921039009
2018-08-23,0.0206259442209992
2018-08-24,0.0215529813651613
2018-08-25,0.0224192725343954
2018-08-26,0.0226738048313662
2018-08-27,0.0244529057258958
2018-08-28,0.02704187895656
2018-08-29,0.0254321108354104
2018-08-30,0.0247284402592955
2018-08-31,0.0253724702904786
2018-09-01,0.0266785619833762
2018-09-02,0.0255770990675826
2018-09-03,0.0250133518590979
2018-09-04,0.0252528667643044
2018-09-05,0.0216673185490035
2018-09-06,0.0215497290171024
2018-09-07,0.0204132216500791
2018-09-08,0.0192015229784703
2018-09-09,0.0193176261107438
2018-09-10,0.0191741664004232
2018-09-11,0.0184378795377307
2018-09-12,0.0181666149313793
2018-09-13,0.0200071351498646
2018-09-14,0.0198021556618298
2018-09-15,0.0198951456686072
2018-09-16,0.0199231419650614
2018-09-17,0.0184224047665623
2018-09-18,0.01929129636931
2018-09-19,0.0196904854317954
2018-09-20,0.0213987233394866
2018-09-21,0.0248554547330353
2018-09-22,0.0231490181677298
2018-09-23,0.0237932782323612
2018-09-24,0.0219974656952403
2018-09-25,0.0212135038910209
2018-09-26,0.0210133185754353
2018-09-27,0.0224974146375419
2018-09-28,0.0219158259338945
2018-09-29,0.0219949354698173
2018-09-30,0.0221483820830871
2018-10-01,0.0219337270885864
2018-10-02,0.0219284165664749
2018-10-03,0.0214828558854283
2018-10-04,0.022706438005815
2018-10-05,0.0231908002178158
2018-10-06,0.0236217342414255
2018-10-07,0.0268701203649836
2018-10-08,0.0264019103291169
2018-10-09,0.0259052369107434
2018-10-10,0.0251670279939068
2018-10-11,0.0207593640198999
2018-10-12,0.0226167025774917
2018-10-13,0.0233115674361968
2018-10-14,0.0233504620172499
2018-10-15,0.024497961336668
2018-10-16,0.023834063900307
2018-10-17,0.023851179427385
2018-10-18,0.0238707817807177
2018-10-19,0.0237877101643903
2018-10-20,0.023853687132672
2018-10-21,0.0238937313565035
2018-10-22,0.0235455458003657
2018-10-23,0.0231681771450363
2018-10-24,0.0231804854330944
2018-10-25,0.02293752249543
2018-10-26,0.0234132392441012
2018-10-27,0.0230704992621427
2018-10-28,0.0232777461614933
2018-10-29,0.0219241667767761
2018-10-30,0.0219858310550762
2018-10-31,0.0221831327955486
2018-11-01,0.0223011660769345
2018-11-02,0.0227107757890998
2018-11-03,0.0225209397830663
2018-11-04,0.023463274648861
2018-11-05,0.0236779659927436
2018-11-06,0.0244733540246793
2018-11-07,0.0238736300949698
2018-11-08,0.0229380730529393
2018-11-09,0.0228259311907012
2018-11-10,0.0227769444090097
2018-11-11,0.0225689733622823
