date,source_row,transactid,transacttype,walletbalance,balance_sat,reconstructed_sat,residual_sat,quantum_sat,matches_display_precision,classification
2018-04-27,82,245c7553-adb9-7071-5e6d-04b65f14a127,Withdrawal,380937178,380937178,326341302,54595876,1,False,date_snapshot_order_conflict
2018-04-28,81,66e4034f-dc6f-73a5-7b5b-bdb82957d972,RealisedPNL,481057178,481057178,380937178,100120000,1,False,date_snapshot_order_conflict
2021-06-05,1691,8086e723-d41c-4cb7-311f-6c023b2db225,RealisedPNL,1.00334E+11,100334000000,100334421760,-421760,1000000,True,display_rounding
2021-06-06,1698,9258f99a-b7cd-4506-836b-b9b970a36a40,RealisedPNL,1.03014E+11,103014000000,103014272896,-272896,1000000,True,display_rounding
2021-06-07,1705,ffe0fe43-3535-12c4-5c5c-bcb15d13b614,RealisedPNL,1.03162E+11,103162000000,103161628052,371948,1000000,True,display_rounding
2021-06-08,1712,d96d3841-b3c0-6487-1b48-ceec5d1fdd4c,RealisedPNL,1.20302E+11,120302000000,120302451999,-451999,1000000,True,display_rounding
2021-06-09,1719,9b72380a-8361-753d-6a6a-c10ae857d41b,RealisedPNL,1.33996E+11,133996000000,133996276954,-276954,1000000,True,display_rounding
2021-06-10,1726,7846b759-8e0a-26cb-bb33-31e5564fb103,RealisedPNL,1.24832E+11,124832000000,124832075788,-75788,1000000,True,display_rounding
2021-06-11,1733,9f58cfd9-bb69-93dd-c744-280c3a0566f9,RealisedPNL,1.25453E+11,125453000000,125453389378,-389378,1000000,True,display_rounding
2021-06-12,1735,d6fdd829-adee-d133-c729-54e8beb9aea7,RealisedPNL,1.27151E+11,127151000000,127151002200,-2200,1000000,True,display_rounding
2021-06-13,1737,9ede2d77-27e6-81c0-54d3-23c87641f232,RealisedPNL,1.27541E+11,127541000000,127541015379,-15379,1000000,True,display_rounding
2021-06-14,1739,244bb0bd-e998-d617-7393-c791efaf11c8,RealisedPNL,1.34445E+11,134445000000,134444576920,423080,1000000,True,display_rounding
2021-06-15,1741,f61fcca1-844c-0843-070a-8d593421a530,RealisedPNL,1.36566E+11,136566000000,136565619734,380266,1000000,True,display_rounding
2021-06-16,1743,67dd07e3-c95c-127e-9f31-73552c154903,RealisedPNL,1.36894E+11,136894000000,136893624933,375067,1000000,True,display_rounding
2021-06-17,1745,cb651967-fd70-7393-0599-5364984e3829,RealisedPNL,1.37884E+11,137884000000,137883915939,84061,1000000,True,display_rounding
2021-06-18,1747,d8b0c2cd-3461-d1b0-d2c8-ca8952489887,RealisedPNL,1.52578E+11,152578000000,152577989397,10603,1000000,True,display_rounding
2021-06-19,1749,0ad643cf-1db3-1639-d921-f13e021b0d81,RealisedPNL,1.53113E+11,153113000000,153113029223,-29223,1000000,True,display_rounding
2021-06-20,1751,5fc738ed-4e55-8d03-2233-a64a0e5e1700,Withdrawal,1.17513E+11,117513000000,117513423262,-423262,1000000,True,display_rounding
2021-06-21,1754,7db99d38-7a5b-e8e8-1225-1727c09ad17b,RealisedPNL,1.22292E+11,122292000000,122292418343,-418343,1000000,True,display_rounding
2021-06-22,1758,32ddf104-95cf-6b0c-50d9-ad4a0302f6f7,RealisedPNL,1.26201E+11,126201000000,126200953739,46261,1000000,True,display_rounding
2021-06-23,1761,b55b38ad-7c34-4eb3-f067-b4cc6a29f99a,RealisedPNL,1.20451E+11,120451000000,120451124771,-124771,1000000,True,display_rounding
2021-06-24,1765,346a590c-60a0-0b54-2b7b-7aaf7c6b72c8,RealisedPNL,1.17525E+11,117525000000,117524734675,265325,1000000,True,display_rounding
2021-06-25,1769,aca2eebe-9b10-c186-1ebf-dd40eff1a936,RealisedPNL,1.3145E+11,131450000000,131449940227,59773,10000000,True,display_rounding
2021-06-26,1772,a9a86101-0eeb-f134-b276-a0472f047d7e,RealisedPNL,1.21773E+11,121773000000,121773313571,-313571,1000000,True,display_rounding
2021-06-27,1774,be48d956-08b8-8dcc-7ac6-d266ab9485bf,RealisedPNL,1.218E+11,121800000000,121799751867,248133,100000000,True,display_rounding
2021-06-28,1776,0b15a81b-a4d5-f5de-07a1-1652dd76cb88,RealisedPNL,1.17415E+11,117415000000,117415052410,-52410,1000000,True,display_rounding
2021-06-29,1778,3245b52e-024f-be84-a14f-476c03fe00a4,RealisedPNL,1.17493E+11,117493000000,117492909407,90593,1000000,True,display_rounding
2021-06-30,1780,d5a78634-20e1-8807-1848-69b455555013,RealisedPNL,1.13987E+11,113987000000,113987249043,-249043,1000000,True,display_rounding
2021-07-01,1783,214d8915-5129-a257-7f24-981d092dc7d4,RealisedPNL,1.11318E+11,111318000000,111318120939,-120939,1000000,True,display_rounding
2021-07-02,1785,a636aa04-61ae-4faa-5213-084d85a55a78,RealisedPNL,1.07651E+11,107651000000,107651172141,-172141,1000000,True,display_rounding
2021-07-03,1786,839dc221-8543-0532-d3a2-18677ba60fe5,RealisedPNL,1.07652E+11,107652000000,107651587131,412869,1000000,True,display_rounding
2021-07-04,1787,3e374748-ae3c-1ace-8c99-6f516a54ca4a,RealisedPNL,1.07779E+11,107779000000,107779465915,-465915,1000000,True,display_rounding
2021-07-05,1789,e92763ee-036f-6698-e68d-4f685d5a5f8e,RealisedPNL,1.07971E+11,107971000000,107971478896,-478896,1000000,True,display_rounding
2021-07-06,1791,24cbc7f5-e860-b61b-4bf0-4b480db465e6,RealisedPNL,1.07786E+11,107786000000,107785581284,418716,1000000,True,display_rounding
2021-07-07,1793,6071ff50-5ab5-b616-4367-57debfc87e2e,RealisedPNL,1.0782E+11,107820000000,107820246178,-246178,10000000,True,display_rounding
2021-07-08,1795,a30250f3-13a7-5607-a968-87ebb318828e,RealisedPNL,1.13873E+11,113873000000,113873094130,-94130,1000000,True,display_rounding
2021-07-09,1797,fd1c420c-9b7e-8188-66fa-d393a5468b9e,RealisedPNL,1.17419E+11,117419000000,117419175378,-175378,1000000,True,display_rounding
2021-07-10,1798,069f6b8e-468f-f5d3-8d15-d30f6a711ca5,RealisedPNL,1.17375E+11,117375000000,117375231797,-231797,1000000,True,display_rounding
2021-07-11,1799,296e5dc1-b0a6-0aa7-4155-2d901898afd0,RealisedPNL,1.17361E+11,117361000000,117361404647,-404647,1000000,True,display_rounding
2021-07-12,1800,b251604e-7c65-0753-30b5-152adfda7341,RealisedPNL,1.17338E+11,117338000000,117338309326,-309326,1000000,True,display_rounding
2021-07-13,1801,b4632022-f972-f225-321f-82c3348bb965,RealisedPNL,1.15455E+11,115455000000,115455045553,-45553,1000000,True,display_rounding
2021-07-14,1802,84882823-eccf-1a0e-3ea7-7f7c7b700b88,RealisedPNL,1.15964E+11,115964000000,115963889697,110303,1000000,True,display_rounding
2021-07-15,1803,ef7cdd3a-e36e-7998-40db-d5ba74225fc7,RealisedPNL,1.15915E+11,115915000000,115914565762,434238,1000000,True,display_rounding
2021-07-16,1804,3abb806e-468f-ccb4-4c1d-01261a17668c,RealisedPNL,1.17245E+11,117245000000,117244801935,198065,1000000,True,display_rounding
2021-07-17,1805,63151142-25ea-f903-6f4f-66d6ff6c1352,RealisedPNL,1.17252E+11,117252000000,117252285151,-285151,1000000,True,display_rounding
2021-07-18,1806,796f7abd-73ee-e4ce-8d14-66868e3b8bf4,RealisedPNL,1.17939E+11,117939000000,117939426291,-426291,1000000,True,display_rounding
2021-07-19,1807,5658d99c-bd5d-aabb-5311-34f1af353098,RealisedPNL,1.17931E+11,117931000000,117930629017,370983,1000000,True,display_rounding
2021-07-20,1808,5f758f05-94b3-47c6-7cb6-4146122082d0,RealisedPNL,1.17929E+11,117929000000,117929090709,-90709,1000000,True,display_rounding
2021-07-21,1809,b600013a-2039-24cb-329a-7cb250eb7367,RealisedPNL,1.17919E+11,117919000000,117919015788,-15788,1000000,True,display_rounding
2021-07-22,1810,331b6c10-f0b6-22cb-78d2-357abec75362,RealisedPNL,1.191E+11,119100000000,119099864851,135149,100000000,True,display_rounding
2021-07-23,1811,de1e772a-7e6a-8aa3-dac3-8ecb5fed7eb9,RealisedPNL,1.2023E+11,120230000000,120230099600,-99600,10000000,True,display_rounding
2021-07-24,1812,4d63b84e-bc3f-88e7-066e-2fa36117e2e0,RealisedPNL,1.20224E+11,120224000000,120224225265,-225265,1000000,True,display_rounding
2021-07-25,1813,da61e2bb-8a49-6854-00d2-a48832b4e17a,RealisedPNL,1.2038E+11,120380000000,120380246462,-246462,10000000,True,display_rounding
2021-07-26,1815,95a86cfc-c7a5-59d1-7d66-e57b98620517,RealisedPNL,1.24669E+11,124669000000,124669450259,-450259,1000000,True,display_rounding
2021-08-06,1837,5fd2f32f-11f0-3586-17e5-c9f61f232594,RealisedPNL,1.03245E+11,103245000000,103244680331,319669,1000000,True,display_rounding
2021-08-07,1839,81f5825a-6f3d-d642-1ed0-d4fc3f4ea718,RealisedPNL,1.04955E+11,104955000000,104954790859,209141,1000000,True,display_rounding
