posting_date,wallet_present,wallet_sat,model_sat,difference_sat,cumulative_difference_sat,within_wallet_period
2018-03-05,True,-1910004,-1910004,0,0,True
2018-03-06,True,-6358364,-6358364,0,0,True
2018-03-07,True,-1547227,-1547227,0,0,True
2018-03-08,True,4735248,4735248,0,0,True
2018-03-09,True,3630907,3630907,0,0,True
2018-03-10,True,-6403106,-6403106,0,0,True
2018-03-11,True,-3507086,-3507086,0,0,True
2018-03-12,True,4152832,4152832,0,0,True
2018-03-13,True,-21090265,-21090266,-1,-1,True
2018-03-14,True,-31394156,-31394155,1,0,True
2018-03-15,True,32075933,32075933,0,0,True
2018-03-16,True,49775425,49775425,0,0,True
2018-03-17,True,22969383,22969383,0,0,True
2018-03-18,False,0,0,0,0,True
2018-03-19,True,8837371,8837371,0,0,True
2018-03-20,True,116909836,116909836,0,0,True
2018-03-21,True,-244125250,-244125246,4,4,True
2018-03-22,True,48534757,48534753,-4,0,True
2018-03-23,False,0,0,0,0,True
2018-03-24,False,0,0,0,0,True
2018-03-25,False,0,0,0,0,True
2018-03-26,False,0,0,0,0,True
2018-03-27,False,0,0,0,0,True
2018-03-28,False,0,0,0,0,True
2018-03-29,True,-4377354,-4377355,-1,-1,True
2018-03-30,True,83256038,83256039,1,0,True
2018-03-31,True,36407160,36407160,0,0,True
2018-04-01,True,-39384601,-39384601,0,0,True
2018-04-02,True,-57338557,-57338557,0,0,True
2018-04-03,True,-38825229,-38825229,0,0,True
2018-04-04,True,3698744,3698744,0,0,True
2018-04-05,True,10228935,10228935,0,0,True
2018-04-06,True,24791006,24791006,0,0,True
2018-04-07,True,-3974904,-3974904,0,0,True
2018-04-08,True,54105,54105,0,0,True
2018-04-09,True,27955181,27955181,0,0,True
2018-04-10,True,13478235,13478235,0,0,True
2018-04-11,False,0,0,0,0,True
2018-04-12,True,632753,632753,0,0,True
2018-04-13,True,4633657,4633657,0,0,True
2018-04-14,True,56330627,56330627,0,0,True
2018-04-15,True,-74601730,-74601730,0,0,True
2018-04-16,True,45716144,45716144,0,0,True
2018-04-17,True,99587101,99587101,0,0,True
2018-04-18,True,86710942,86710942,0,0,True
2018-04-19,True,-120570108,-120570108,0,0,True
2018-04-20,True,37481502,37481502,0,0,True
2018-04-21,True,37951682,37951681,-1,-1,True
2018-04-22,True,7038462,7038463,1,0,True
2018-04-23,True,8980670,8980670,0,0,True
2018-04-24,True,84361648,84361648,0,0,True
2018-04-25,True,-6876912,-6876912,0,0,True
2018-04-26,True,170204947,170204947,0,0,True
2018-04-27,True,1718121,1718121,0,0,True
2018-04-28,True,54595876,54595876,0,0,True
2018-04-29,True,-1731985,-1731985,0,0,True
2018-04-30,True,496625,496625,0,0,True
2018-05-01,False,0,0,0,0,True
2018-05-02,True,3889155,3889155,0,0,True
2018-05-03,False,0,0,0,0,True
2018-05-04,True,-20595195,-20595195,0,0,True
2018-05-05,False,0,0,0,0,True
2018-05-06,True,2585069,2585069,0,0,True
2018-05-07,True,12949628,12949628,0,0,True
2018-05-08,False,0,0,0,0,True
2018-05-09,False,0,0,0,0,True
2018-05-10,False,0,0,0,0,True
2018-05-11,False,0,0,0,0,True
2018-05-12,True,214067210,214067210,0,0,True
2018-05-13,True,9434026,9434026,0,0,True
2018-05-14,True,9101193,9101193,0,0,True
2018-05-15,True,4451860,4451860,0,0,True
2018-05-16,True,87982015,87982015,0,0,True
2018-05-17,True,13314440,13314440,0,0,True
2018-05-18,False,0,0,0,0,True
2018-05-19,True,3558972,3558972,0,0,True
2018-05-20,True,10117951,10117951,0,0,True
2018-05-21,True,-1761548,-1761548,0,0,True
2018-05-22,True,8576357,8576357,0,0,True
2018-05-23,True,-68722243,-68722243,0,0,True
2018-05-24,True,-477220696,-477220696,0,0,True
2018-05-25,True,45044602,45044602,0,0,True
2018-05-26,True,139148116,139148115,-1,-1,True
2018-05-27,True,-18900711,-18900710,1,0,True
2018-05-28,True,-11788962,-11788962,0,0,True
2018-05-29,True,6082273,6082273,0,0,True
2018-05-30,True,51943196,51943196,0,0,True
2018-05-31,True,42819050,42819050,0,0,True
2018-06-01,True,46473340,46473340,0,0,True
2018-06-02,True,3,3,0,0,True
2018-06-03,True,-576007,-576007,0,0,True
2018-06-04,True,29414559,29414559,0,0,True
2018-06-05,True,47414512,47414511,-1,-1,True
2018-06-06,True,7865738,7865740,2,1,True
2018-06-07,True,20136839,20136839,0,1,True
2018-06-08,True,7,7,0,1,True
2018-06-09,True,7,7,0,1,True
2018-06-10,True,24721342,24721341,-1,0,True
2018-06-11,True,35124042,35124042,0,0,True
2018-06-12,True,-2267319,-2267325,-6,-6,True
2018-06-13,True,26878917,26878922,5,-1,True
2018-06-14,True,31233244,31233245,1,0,True
2018-06-15,True,63469436,63469436,0,0,True
2018-06-16,True,85348917,85348917,0,0,True
2018-06-17,True,52639970,52639970,0,0,True
2018-06-18,True,4810570,4810570,0,0,True
2018-06-19,True,22027903,22027902,-1,-1,True
2018-06-20,True,28249089,28249090,1,0,True
2018-06-21,True,40081915,40081916,1,1,True
2018-06-22,True,29367503,29367502,-1,0,True
2018-06-23,True,101064449,101064449,0,0,True
2018-06-24,True,-215248803,-215248803,0,0,True
2018-06-25,True,44751210,44751210,0,0,True
2018-06-26,True,31195750,31195750,0,0,True
2018-06-27,True,13566687,13566687,0,0,True
2018-06-28,True,9100457,9100456,-1,-1,True
2018-06-29,True,-86714710,-86714709,1,0,True
2018-06-30,True,53438022,53438022,0,0,True
2018-07-01,True,18494111,18494110,-1,-1,True
2018-07-02,True,17005042,17005043,1,0,True
2018-07-03,True,75650673,75650673,0,0,True
2018-07-04,True,81529469,81529469,0,0,True
2018-07-05,True,10110916,10110916,0,0,True
2018-07-06,True,-6,-6,0,0,True
2018-07-07,True,-6,-6,0,0,True
2018-07-08,True,48093208,48093200,-8,-8,True
2018-07-09,True,3814925,3814932,7,-1,True
2018-07-10,True,45877477,45877477,0,-1,True
2018-07-11,True,70508250,70508250,0,-1,True
2018-07-12,True,728715,728715,0,-1,True
2018-07-13,True,86021262,86021263,1,0,True
2018-07-14,True,77534088,77534088,0,0,True
2018-07-15,True,4191320,4191320,0,0,True
2018-07-16,True,-65904904,-65904905,-1,-1,True
2018-07-17,True,51618085,51618086,1,0,True
2018-07-18,True,-504218655,-504218654,1,1,True
2018-07-19,True,249581814,249581838,24,25,True
2018-07-20,True,115292225,115292201,-24,1,True
2018-07-21,True,21447729,21447728,-1,0,True
2018-07-22,True,15042001,15042001,0,0,True
2018-07-23,True,46321979,46321978,-1,-1,True
2018-07-24,True,-44722304,-44722292,12,11,True
2018-07-25,True,216232316,216232305,-11,0,True
2018-07-26,True,171900817,171900825,8,8,True
2018-07-27,True,240601570,240601562,-8,0,True
2018-07-28,True,16741018,16741017,-1,-1,True
2018-07-29,True,51932142,51932143,1,0,True
2018-07-30,True,26134395,26134386,-9,-9,True
2018-07-31,True,86560261,86560269,8,-1,True
2018-08-01,True,-510750372,-510750376,-4,-5,True
2018-08-02,True,221385233,221385238,5,0,True
2018-08-03,True,-60946973,-60946979,-6,-6,True
2018-08-04,True,37291896,37291901,5,-1,True
2018-08-05,True,-387063998,-387064011,-13,-14,True
2018-08-06,True,51604310,51604319,9,-5,True
2018-08-07,True,265547497,265547502,5,0,True
2018-08-08,True,29095989,29095957,-32,-32,True
2018-08-09,True,170312384,170312415,31,-1,True
2018-08-10,True,584261957,584261956,-1,-2,True
2018-08-11,True,22213193,22213195,2,0,True
2018-08-12,True,259149072,259149071,-1,-1,True
2018-08-13,True,-58431577,-58431576,1,0,True
2018-08-14,True,-198376088,-198376088,0,0,True
2018-08-15,True,98569561,98569561,0,0,True
2018-08-16,True,-20375663,-20375663,0,0,True
2018-08-17,True,194483409,194483413,4,4,True
2018-08-18,True,-144932353,-144932357,-4,0,True
2018-08-19,True,72706073,72706072,-1,-1,True
2018-08-20,True,-15679569,-15679568,1,0,True
2018-08-21,True,10983213,10983213,0,0,True
2018-08-22,True,13078942,13078942,0,0,True
2018-08-23,True,83769947,83769948,1,1,True
2018-08-24,True,34947615,34947615,0,1,True
2018-08-25,True,-168554728,-168554728,0,1,True
2018-08-26,True,68477557,68477556,-1,0,True
2018-08-27,True,-32545738,-32545737,1,1,True
2018-08-28,True,-248604448,-248604448,0,1,True
2018-08-29,True,102134998,102134997,-1,0,True
2018-08-30,True,-80589940,-80589941,-1,-1,True
2018-08-31,True,159776184,159776184,0,-1,True
2018-09-01,True,-3748490,-3748489,1,0,True
2018-09-02,True,50478088,50478088,0,0,True
2018-09-03,True,115584915,115584918,3,3,True
2018-09-04,True,249434,249434,0,3,True
2018-09-05,True,589982143,589982133,-10,-7,True
2018-09-06,True,-1193728792,-1193728774,18,11,True
2018-09-07,True,67712863,67712853,-10,1,True
2018-09-08,True,-18,-18,0,1,True
2018-09-09,True,112002682,112002669,-13,-12,True
2018-09-10,True,296431088,296431100,12,0,True
2018-09-11,True,34934613,34934613,0,0,True
2018-09-12,True,-11,-11,0,0,True
2018-09-13,True,-2704472,-2704472,0,0,True
2018-09-14,True,-64805896,-64805896,0,0,True
2018-09-15,True,70591382,70591383,1,1,True
2018-09-16,True,-24,-24,0,1,True
2018-09-17,True,-1,-1,0,1,True
2018-09-18,True,-2,-2,0,1,True
2018-09-19,True,-5,-5,0,1,True
2018-09-20,True,2,2,0,1,True
2018-09-21,True,-5,-5,0,1,True
2018-09-22,True,-482,-483,-1,0,True
2018-09-23,False,0,0,0,0,True
2018-09-24,True,-10184494,-10184493,1,1,True
2018-09-25,True,636,635,-1,0,True
2018-09-26,True,-6,-6,0,0,True
2018-09-27,True,3,3,0,0,True
2018-09-28,True,-5,-5,0,0,True
2018-09-29,True,-5,-5,0,0,True
2018-09-30,True,-6,-6,0,0,True
2018-10-01,True,-9,-9,0,0,True
2018-10-02,True,-6,-6,0,0,True
2018-10-03,True,-6,-6,0,0,True
2018-10-04,True,-6,-6,0,0,True
2018-10-05,True,-11,-11,0,0,True
2018-10-06,True,-15,-15,0,0,True
2018-10-07,True,-6,-6,0,0,True
2018-10-08,True,-6,-6,0,0,True
2018-10-09,True,-9,-9,0,0,True
2018-10-10,True,15845686,15845686,0,0,True
2018-10-11,True,79215698,79215699,1,1,True
2018-10-12,True,116350407,116350406,-1,0,True
2018-10-13,True,21205615,21205615,0,0,True
2018-10-14,True,-14,-14,0,0,True
2018-10-15,True,481478131,481478130,-1,-1,True
2018-10-16,True,-28732731,-28732730,1,0,True
2018-10-17,True,18178667,18178667,0,0,True
2018-10-18,True,3,3,0,0,True
2018-10-19,True,24937575,24937575,0,0,True
2018-10-20,True,6,6,0,0,True
2018-10-21,True,6,6,0,0,True
2018-10-22,True,6,6,0,0,True
2018-10-23,True,6,6,0,0,True
2018-10-24,True,6,6,0,0,True
2018-10-25,True,6,6,0,0,True
2018-10-26,True,6,6,0,0,True
2018-10-27,True,7,7,0,0,True
2018-10-28,True,6,6,0,0,True
