posting_date,wallet_present,wallet_sat,model_sat,difference_sat,cumulative_difference_sat,within_wallet_period
2018-03-05,True,-1910004,-1910004.0,0.0,0.0,True
2018-03-06,True,-6358364,-6358364.0,0.0,0.0,True
2018-03-07,True,-1547227,-1547227.0,0.0,0.0,True
2018-03-08,True,4735248,4735248.000000009,9.313225746154785e-09,9.313225746154785e-09,True
2018-03-09,True,3630907,3630906.9999999967,-3.259629011154175e-09,6.05359673500061e-09,True
2018-03-10,True,-6403106,-6403106.00000001,-1.0244548320770264e-08,-4.190951585769653e-09,True
2018-03-11,True,-3507086,-3507086.0000000033,-3.259629011154175e-09,-7.450580596923828e-09,True
2018-03-12,True,4152832,4152831.888888888,-0.1111111119389534,-0.111111119389534,True
2018-03-13,True,-21090265,-21090265.409239683,-0.40923968330025673,-0.5203508026897907,True
2018-03-14,True,-31394156,-31394155.479648557,0.5203514434397221,6.407499313354492e-07,True
2018-03-15,True,32075933,32075933.00000001,1.1175870895385742e-08,6.51925802230835e-07,True
2018-03-16,True,49775425,49775425.000000514,5.140900611877441e-07,1.166015863418579e-06,True
2018-03-17,True,22969383,22969382.99999996,-4.0978193283081055e-08,1.125037670135498e-06,True
2018-03-18,False,0,0.0,0.0,1.125037670135498e-06,True
2018-03-19,True,8837371,8837370.999999898,-1.0244548320770264e-07,1.0225921869277954e-06,True
2018-03-20,True,116909836,116909836.00000031,3.129243850708008e-07,1.3355165719985962e-06,True
2018-03-21,True,-244125250,-244125250.10095552,-0.10095551609992981,-0.10095418058335781,True
2018-03-22,True,48534757,48534757.100954324,0.1009543240070343,1.434236764907837e-07,True
2018-03-23,False,0,0.0,0.0,1.434236764907837e-07,True
2018-03-24,False,0,0.0,0.0,1.434236764907837e-07,True
2018-03-25,False,0,0.0,0.0,1.434236764907837e-07,True
2018-03-26,False,0,0.0,0.0,1.434236764907837e-07,True
2018-03-27,False,0,0.0,0.0,1.434236764907837e-07,True
2018-03-28,False,0,0.0,0.0,1.434236764907837e-07,True
2018-03-29,True,-4377354,-4377353.5952376425,0.4047623574733734,0.4047625008970499,True
2018-03-30,True,83256038,83256037.59524053,-0.4047594666481018,3.034248948097229e-06,True
2018-03-31,True,36407160,36407159.999996625,-3.375113010406494e-06,-3.4086406230926514e-07,True
2018-04-01,True,-39384601,-39384600.99999261,7.3909759521484375e-06,7.050111889839172e-06,True
2018-04-02,True,-57338557,-57338557.00000377,-3.769993782043457e-06,3.2801181077957153e-06,True
2018-04-03,True,-38825229,-38825228.999999605,3.948807716369629e-07,3.6749988794326782e-06,True
2018-04-04,True,3698744,3698743.9999998454,-1.5459954738616943e-07,3.520399332046509e-06,True
2018-04-05,True,10228935,10228934.999999646,-3.5390257835388184e-07,3.166496753692627e-06,True
2018-04-06,True,24791006,24791005.99999981,-1.8998980522155762e-07,2.9765069484710693e-06,True
2018-04-07,True,-3974904,-3974904.0,0.0,2.9765069484710693e-06,True
2018-04-08,True,54105,54105.0,0.0,2.9765069484710693e-06,True
2018-04-09,True,27955181,27955180.99999998,-1.862645149230957e-08,2.9578804969787598e-06,True
2018-04-10,True,13478235,13478235.000000041,4.0978193283081055e-08,2.998858690261841e-06,True
2018-04-11,False,0,0.0,0.0,2.998858690261841e-06,True
2018-04-12,True,632753,632753.0,0.0,2.998858690261841e-06,True
2018-04-13,True,4633657,4633656.666666248,-0.33333375211805105,-0.3333307532593608,True
2018-04-14,True,56330627,56330627.333334126,0.3333341255784035,3.3723190426826477e-06,True
2018-04-15,True,-74601730,-74601729.99999793,2.0712614059448242e-06,5.443580448627472e-06,True
2018-04-16,True,45716144,45716144.00000373,3.732740879058838e-06,9.17632132768631e-06,True
2018-04-17,True,99587101,99587100.99999629,-3.7103891372680664e-06,5.465932190418243e-06,True
2018-04-18,True,86710942,86710942.0000013,1.296401023864746e-06,6.7623332142829895e-06,True
2018-04-19,True,-120570108,-120570108.00003026,-3.026425838470459e-05,-2.35019251704216e-05,True
2018-04-20,True,37481502,37481501.999994755,-5.245208740234375e-06,-2.8747133910655975e-05,True
2018-04-21,True,37951682,37951681.99999843,-1.5720725059509277e-06,-3.0319206416606903e-05,True
2018-04-22,True,7038462,7038461.999999719,-2.812594175338745e-07,-3.060046583414078e-05,True
2018-04-23,True,8980670,8980669.999999655,-3.4458935260772705e-07,-3.0945055186748505e-05,True
2018-04-24,True,84361648,84361648.00000043,4.3213367462158203e-07,-3.0512921512126923e-05,True
2018-04-25,True,-6876912,-6876912.000004883,-4.882924258708954e-06,-3.5395845770835876e-05,True
2018-04-26,True,170204947,170204947.00000146,1.4603137969970703e-06,-3.3935531973838806e-05,True
2018-04-27,True,1718121,1718121.0,0.0,-3.3935531973838806e-05,True
2018-04-28,True,54595876,54595875.99999896,-1.043081283569336e-06,-3.497861325740814e-05,True
2018-04-29,True,-1731985,-1731985.0000000633,-6.332993507385254e-08,-3.5041943192481995e-05,True
2018-04-30,True,496625,496625.00000035204,3.520399332046509e-07,-3.4689903259277344e-05,True
2018-05-01,False,0,0.0,0.0,-3.4689903259277344e-05,True
2018-05-02,True,3889155,3889155.0,0.0,-3.4689903259277344e-05,True
2018-05-03,False,0,0.0,0.0,-3.4689903259277344e-05,True
2018-05-04,True,-20595195,-20595194.999984458,1.5541911125183105e-05,-1.9147992134094238e-05,True
2018-05-05,False,0,0.0,0.0,-1.9147992134094238e-05,True
2018-05-06,True,2585069,2585069.0,0.0,-1.9147992134094238e-05,True
2018-05-07,True,12949628,12949628.000000931,9.313225746154785e-07,-1.821666955947876e-05,True
2018-05-08,False,0,0.0,0.0,-1.821666955947876e-05,True
2018-05-09,False,0,0.0,0.0,-1.821666955947876e-05,True
