posting_date,wallet_present,wallet_sat,model_sat,difference_sat,cumulative_difference_sat,within_wallet_period,wallet_source_row,wallet_transactid
2018-07-19,True,249581814,249581815,1,1,True,209,a17ea2c6-17b6-3000-f753-bd8333f9a058
2018-07-20,True,115292225,115292224,-1,0,True,215,a8e9ea37-811b-0097-7d1e-8a0e9ebcc8eb
2018-08-05,True,-387063998,-387063996,2,2,True,279,bae8cf5a-fc9f-85cc-ab26-c6e561039411
2018-08-06,True,51604310,51604308,-2,0,True,281,81f720c3-c5b3-ed80-8a4f-479f80c8d98c
2018-08-08,True,29095989,29095990,1,1,True,287,6105bc4c-3c4c-a7aa-3a3c-c81910c34c73
2018-08-09,True,170312384,170312383,-1,0,True,290,88a783cb-71c7-304b-5367-7d49b732af9e
2018-12-29,True,15133353,15133352,-1,-1,True,616,8dc3dd93-f0d0-5875-b520-81f4f3ef1a1b
2018-12-30,True,-58399630,-58399629,1,0,True,618,ea198c16-2128-d84e-6e97-50e365714968
2019-02-20,True,148211857,148211856,-1,-1,True,1007,c9e4c40d-5b9b-0634-46ad-3abe8b7422c3
2019-02-21,True,144115784,144115785,1,0,True,1008,5c581d12-f0d5-effb-4493-3ecf02d88b6e
2021-04-18,True,9111990836,9111990835,-1,-1,True,1512,9cbe7100-6468-b345-9a2b-ab46ccd87453
2021-04-20,True,2901955247,2901955248,1,0,True,1514,5263e976-7b88-3514-b763-d15cac581fad
