posting_date,source_file,exectype,rows,source_row_min,source_row_max,commission_sat
2018-07-19,aoa-execution-2018-03-01-2018-12-31.csv,Funding,3,34545,35853,249637
2018-07-19,aoa-execution-2018-03-01-2018-12-31.csv,Trade,943,34546,35968,-10393815
2018-07-20,aoa-execution-2018-03-01-2018-12-31.csv,Funding,3,35762,36243,-2033621
2018-07-20,aoa-execution-2018-03-01-2018-12-31.csv,Trade,318,35656,36317,623476
2018-08-05,aoa-execution-2018-03-01-2018-12-31.csv,Funding,3,42672,43202,-5816373
2018-08-05,aoa-execution-2018-03-01-2018-12-31.csv,Trade,498,42487,43276,7304852
2018-08-06,aoa-execution-2018-03-01-2018-12-31.csv,Funding,3,42964,43668,-3027535
2018-08-06,aoa-execution-2018-03-01-2018-12-31.csv,Trade,584,42965,43751,7262428
2018-08-08,aoa-execution-2018-03-01-2018-12-31.csv,Funding,3,44691,45461,-5122955
2018-08-08,aoa-execution-2018-03-01-2018-12-31.csv,Trade,1619,43966,46344,-22283496
2018-08-09,aoa-execution-2018-03-01-2018-12-31.csv,Funding,3,45610,46818,-15930170
2018-08-09,aoa-execution-2018-03-01-2018-12-31.csv,Trade,1175,45293,47373,17628988
2018-12-29,aoa-execution-2018-03-01-2018-12-31.csv,Funding,3,162032,162156,14697837
2018-12-29,aoa-execution-2018-03-01-2018-12-31.csv,Trade,429,161896,162656,4832964
2018-12-30,aoa-execution-2018-03-01-2018-12-31.csv,Funding,3,162157,163811,-3035054
2018-12-30,aoa-execution-2018-03-01-2018-12-31.csv,Trade,1514,162158,164009,42623067
2019-02-20,aoa-execution-2019-01-01-2020-12-31.csv,Funding,3,12445,13311,-3818696
2019-02-20,aoa-execution-2019-01-01-2020-12-31.csv,Trade,236,12019,13209,-5408997
2019-02-21,aoa-execution-2019-01-01-2020-12-31.csv,Funding,3,13087,13388,-2702143
2019-02-21,aoa-execution-2019-01-01-2020-12-31.csv,Trade,175,13088,13401,-14950132
2021-04-18,aoa-execution-2021-01-01-2021-06-30.csv,Funding,3,88375,89142,-17326086
2021-04-18,aoa-execution-2021-01-01-2021-06-30.csv,Trade,211,88931,89141,-20756154
2021-04-20,aoa-execution-2021-01-01-2021-06-30.csv,Funding,3,90143,90404,-23104091
2021-04-20,aoa-execution-2021-01-01-2021-06-30.csv,Trade,770,90144,91176,-171593
