date,price_usd,return_1d,return_7d,return_30d,return_90d,rv30_ann,drawdown,btc_usdt_binance,usdt_usd_bitstamp,btc_usdt_converted_usd,converted_venue_basis_bps
2026-05-26,75820.94,,,,,,0.0,75930.01,0.99863,75825.9858863,0.6655003617717092
2026-05-27,74330.48,-0.019657630200839105,,,,,-0.019657630200839105,74449.3,0.99848,74336.13706400001,0.7610692141390984
2026-05-28,73519.16,-0.010915037814904327,,,,,-0.03035810423874985,73617.51,0.99864,73517.39018639999,-0.24072821289133906
2026-05-29,73373.29,-0.0019841086323620916,,,,,-0.03228197909442965,73460.78,0.99868,73363.8117704,-1.2917820095015298
2026-05-30,73762.15,0.0052997487232750995,,,,,-0.027153316748644962,73884.38,0.99853,73775.7699614,1.8464702289744395
2026-05-31,73567.99,-0.002632244315004195,,,,,-0.0297140869000041,73674.39,0.99852,73565.3519028,-0.358593078321201
2026-06-01,71313.86,-0.030640092246641548,,,,,-0.05944373678300485,71408.9,0.99873,71318.21069699999,0.6100773398021175
2026-06-02,66668.6,-0.06513824942304336,-0.12070992525283908,,,,-0.12070992525283908,66760.83,0.99867,66672.0380961,0.515699459715524
2026-06-03,64045.64,-0.039343259045487744,-0.13836638751693786,,,,-0.15530406243974293,64142.75,0.99863,64054.8744325,1.4418518575198824
2026-06-04,63814.8,-0.003604304680224879,-0.1319976996472756,,,,-0.15834860396085826,63885.99,0.99894,63818.2708506,0.5438943003799324
2026-06-05,61042.14,-0.04344854171759538,-0.16806047541278302,,,,-0.1949171297533373,61056.47,0.99977,61042.42701190001,0.04701864974032688
2026-06-06,60858.64,-0.0030061200344548844,-0.17493402781779,,,,-0.1973373054989822,60884.62,0.99957,60858.4396134,-0.03292656556297402
2026-06-07,63315.72,0.040373560763106164,-0.13935775600230482,,,,-0.16493095443026695,63332.01,0.99956,63304.143915600005,-1.828311262984661
2026-06-08,63061.78,-0.0040106943425740615,-0.11571495358686235,,,,-0.16828016112699218,63085.99,0.99964,63063.2790436,0.2377103215289722
2026-06-09,61685.44,-0.02182526405058649,-0.07474523238826081,,,,-0.18643266622650678,61730.0,0.99934,61689.258200000004,0.6189791302446679
2026-06-10,61456.49,-0.0037115727795733466,-0.04042663950270464,,,,-0.18945228059689057,61510.99,0.99903,61451.3243397,-0.8405394287891443
2026-06-11,63558.21,0.03419850368935817,-0.004020854096541959,,,,-0.16173276142448256,63625.99,0.99898,63561.09149019999,0.4533623901603612
2026-06-12,63531.04,-0.0004274821458942757,0.04077347222754635,,,,-0.16209110570246166,63580.01,0.99945,63545.0409945,2.2038037626948004
2026-06-13,64440.0,0.014307337011955079,0.05884719080150336,,,,-0.1501028607664321,64458.01,0.99955,64429.003895500005,-1.7064097610175466
2026-06-14,65712.5,0.01974705152079448,0.03785442225090385,,,,-0.13331989817061096,65746.45,0.99937,65705.0297365,-1.13681011984057
2026-06-15,66282.05,0.008667300741868056,0.05106532038899014,,,,-0.12580812108106287,66328.74,0.9994,66288.942756,1.0399129175997501
2026-06-16,65612.86,-0.010096096907081242,0.06366850913278732,,,,-0.13463404700601178,65675.01,0.99897,65607.3647397,-0.8375279327865748
2026-06-17,64443.27,-0.01782562137971133,0.048599911905154336,,,,-0.15005973283897567,64509.4,0.99914,64453.92191600001,1.6529136401688405
2026-06-18,62889.92,-0.02410414617383627,-0.010514613297007647,,,,-0.17054681727765453,62958.01,0.99885,62885.6082885,-0.6855965948115994
2026-06-19,63487.34,0.009499455556629677,-0.0006878527409593937,,,,-0.1626674636320785,63543.91,0.99905,63483.5432855,-0.598027023969161
2026-06-20,64245.72,0.011945373676074622,-0.0030148975791434163,,,,-0.1526652135940283,64298.01,0.99881,64221.4953681,-3.770621902907667
2026-06-21,63237.18,-0.01569816635256016,-0.03766893665588733,,,,-0.1659668160273402,63311.99,0.99881,63236.64873189999,-0.08401198472229865
2026-06-22,63948.96,0.011255720131732705,-0.035199424278518854,,,,-0.1565791719279661,64020.01,0.99884,63945.7467884,-0.5024650283602661
2026-06-23,62651.43,-0.020290087594856843,-0.04513490190794911,,,,-0.17369225440887437,62734.57,0.99875,62656.1517875,0.753659972325682
