date,account_net_sat,xbtusd_net_sat,other_net_sat,cumulative_sat,drawdown_sat
2018-03-05,-1910004,-1910004,0,-1910004,-1910004
2018-03-06,-6358364,-6358364,0,-8268368,-8268368
2018-03-07,-1547227,-1547227,0,-9815595,-9815595
2018-03-08,4735248,4735248,0,-5080347,-5080347
2018-03-09,3630907,3630907,0,-1449440,-1449440
2018-03-10,-6403106,-6403106,0,-7852546,-7852546
2018-03-11,-3507086,-3507086,0,-11359632,-11359632
2018-03-12,4152832,4152832,0,-7206800,-7206800
2018-03-13,-21090265,-21090265,0,-28297065,-28297065
2018-03-14,-31394156,-31394156,0,-59691221,-59691221
2018-03-15,32075933,32075933,0,-27615288,-27615288
2018-03-16,49775425,49775425,0,22160137,0
2018-03-17,22969383,22969383,0,45129520,0
2018-03-18,0,0,0,45129520,0
2018-03-19,8837371,8837371,0,53966891,0
2018-03-20,116909836,116909836,0,170876727,0
2018-03-21,-244125250,-244125250,0,-73248523,-244125250
2018-03-22,48534757,48534757,0,-24713766,-195590493
2018-03-23,0,0,0,-24713766,-195590493
2018-03-24,0,0,0,-24713766,-195590493
2018-03-25,0,0,0,-24713766,-195590493
2018-03-26,0,0,0,-24713766,-195590493
2018-03-27,0,0,0,-24713766,-195590493
2018-03-28,0,0,0,-24713766,-195590493
2018-03-29,-4377354,-4377354,0,-29091120,-199967847
2018-03-30,69164967,83256038,-14091071,40073847,-130802880
2018-03-31,35301483,36407160,-1105677,75375330,-95501397
2018-04-01,-63704170,-39384601,-24319569,11671160,-159205567
2018-04-02,-51328951,-57338557,6009606,-39657791,-210534518
2018-04-03,-66220734,-38825229,-27395505,-105878525,-276755252
2018-04-04,3698744,3698744,0,-102179781,-273056508
2018-04-05,12407124,10228935,2178189,-89772657,-260649384
2018-04-06,28374013,24791006,3583007,-61398644,-232275371
2018-04-07,-3974904,-3974904,0,-65373548,-236250275
2018-04-08,54105,54105,0,-65319443,-236196170
2018-04-09,27955181,27955181,0,-37364262,-208240989
2018-04-10,14896990,13478235,1418755,-22467272,-193343999
2018-04-11,0,0,0,-22467272,-193343999
2018-04-12,632753,632753,0,-21834519,-192711246
2018-04-13,4830097,4633657,196440,-17004422,-187881149
2018-04-14,56330627,56330627,0,39326205,-131550522
2018-04-15,-74601730,-74601730,0,-35275525,-206152252
2018-04-16,45716144,45716144,0,10440619,-160436108
2018-04-17,102594189,99587101,3007088,113034808,-57841919
2018-04-18,86710942,86710942,0,199745750,0
2018-04-19,-120570108,-120570108,0,79175642,-120570108
2018-04-20,37481502,37481502,0,116657144,-83088606
2018-04-21,37951682,37951682,0,154608826,-45136924
2018-04-22,7038462,7038462,0,161647288,-38098462
2018-04-23,16402756,8980670,7422086,178050044,-21695706
