case_date,hour_start_utc,gross_sat,trade_fee_sat,funding_credit_sat,position_end_contracts,fill_count
2020-03-13,2020-03-12 12:00:00,330365570,21500858,0,1500000,69
2020-03-13,2020-03-12 13:00:00,438000000,-6361485,0,0,40
2020-03-13,2020-03-12 14:00:00,0,-9231230,0,-4500573,270
2020-03-13,2020-03-12 15:00:00,299780864,-8000732,0,-2575924,161
2020-03-13,2020-03-12 16:00:00,251079027,-12323818,0,-3425222,111
2020-03-13,2020-03-12 17:00:00,0,0,0,-3425222,0
2020-03-13,2020-03-12 18:00:00,112387865,-2289964,0,-2873724,89
2020-03-13,2020-03-12 19:00:00,295658264,-13021767,0,-3000573,184
2020-03-13,2020-03-12 20:00:00,790724254,-15175490,-84177145,3000427,311
2020-03-13,2020-03-12 21:00:00,398753313,10359146,0,1500427,146
2020-03-13,2020-03-12 22:00:00,1440224498,40947124,0,-3000573,412
2020-03-13,2020-03-12 23:00:00,2459375323,20129249,0,2992115,645
2020-03-13,2020-03-13 00:00:00,795930472,27171925,0,480,268
2020-03-13,2020-03-13 01:00:00,5157406727,25604537,0,-299520,402
2020-03-13,2020-03-13 02:00:00,999206570,-1898696,0,480,10
2020-03-13,2020-03-13 03:00:00,1822974067,22975175,0,25741,551
2020-03-13,2020-03-13 04:00:00,0,-582678,1788871,2125952,90
2020-03-13,2020-03-13 05:00:00,-1839891609,61599088,0,-1839670,752
2020-03-13,2020-03-13 06:00:00,651365600,-14100025,0,-4009670,195
2020-03-13,2020-03-13 07:00:00,0,0,0,-4009670,0
2020-03-13,2020-03-13 08:00:00,0,0,0,-4009670,0
2020-03-13,2020-03-13 09:00:00,0,0,0,-4009670,0
2020-03-13,2020-03-13 10:00:00,0,0,0,-4009670,0
2020-03-13,2020-03-13 11:00:00,0,0,0,-4009670,0
2020-10-21,2020-10-20 12:00:00,0,0,-6112986,-30000915,0
2020-10-21,2020-10-20 13:00:00,0,0,0,-30000915,0
2020-10-21,2020-10-20 14:00:00,0,0,0,-30000915,0
2020-10-21,2020-10-20 15:00:00,0,0,0,-30000915,0
2020-10-21,2020-10-20 16:00:00,0,0,0,-30000915,0
2020-10-21,2020-10-20 17:00:00,-5387791086,68206596,0,-15520951,1001
2020-10-21,2020-10-20 18:00:00,0,-16205730,0,-23265378,98
2020-10-21,2020-10-20 19:00:00,0,0,0,-23265378,0
2020-10-21,2020-10-20 20:00:00,0,0,11311952,-23265378,0
2020-10-21,2020-10-20 21:00:00,0,0,0,-23265378,0
2020-10-21,2020-10-20 22:00:00,0,0,0,-23265378,0
2020-10-21,2020-10-20 23:00:00,0,0,0,-23265378,0
2020-10-21,2020-10-21 00:00:00,0,0,0,-23265378,0
2020-10-21,2020-10-21 01:00:00,0,0,0,-23265378,0
2020-10-21,2020-10-21 02:00:00,0,0,0,-23265378,0
2020-10-21,2020-10-21 03:00:00,-9175122122,3576266,0,7087158,1267
2020-10-21,2020-10-21 04:00:00,0,-2591913,-1916849,8352601,59
2020-10-21,2020-10-21 05:00:00,0,0,0,8352601,0
2020-10-21,2020-10-21 06:00:00,0,0,0,8352601,0
2020-10-21,2020-10-21 07:00:00,0,0,0,8352601,0
2020-10-21,2020-10-21 08:00:00,0,0,0,8352601,0
2020-10-21,2020-10-21 09:00:00,0,0,0,8352601,0
2020-10-21,2020-10-21 10:00:00,0,0,0,8352601,0
2020-10-21,2020-10-21 11:00:00,0,0,0,8352601,0
2021-05-20,2021-05-19 12:00:00,-9523628756,-7405624,-7961286,14803883,127
2021-05-20,2021-05-19 13:00:00,-7359292984,-28809484,0,-29168495,447
2021-05-20,2021-05-19 14:00:00,635838703,-14081974,0,-15466395,398
2021-05-20,2021-05-19 15:00:00,-554932784,-6729566,0,-15547249,140
2021-05-20,2021-05-19 16:00:00,-4531113295,-12672489,0,-4654347,1366
2021-05-20,2021-05-19 17:00:00,329004568,-14005628,0,-22362982,391
2021-05-20,2021-05-19 18:00:00,2468268477,-14643394,0,-6634,307
2021-05-20,2021-05-19 19:00:00,0,-3043009,0,-10006634,238
2021-05-20,2021-05-19 20:00:00,288589060,-8486728,2538683,-15006634,264
2021-05-20,2021-05-19 21:00:00,1653818379,-6502324,0,-1784981,437
2021-05-20,2021-05-19 22:00:00,0,0,0,-1784981,0
2021-05-20,2021-05-19 23:00:00,102711298,-957338,0,-4981,22
2021-05-20,2021-05-20 00:00:00,1030813,-5880546,0,14995019,283
2021-05-20,2021-05-20 01:00:00,0,-1510148,0,20005019,206
2021-05-20,2021-05-20 02:00:00,0,0,0,20005019,0
2021-05-20,2021-05-20 03:00:00,2946645955,-3016675,0,8957,650
2021-05-20,2021-05-20 04:00:00,1617616,-593444,58916,-10001043,238
2021-05-20,2021-05-20 05:00:00,0,0,0,-10001043,0
2021-05-20,2021-05-20 06:00:00,0,0,0,-10001043,0
2021-05-20,2021-05-20 07:00:00,0,0,0,-10001043,0
2021-05-20,2021-05-20 08:00:00,0,0,0,-10001043,0
2021-05-20,2021-05-20 09:00:00,5278069,-3213681,0,-5001043,138
2021-05-20,2021-05-20 10:00:00,0,0,0,-5001043,0
2021-05-20,2021-05-20 11:00:00,0,0,0,-5001043,0
