time,orderid,side,quantity,fill_count,gross_sat,fee_sat,net_sat,position_before,position_after,held_cost_sat,case_date,price_min_usd,price_max_usd
2020-03-10 12:56:51.491406,19da920e-591f-327e-b75d-baeacc5b792d,Sell,3793,1,0,-11655,11655,-874,-4667,57593166,2020-03-13,8135.5,8135.5
2020-03-10 12:56:52.117537,19da920e-591f-327e-b75d-baeacc5b792d,Sell,5000,1,0,-15365,15365,-4667,-9667,119053166,2020-03-13,8135.5,8135.5
2020-03-10 12:56:52.205295,19da920e-591f-327e-b75d-baeacc5b792d,Sell,18000,1,0,-55314,55314,-9667,-27667,340309166,2020-03-13,8135.5,8135.5
2020-03-10 12:56:52.887852,19da920e-591f-327e-b75d-baeacc5b792d,Sell,500,1,0,-1536,1536,-27667,-28167,346455166,2020-03-13,8135.5,8135.5
2020-03-10 12:56:54.825522,19da920e-591f-327e-b75d-baeacc5b792d,Sell,100,1,0,-307,307,-28167,-28267,347684366,2020-03-13,8135.5,8135.5
2020-03-10 12:56:55.671484,19da920e-591f-327e-b75d-baeacc5b792d,Sell,50,1,0,-153,153,-28267,-28317,348298966,2020-03-13,8135.5,8135.5
2020-03-10 12:56:55.747656,19da920e-591f-327e-b75d-baeacc5b792d,Sell,20000,1,0,-61460,61460,-28317,-48317,594138966,2020-03-13,8135.5,8135.5
2020-03-10 12:56:55.795779,19da920e-591f-327e-b75d-baeacc5b792d,Sell,3000,1,0,-9219,9219,-48317,-51317,631014966,2020-03-13,8135.5,8135.5
2020-03-10 12:56:57.265852,19da920e-591f-327e-b75d-baeacc5b792d,Sell,2500,1,0,-7682,7682,-51317,-53817,661744966,2020-03-13,8135.5,8135.5
2020-03-10 12:56:57.932740,19da920e-591f-327e-b75d-baeacc5b792d,Sell,100,1,0,-307,307,-53817,-53917,662974166,2020-03-13,8135.5,8135.5
2020-03-10 12:56:58.153068,19da920e-591f-327e-b75d-baeacc5b792d,Sell,1800,1,0,-5531,5531,-53917,-55717,685099766,2020-03-13,8135.5,8135.5
2020-03-10 12:56:58.598237,19da920e-591f-327e-b75d-baeacc5b792d,Sell,31,1,0,-95,95,-55717,-55748,685480818,2020-03-13,8135.5,8135.5
2020-03-10 12:56:58.632628,19da920e-591f-327e-b75d-baeacc5b792d,Sell,31,1,0,-95,95,-55748,-55779,685861870,2020-03-13,8135.5,8135.5
2020-03-10 12:56:59.593002,19da920e-591f-327e-b75d-baeacc5b792d,Sell,31,1,0,-95,95,-55779,-55810,686242922,2020-03-13,8135.5,8135.5
2020-03-10 12:56:59.600337,19da920e-591f-327e-b75d-baeacc5b792d,Sell,31,1,0,-95,95,-55810,-55841,686623974,2020-03-13,8135.5,8135.5
2020-03-10 12:56:59.947959,19da920e-591f-327e-b75d-baeacc5b792d,Sell,10000,1,0,-30730,30730,-55841,-65841,809543974,2020-03-13,8135.5,8135.5
2020-03-10 12:57:00.723623,19da920e-591f-327e-b75d-baeacc5b792d,Sell,500,1,0,-1536,1536,-65841,-66341,815689974,2020-03-13,8135.5,8135.5
2020-03-10 12:57:01.002501,19da920e-591f-327e-b75d-baeacc5b792d,Sell,1000,1,0,-3073,3073,-66341,-67341,827981974,2020-03-13,8135.5,8135.5
2020-03-10 12:57:02.662960,19da920e-591f-327e-b75d-baeacc5b792d,Sell,1000,1,0,-3073,3073,-67341,-68341,840273974,2020-03-13,8135.5,8135.5
2020-03-10 12:57:03.124451,19da920e-591f-327e-b75d-baeacc5b792d,Sell,10000,1,0,-30730,30730,-68341,-78341,963193974,2020-03-13,8135.5,8135.5
2020-03-10 12:57:03.589825,19da920e-591f-327e-b75d-baeacc5b792d,Sell,76,1,0,-233,233,-78341,-78417,964128166,2020-03-13,8135.5,8135.5
2020-03-10 12:57:04.277066,19da920e-591f-327e-b75d-baeacc5b792d,Sell,2400,1,0,-7375,7375,-78417,-80817,993628966,2020-03-13,8135.5,8135.5
2020-03-10 12:57:04.753645,19da920e-591f-327e-b75d-baeacc5b792d,Sell,200,1,0,-614,614,-80817,-81017,996087366,2020-03-13,8135.5,8135.5
2020-03-10 12:57:05.198230,19da920e-591f-327e-b75d-baeacc5b792d,Sell,1000,1,0,-3073,3073,-81017,-82017,1008379366,2020-03-13,8135.5,8135.5
2020-03-10 12:57:05.247624,19da920e-591f-327e-b75d-baeacc5b792d,Sell,30,1,0,-92,92,-82017,-82047,1008748126,2020-03-13,8135.5,8135.5
2020-03-10 12:57:06.090281,19da920e-591f-327e-b75d-baeacc5b792d,Sell,2400,1,0,-7375,7375,-82047,-84447,1038248926,2020-03-13,8135.5,8135.5
2020-03-10 12:57:06.564136,19da920e-591f-327e-b75d-baeacc5b792d,Sell,10000,1,0,-30730,30730,-84447,-94447,1161168926,2020-03-13,8135.5,8135.5
2020-03-10 12:57:06.799589,19da920e-591f-327e-b75d-baeacc5b792d,Sell,100,1,0,-307,307,-94447,-94547,1162398126,2020-03-13,8135.5,8135.5
2020-03-10 12:57:07.730811,19da920e-591f-327e-b75d-baeacc5b792d,Sell,500,1,0,-1536,1536,-94547,-95047,1168544126,2020-03-13,8135.5,8135.5
