execid,orderid,symbol,side,lastqty,lastpx,lastliquidityind,exectype,ordtype,cumqty,text,execcost,execcomm,transacttime,source_row,source_file,time,posting_date,signed_contracts,position_after,position_before,maker_contracts,liquidation_label,position_abs_reduction,ends_flat,prior_settlement_rows,wallet_symbol_posting_sat,gross_sat,fee_sat,net_sat,xbtusd_episode_id
2634ed6a-28c6-d67c-d2ea-17d00c04da8f,00000000-0000-0000-0000-000000000000,XBTUSD,Sell,10000,8541.91,RemovedLiquidity,Trade,Limit,10000,Liquidation,117070000,79022,2018-03-09 05:49:16.663947,195,aoa-execution-2018-03-01-2018-12-31.csv,2018-03-09 05:49:16.663947,2018-03-09,-10000,0,10000,0,True,10000,True,0,3630907,-2290000.0,79022.0,-2369022.0,35.0
2cdb00fa-a78b-a807-628a-ef30fb305986,00000000-0000-0000-0000-000000000000,XBTUSD,Sell,10000,8791.22,RemovedLiquidity,Trade,Limit,10000,Liquidation,113750000,76781,2018-03-09 16:26:58.662496,265,aoa-execution-2018-03-01-2018-12-31.csv,2018-03-09 16:26:58.662496,2018-03-10,-10000,0,10000,0,True,10000,True,0,-6403106,-1860000.0,76781.0,-1936781.0,62.0
f6dcccda-c05d-7b9c-b008-dfd9c0f0bc24,00000000-0000-0000-0000-000000000000,XBTUSD,Buy,10000,9441.96,RemovedLiquidity,Trade,Limit,10000,Liquidation,-105910000,71489,2018-03-10 01:04:11.711528,420,aoa-execution-2018-03-01-2018-12-31.csv,2018-03-10 01:04:11.711528,2018-03-10,10000,0,-10000,0,True,10000,True,0,-6403106,-1790000.0,71489.0,-1861489.0,69.0
c015b590-bb6e-a545-69c2-4eb239954729,00000000-0000-0000-0000-000000000000,XBTUSD,Sell,45000,9016.33,RemovedLiquidity,Trade,Limit,45000,Liquidation,499095000,336889,2018-03-12 16:03:15.628659,705,aoa-execution-2018-03-01-2018-12-31.csv,2018-03-12 16:03:15.628659,2018-03-13,-45000,0,45000,0,True,45000,True,0,-21090265,-20531723.0,336889.0,-20868612.0,106.0
28424bf0-afdd-3c28-db32-29c85303833f,00000000-0000-0000-0000-000000000000,XBTUSD,Sell,100000,9030.99,RemovedLiquidity,Trade,Limit,100000,Liquidation,1107300000,747427,2018-03-13 10:41:40.68263,918,aoa-execution-2018-03-01-2018-12-31.csv,2018-03-13 10:41:40.682630,2018-03-13,-100000,0,100000,0,True,100000,True,0,-21090265,-18812680.0,747427.0,-19560107.0,151.0
cae73931-9cb4-1d88-6958-a93f6b881979,00000000-0000-0000-0000-000000000000,XBTUSD,Sell,130000,8829.26,RemovedLiquidity,Trade,Limit,130000,Liquidation,1472380000,993856,2018-03-14 09:40:49.480453,1315,aoa-execution-2018-03-01-2018-12-31.csv,2018-03-14 09:40:49.480453,2018-03-14,-130000,0,130000,0,True,130000,True,0,-31394156,-47514796.0,993856.0,-48508652.0,152.0
497dace6-8e4f-5d6b-c9d2-44dba9ea746b,00000000-0000-0000-0000-000000000000,XBTUSD,Buy,700000,9034.22,RemovedLiquidity,Trade,Limit,700000,Liquidation,-7748300000,5230102,2018-03-20 20:05:53.705011,2486,aoa-execution-2018-03-01-2018-12-31.csv,2018-03-20 20:05:53.705011,2018-03-21,700000,0,-700000,0,True,700000,True,0,-244125250,-184669419.0,5230102.0,-189899521.0,224.0
25364c28-9d1b-44a6-ef9d-9f8845bc01d7,00000000-0000-0000-0000-000000000000,XBTUSD,Sell,100000,7262.71,RemovedLiquidity,Trade,Limit,100000,Liquidation,1376900000,929407,2018-03-29 20:09:56.625202,4234,aoa-execution-2018-03-01-2018-12-31.csv,2018-03-29 20:09:56.625202,2018-03-30,-100000,0,100000,0,True,100000,True,0,83256038,-39051228.0,929407.0,-39980635.0,247.0
06a8d551-3061-22d9-26ad-1b5d919a8fda,00000000-0000-0000-0000-000000000000,XBTM18,Sell,30000,7152.58,RemovedLiquidity,Trade,Limit,30000,Liquidation,419430000,283115,2018-03-29 20:10:02.172876,4024,aoa-execution-2018-03-01-2018-12-31.csv,2018-03-29 20:10:02.172876,2018-03-30,-30000,0,30000,0,True,30000,True,0,-14091071,,,,
c87cf3ab-71c8-5f41-95ab-f6a09d93c689,00000000-0000-0000-0000-000000000000,XBTUSD,Buy,50000,7154.6,RemovedLiquidity,Trade,Limit,50000,Liquidation,-698850000,471723,2018-03-31 01:54:22.633975,5128,aoa-execution-2018-03-01-2018-12-31.csv,2018-03-31 01:54:22.633975,2018-03-31,50000,0,-50000,0,True,50000,True,0,36407160,-47025000.0,471723.0,-47496723.0,274.0
