episode_id,start,end,closed,direction,gross_sat,trade_fee_sat,funding_credit_sat,entry_contracts,exit_contracts,entry_cost_sat,exit_cost_sat,peak_contracts,opening_batches,closing_batches,net_sat,duration_hours,entry_harmonic_usd,exit_harmonic_usd
35,2018-03-09 05:15:24.341111,2018-03-09 05:49:16.663947,True,long,-2290000,156498,0,10000,10000,114780000,117070000,10000,1,1,-2446498,0.5645341211111111,8712.319219376199,8541.898009737764
62,2018-03-09 14:02:11.795953,2018-03-09 16:26:58.662496,True,long,-1860000,152306,0,10000,10000,111890000,113750000,10000,2,1,-2012306,2.413018484166667,8937.34918223255,8791.208791208792
69,2018-03-10 00:53:53.744962,2018-03-10 01:04:11.711528,True,short,-1790000,144185,0,10000,10000,107700000,105910000,10000,2,1,-1934185,0.17165737944444442,9285.051067780872,9441.979038806534
106,2018-03-12 14:27:49.285701,2018-03-12 16:03:15.628659,True,long,-20337879,755472,0,55000,55000,584679588,605017467,45000,11,3,-21093351,1.5906508216666668,9406.861660441617,9090.646634173952
151,2018-03-13 10:06:47.899746,2018-03-13 10:41:40.682630,True,long,-21757940,2166186,0,160000,160000,1739337392,1761095332,100000,11,4,-23924126,0.5813285788888889,9198.905326586573,9085.25490316841
152,2018-03-13 11:23:52.920973,2018-03-14 09:40:49.480453,True,long,-15388935,8718682,1968820,680000,680000,7542018750,7557407685,130000,23,14,-22138797,22.282377633333333,9016.153665754278,8997.794327672294
224,2018-03-20 16:17:33.604391,2018-03-20 20:05:53.705011,True,short,-227986107,9706879,782530,1804712,1804712,20482374992,20254388885,900000,73,50,-236910456,3.805583505555555,8811.048526867045,8910.226866121515
247,2018-03-29 16:54:19.163895,2018-03-29 20:09:56.625202,True,long,-39051228,1263693,-136200,100000,100000,1337848772,1376900000,100000,3,1,-40451121,3.260405918611111,7474.686384060156,7262.691553489723
274,2018-03-30 16:56:46.952160,2018-03-31 01:54:22.633975,True,short,-44085510,1311396,-2748563,100000,100000,1491750000,1447664490,100000,2,2,-48145469,8.959911615277777,6703.536115300822,6907.677897107223
405,2018-04-04 15:06:50.768828,2018-04-04 15:55:52.682983,True,long,-4300000,1967011,0,100000,100000,1454900000,1459200000,100000,2,2,-6267011,0.8171983763888889,6873.324627122139,6853.070175438596
570,2018-04-16 01:47:58.420948,2018-04-16 02:12:26.807630,True,long,-94733976,3665790,0,532364,532364,6378192560,6472926536,400000,11,25,-98399766,0.40788518944444446,8346.627904253803,8224.471528283077
756,2018-05-22 18:02:57.532789,2018-05-22 22:50:57.695986,True,long,-146600000,2301707,-244280,400000,400000,4895000000,5041600000,400000,3,1,-149145987,4.800045332500001,8171.603677221655,7933.989209774675
798,2018-05-25 09:10:28.147310,2018-05-26 22:41:53.924393,True,long,119415866,-650231,788496,1313238,1313238,17564335658,17444919792,600001,32,27,120854593,37.5238269675,7476.7302650690435,7527.910793847461
855,2018-06-10 07:58:58.782343,2018-06-10 17:35:15.961816,True,long,34133295,-2239666,-1,766531,766531,10631155578,10597022283,400001,16,49,36372960,9.604772075833333,7210.232174442552,7233.456527025404
927,2018-06-24 16:40:14.438395,2018-06-24 16:43:49.921194,True,short,-135807854,5042265,0,226841,226841,3802919460,3667111606,226841,2,1,-140850119,0.05985633305555556,5964.917279631265,6185.822095756526
1003,2018-07-17 14:30:24.552122,2018-07-17 17:44:13.555348,True,short,-595096861,2269214,0,799999,799999,11873683012,11278586151,599999,47,8,-597366075,3.230278673888889,6737.58091058596,7093.078771482978
1259,2018-09-09 05:48:12.650544,2018-09-09 09:32:01.238134,True,short,-649,7,0,1,1,16194,15545,1,1,1,-656,3.730163219444444,6175.126590095097,6432.9366355741395
2148,2019-09-24 03:20:34.318940,2019-09-24 19:45:00.887980,True,long,-1187712,9807,-1186,576,576,5944896,7132608,576,1,1,-1198705,16.407380288888888,9688.983625617673,8075.5874989905515
2238,2020-03-11 19:05:22.319171,2020-03-12 10:48:12.744702,True,long,40980430,-20530523,-1915375,3204079,3204079,41089627346,41048646916,3000126,336,225,59595578,15.714007091944445,7797.780624826989,7805.565446667889
