date,address,net_sat
2020-03-13,XBTH20,13380144161
2020-03-13,XBTUSD,14173651314
2020-03-20,XBTUSD,-7885178130
2020-03-30,XBTUSD,6131053094
2020-04-03,XBTUSD,-11002862944
2020-10-21,XBTUSD,-14612616310
2020-11-27,XBTUSD,6844212569
2020-12-28,BCHUSD,3902379
2020-12-28,ETHUSD,-86845720
2020-12-28,XBTUSD,-12917046398
2020-12-28,XRPUSD,120900
2021-01-22,XBTUSD,9513513884
2021-02-09,XBTUSD,-8087373157
2021-02-09,XRPUSD,-131147718
2021-02-23,XBTUSD,7081573457
2021-04-18,XBTUSD,9111990836
2021-05-06,BCHUSD,-6314277877
2021-05-06,DOTUSDT,20191980
2021-05-06,ETHUSD,-4045738122
2021-05-06,LINKUSDT,71324589
2021-05-06,LTCUSD,16793068
2021-05-06,XBTUSD,-261659445
2021-05-06,XRPUSD,-424144069
2021-05-11,ADAUSDT,-983164
2021-05-11,BCHUSD,24542159
2021-05-11,DOTUSDT,32937409
2021-05-11,LINKUSDT,-1011845342
2021-05-11,LTCUSD,-3057842381
2021-05-11,XBTUSD,-5053751618
2021-05-11,XRPUSD,54068679
2021-05-20,ETHUSD,-14773970756
2021-05-20,XBTUSD,-13409976516
2021-05-22,ETHUSD,10458342562
2021-05-22,XBTUSD,1955080756
2021-05-24,ETHUSD,10667081821
2021-05-24,XBTUSD,-16451479
2021-06-05,BNBUSDT,17207169
2021-06-05,DOGEUSDT,19714111
2021-06-05,DOTUSDT,3310246
2021-06-05,ETHUSD,-119291417
2021-06-05,LTCUSD,11486158
2021-06-05,XBTUSD,6188979257
2021-06-05,XRPUSD,4951639
2021-06-08,BNBUSDT,3312730
2021-06-08,DOGEUSDT,26878952
2021-06-08,DOTUSDT,3083948
2021-06-08,ETHUSD,4413752216
2021-06-08,LTCUSD,5836615
2021-06-08,XBTUSD,12673333736
2021-06-08,XRPUSD,14625750
2021-06-09,BNBUSDT,2855399
2021-06-09,DOGEUSDT,1740858424
2021-06-09,DOTUSDT,754616134
2021-06-09,ETHUSD,6457740876
2021-06-09,LTCUSD,3371353
2021-06-09,XBTUSD,4730741440
2021-06-09,XRPUSD,3641329
2021-06-10,BNBUSDT,658341150
2021-06-10,DOGEUSDT,923534555
2021-06-10,DOTUSDT,941950881
2021-06-10,ETHUSD,-1080510995
2021-06-10,LTCUSD,651275877
2021-06-10,XBTUSD,-12002183815
2021-06-10,XRPUSD,743391181
2021-06-14,ETHUSD,-33738530
2021-06-14,XBTUSD,6937300071
2021-06-18,ETHUSD,6911290582
2021-06-18,XBTUSD,7782782876
2021-06-25,ETHUSD,-85241756
2021-06-25,ETHUSDM21,13992024794
2021-06-25,XBTU21,3841581
2021-06-25,XBTUSD,14580933
2021-06-26,ETHUSD,-1567369530
2021-06-26,XBTU21,-1536057656
2021-06-26,XBTUSD,-6573199470
2021-09-06,ETHUSD,-138487093
2021-09-06,XBTU21,12569412011
2021-09-06,XBTUSD,2548006035
2021-09-21,DOGEUSDT,6642393
2021-09-21,ETHUSD,10784064942
2021-09-21,LTCUSD,2389513
2021-09-21,XBTUSD,811236732
2021-09-21,XRPUSD,2092867
2021-09-26,DOGEUSDT,1339326070
2021-09-26,ETHUSD,2333927093
2021-09-26,LTCUSD,1571501054
2021-09-26,XBTUSD,2468524220
2021-09-26,XRPUSD,1917818075
2021-10-13,ETHUSD,-1596957520
2021-10-13,XBTUSD,-8993049023
2021-10-13,XRPUSD,19844400
2021-12-04,XBTUSD,-8252559183
2021-12-07,XBTUSD,-8398394122
