date,transactid,account,currency,amount,transactstatus,address,network,text,timestamp,transacttime,transacttype,tx,walletbalance,source_row,amount_sat,balance_sat
2020-03-13,652cf0c0-fb9f-1b49-a1ac-e9984024cef0,aoa,XBt,13380144161,Completed,XBTH20,,,00:00.0,00:00.0,RealisedPNL,-,68259915842,1066,13380144161,68259915842
2020-03-13,6a03bffa-1517-2dd0-80f5-e73f56be2e9b,aoa,XBt,14173651314,Completed,XBTUSD,,,00:00.0,00:00.0,RealisedPNL,-,68259915842,1067,14173651314,68259915842
2020-03-20,1cf33cbf-19c0-a87d-9520-c8755321ea15,aoa,XBt,-7885178130,Completed,XBTUSD,,,00:00.0,00:00.0,RealisedPNL,-,49674142169,1072,-7885178130,49674142169
2020-03-30,a8ce1378-aac5-896a-e279-ed05ea184efa,aoa,XBt,6131053094,Completed,XBTUSD,,,00:00.0,00:00.0,RealisedPNL,-,61483121419,1084,6131053094,61483121419
2020-04-03,bf2b9f0f-f424-7fe1-4450-e6f566b789ba,aoa,XBt,-11002862944,Completed,XBTUSD,,,00:00.0,00:00.0,RealisedPNL,-,51255072659,1088,-11002862944,51255072659
2020-10-21,9152ed57-6aa0-97ba-cd33-88a91f6a0972,aoa,XBt,-14612616310,Completed,XBTUSD,,,00:00.0,00:00.0,RealisedPNL,-,50333915844,1308,-14612616310,50333915844
2020-11-27,001a1212-ec45-30cb-e468-e1607432e7be,aoa,XBt,6844212569,Completed,XBTUSD,,,00:00.0,00:00.0,RealisedPNL,-,60838724332,1410,6844212569,60838724332
2020-12-28,da901a51-35e6-9f6b-5896-f7c1ba4a04bb,aoa,XBt,3902379,Completed,BCHUSD,,,00:00.0,00:00.0,RealisedPNL,-,51057147942,1446,3902379,51057147942
2020-12-28,6b5f0e62-f627-3d81-15db-5589893fc46c,aoa,XBt,-86845720,Completed,ETHUSD,,,00:00.0,00:00.0,RealisedPNL,-,51057147942,1447,-86845720,51057147942
2020-12-28,fc8cdc29-3308-9728-a9a8-8cad10ed5105,aoa,XBt,-12917046398,Completed,XBTUSD,,,00:00.0,00:00.0,RealisedPNL,-,51057147942,1448,-12917046398,51057147942
2020-12-28,52a31f20-bcb6-b79f-9baf-2d84a0748de0,aoa,XBt,120900,Completed,XRPUSD,,,00:00.0,00:00.0,RealisedPNL,-,51057147942,1449,120900,51057147942
2021-04-18,9cbe7100-6468-b345-9a2b-ab46ccd87453,aoa,XBt,9111990836,Completed,XBTUSD,,,00:00.1,00:00.0,RealisedPNL,-,65530617409,1512,9111990836,65530617409
2021-05-06,d2fcdc1f-9a80-f91e-9091-1ad652002282,aoa,XBt,-6314277877,Completed,BCHUSD,,,00:00.1,00:00.0,RealisedPNL,-,63630840201,1561,-6314277877,63630840201
2021-05-06,9badb8f8-86a2-e0cc-8e9d-2d94033d078a,aoa,XBt,20191980,Completed,DOTUSDT,,,00:00.1,00:00.0,RealisedPNL,-,63630840201,1562,20191980,63630840201
2021-05-06,360e75e0-a245-d92d-8712-9f5c50c71487,aoa,XBt,-4045738122,Completed,ETHUSD,,,00:00.1,00:00.0,RealisedPNL,-,63630840201,1563,-4045738122,63630840201
2021-05-06,162e73db-9ea1-5dfe-08c2-ef1fe3fe8418,aoa,XBt,71324589,Completed,LINKUSDT,,,00:00.1,00:00.0,RealisedPNL,-,63630840201,1564,71324589,63630840201
2021-05-06,3aee2860-2194-3cfe-be91-d93c0fa86b94,aoa,XBt,16793068,Completed,LTCUSD,,,00:00.1,00:00.0,RealisedPNL,-,63630840201,1565,16793068,63630840201
2021-05-06,b7c63632-5851-df4b-14b2-caaa9734a6d7,aoa,XBt,-261659445,Completed,XBTUSD,,,00:00.1,00:00.0,RealisedPNL,-,63630840201,1566,-261659445,63630840201
2021-05-06,19ea6d33-410c-5be1-9cda-55bb1dfcfc24,aoa,XBt,-424144069,Completed,XRPUSD,,,00:00.1,00:00.0,RealisedPNL,-,63630840201,1567,-424144069,63630840201
2021-05-11,0ace0c65-354a-9470-27e7-b4a591fa5576,aoa,XBt,-983164,Completed,ADAUSDT,,,00:00.1,00:00.0,RealisedPNL,-,52799676254,1592,-983164,52799676254
2021-05-11,cc3256b6-92ec-066c-93e7-5115e9d0298b,aoa,XBt,24542159,Completed,BCHUSD,,,00:00.1,00:00.0,RealisedPNL,-,52799676254,1593,24542159,52799676254
2021-05-11,6a3ed72f-81b6-afdd-745f-c37760be084c,aoa,XBt,32937409,Completed,DOTUSDT,,,00:00.1,00:00.0,RealisedPNL,-,52799676254,1594,32937409,52799676254
2021-05-11,37d8d7f2-79cf-12b5-3227-5eed9c24b2a1,aoa,XBt,-1011845342,Completed,LINKUSDT,,,00:00.1,00:00.0,RealisedPNL,-,52799676254,1595,-1011845342,52799676254
2021-05-11,8423e8f7-4e3b-5e89-21e6-66c3990053d2,aoa,XBt,-3057842381,Completed,LTCUSD,,,00:00.1,00:00.0,RealisedPNL,-,52799676254,1596,-3057842381,52799676254
2021-05-11,05454462-baef-8904-14d9-a02317902f9f,aoa,XBt,-5053751618,Completed,XBTUSD,,,00:00.1,00:00.0,RealisedPNL,-,52799676254,1597,-5053751618,52799676254
2021-05-11,cf8c5fce-43c2-c26e-9c2d-fc011b1ed7ce,aoa,XBt,54068679,Completed,XRPUSD,,,00:00.1,00:00.0,RealisedPNL,-,52799676254,1598,54068679,52799676254
2021-05-20,ab38d1d9-2ebc-9011-f071-efaeaf6eef39,aoa,XBt,-14773970756,Completed,ETHUSD,,,00:00.1,00:00.0,RealisedPNL,-,35714233158,1641,-14773970756,35714233158
2021-05-20,fb8fb595-d6be-eb57-6b4e-d693daf75e34,aoa,XBt,-13409976516,Completed,XBTUSD,,,00:00.1,00:00.0,RealisedPNL,-,35714233158,1642,-13409976516,35714233158
2021-05-22,bdce58bd-f988-dc67-981c-0bc41fa519d3,aoa,XBt,10458342562,Completed,ETHUSD,,,00:00.1,00:00.0,RealisedPNL,-,49944476797,1645,10458342562,49944476797
2021-05-22,8a1bd713-7a84-448a-b0c9-1501624b9c8f,aoa,XBt,1955080756,Completed,XBTUSD,,,00:00.1,00:00.0,RealisedPNL,-,49944476797,1646,1955080756,49944476797
2021-05-24,44852c0e-485a-a116-1a0b-08e0ecac0b70,aoa,XBt,10667081821,Completed,ETHUSD,,,00:00.1,00:00.0,RealisedPNL,-,59432555102,1649,10667081821,59432555102
2021-05-24,cc94e3a2-3e77-4fbe-3e60-49da20284b03,aoa,XBt,-16451479,Completed,XBTUSD,,,00:00.1,00:00.0,RealisedPNL,-,59432555102,1650,-16451479,59432555102
2021-06-05,6b4e1dd7-ace3-17ad-4943-c767583b43e2,aoa,XBt,17207169,Completed,BNBUSDT,,,00:00.1,00:00.0,RealisedPNL,-,1.00334E+11,1685,17207169,100334000000
2021-06-05,fbad05b8-bc10-afc9-89d2-95906845e28e,aoa,XBt,19714111,Completed,DOGEUSDT,,,00:00.1,00:00.0,RealisedPNL,-,1.00334E+11,1686,19714111,100334000000
2021-06-05,535a410c-00ff-43e7-cec8-6491695a7864,aoa,XBt,3310246,Completed,DOTUSDT,,,00:00.1,00:00.0,RealisedPNL,-,1.00334E+11,1687,3310246,100334000000
2021-06-05,f72d3c07-0500-49f0-306c-05a201ef98cb,aoa,XBt,-119291417,Completed,ETHUSD,,,00:00.1,00:00.0,RealisedPNL,-,1.00334E+11,1688,-119291417,100334000000
2021-06-05,0614bd5c-8527-5ecc-10bd-dee6da7f5604,aoa,XBt,11486158,Completed,LTCUSD,,,00:00.1,00:00.0,RealisedPNL,-,1.00334E+11,1689,11486158,100334000000
2021-06-05,0dc482a9-2df5-c4a8-e821-02d8d74b0518,aoa,XBt,6188979257,Completed,XBTUSD,,,00:00.1,00:00.0,RealisedPNL,-,1.00334E+11,1690,6188979257,100334000000
2021-06-05,8086e723-d41c-4cb7-311f-6c023b2db225,aoa,XBt,4951639,Completed,XRPUSD,,,00:00.1,00:00.0,RealisedPNL,-,1.00334E+11,1691,4951639,100334000000
2021-06-08,c53236eb-03c4-3346-e120-9aff2602c39d,aoa,XBt,3312730,Completed,BNBUSDT,,,00:00.0,00:00.0,RealisedPNL,-,1.20302E+11,1706,3312730,120302000000
