date,account_net_sat,xbtusd_net_sat,other_net_sat,cumulative_sat,drawdown_sat,ranking,tail,rank
2020-03-13,27553795475,14173651314,13380144161,116029511841,0,account_net_sat,profit,1
2021-06-08,17140823947,12673333736,4467490211,240285747998,0,account_net_sat,profit,2
2021-09-06,14978930953,2548006035,12430924918,358289553505,0,account_net_sat,profit,3
2021-06-18,14694073458,7782782876,6911290582,272561285396,0,account_net_sat,profit,4
2021-06-25,13925205552,14580933,13910624619,281435336226,0,account_net_sat,profit,5
2021-06-09,13693824955,4730741440,8963083515,253979572953,0,account_net_sat,profit,6
2021-05-22,12413423318,1955080756,10458342562,169927772796,-26102445040,account_net_sat,profit,7
2021-09-21,11606426447,811236732,10795189715,381432169305,0,account_net_sat,profit,8
2021-05-24,10650630342,-16451479,10667081821,179415851101,-16614366735,account_net_sat,profit,9
2021-09-26,9631096512,2468524220,7162572292,406223532996,0,account_net_sat,profit,10
2021-05-20,-28183947272,-13409976516,-14773970756,155697529157,-40332688679,account_net_sat,loss,1
2020-10-21,-14612616310,-14612616310,0,140312411843,-26347251673,account_net_sat,loss,2
2020-12-28,-12999868839,-12917046398,-82822441,146036843941,-20622819575,account_net_sat,loss,3
2020-04-03,-11002862944,-11002862944,0,109027068658,-11071462374,account_net_sat,loss,4
2021-05-06,-10937509876,-261659445,-10675850431,183614136200,-12416081636,account_net_sat,loss,5
2021-10-13,-10570162143,-8993049023,-1577113120,401107489762,-10570162143,account_net_sat,loss,6
2021-06-26,-9676626656,-6573199470,-3103427186,271758709570,-9676626656,account_net_sat,loss,7
2021-06-10,-9164201166,-12002183815,2837982649,244815371787,-9164201166,account_net_sat,loss,8
2021-05-11,-9012874258,-5053751618,-3959122640,172782972253,-23247245583,account_net_sat,loss,9
2021-12-07,-8398394122,-8398394122,0,352593697765,-59083954140,account_net_sat,loss,10
2020-03-13,27553795475,14173651314,13380144161,116029511841,0,xbtusd_net_sat,profit,1
2021-06-08,17140823947,12673333736,4467490211,240285747998,0,xbtusd_net_sat,profit,2
2021-01-22,9513513884,9513513884,0,172499587486,0,xbtusd_net_sat,profit,3
2021-04-18,9111990836,9111990836,0,185513913408,0,xbtusd_net_sat,profit,4
2021-06-18,14694073458,7782782876,6911290582,272561285396,0,xbtusd_net_sat,profit,5
2021-02-23,7081573457,7081573457,0,169584924339,-11881989933,xbtusd_net_sat,profit,6
2021-06-14,6903561541,6937300071,-33738530,254427872919,0,xbtusd_net_sat,profit,7
2020-11-27,6844212569,6844212569,0,150817220331,-15842443185,xbtusd_net_sat,profit,8
2021-06-05,6126357163,6188979257,-62622094,220317717759,0,xbtusd_net_sat,profit,9
2020-03-30,6131053094,6131053094,0,119255117418,0,xbtusd_net_sat,profit,10
2020-10-21,-14612616310,-14612616310,0,140312411843,-26347251673,xbtusd_net_sat,loss,1
2021-05-20,-28183947272,-13409976516,-14773970756,155697529157,-40332688679,xbtusd_net_sat,loss,2
2020-12-28,-12999868839,-12917046398,-82822441,146036843941,-20622819575,xbtusd_net_sat,loss,3
2021-06-10,-9164201166,-12002183815,2837982649,244815371787,-9164201166,xbtusd_net_sat,loss,4
2020-04-03,-11002862944,-11002862944,0,109027068658,-11071462374,xbtusd_net_sat,loss,5
2021-10-13,-10570162143,-8993049023,-1577113120,401107489762,-10570162143,xbtusd_net_sat,loss,6
2021-12-07,-8398394122,-8398394122,0,352593697765,-59083954140,xbtusd_net_sat,loss,7
2021-12-04,-8252559183,-8252559183,0,360861746996,-50815904909,xbtusd_net_sat,loss,8
2021-02-09,-8218520875,-8087373157,-131147718,164374202085,-17092712187,xbtusd_net_sat,loss,9
2020-03-20,-7885178130,-7885178130,0,102444938168,-13584573673,xbtusd_net_sat,loss,10
