episode_id,start,end,closed,direction,gross_sat,trade_fee_sat,funding_credit_sat,entry_contracts,exit_contracts,entry_cost_sat,exit_cost_sat,peak_contracts,opening_batches,closing_batches,net_sat,duration_hours,entry_harmonic_usd,exit_harmonic_usd
1,2018-03-05 07:28:18.063937,2018-03-05 07:50:39.213592,True,long,-1175000,548876,0,47000,47000,405986000,407161000,47000,1,1,-1723876,0.37254157083333334,11576.753878212548,11543.34526145677
2,2018-03-05 09:16:57.937933,2018-03-05 10:09:59.096173,True,short,-17000,66865,0,17000,17000,148580000,148563000,17000,1,4,-83865,0.8836550666666667,11441.647597254005,11442.956860052638
3,2018-03-05 10:18:04.332816,2018-03-05 18:44:09.799976,True,short,-4227000,335624,608514,40000,40000,349947000,345720000,40000,2,1,-3954110,8.434851988888889,11430.302302920156,11570.056693277797
4,2018-03-05 18:47:26.817534,2018-03-05 18:54:44.152336,True,short,-1140000,115628,0,30000,30000,258660000,257520000,30000,3,1,-1255628,0.12148188944444445,11598.237067965669,11649.580615097857
5,2018-03-05 19:19:42.170261,2018-03-05 19:31:57.817882,True,short,-35000,57939,0,5000,5000,42935000,42900000,5000,1,1,-92939,0.20434656138888888,11645.51065564225,11655.011655011655
6,2018-03-05 19:48:49.921588,2018-03-05 20:37:37.834668,True,long,-95000,58020,-52189,5000,5000,42930000,43025000,5000,1,1,-205209,0.8133091888888888,11646.866992778943,11621.150493898896
7,2018-03-05 22:17:28.787751,2018-03-06 00:03:12.792359,True,long,-1458000,105790,0,9000,9000,77634000,79092000,9000,1,1,-1563790,1.7622235022222223,11592.858798979829,11379.15339098771
8,2018-03-06 00:09:37.019976,2018-03-06 00:37:05.296465,True,short,450000,118875,0,10000,10000,87830000,88280000,10000,1,1,331125,0.4578545802777778,11385.63133325743,11327.594019030357
9,2018-03-06 01:00:29.349048,2018-03-06 01:07:09.171943,True,short,1060000,239936,0,20000,20000,177200000,178260000,20000,1,1,820064,0.11106191527777778,11286.681715575622,11219.566924716706
10,2018-03-06 01:14:23.643436,2018-03-06 01:18:32.439675,True,short,-160000,240084,0,20000,20000,177920000,177760000,20000,1,1,-400084,0.06911006638888889,11241.007194244605,11251.12511251125
11,2018-03-06 01:19:47.450973,2018-03-06 01:24:47.271616,True,short,60000,240288,0,20000,20000,177960000,178020000,20000,1,1,-180288,0.08328351194444444,11238.480557428637,11234.692731153804
12,2018-03-06 01:27:47.356189,2018-03-06 01:38:34.444920,True,long,230000,40056,0,10000,10000,88900000,88670000,10000,1,7,189944,0.17974686972222223,11248.59392575928,11277.77151234916
13,2018-03-06 02:10:36.563108,2018-03-06 02:45:21.358774,True,short,150120,120063,0,10000,10000,88859880,89010000,10000,1,1,30057,0.5791099072222222,11253.672636064779,11234.692731153804
14,2018-03-06 07:16:01.443339,2018-03-06 07:32:19.503912,True,short,-60000,119769,0,10000,10000,88750000,88690000,10000,1,1,-179769,0.2716834925,11267.605633802817,11275.228323373549
15,2018-03-06 14:18:57.009359,2018-03-06 21:27:27.822729,True,long,-2740000,84413,-79993,20000,20000,183480000,186220000,20000,1,1,-2904406,7.141892602777777,10900.37061260083,10739.98496402105
16,2018-03-06 22:27:21.943559,2018-03-06 23:21:02.958930,True,short,1400000,42821,0,10000,10000,93060000,94460000,10000,1,1,1357179,0.8947264919444444,10745.75542660649,10586.491636671608
17,2018-03-08 01:06:41.759573,2018-03-08 01:17:45.155130,True,long,250000,135100,0,10000,10000,100200000,99950000,10000,1,1,114900,0.18427654361111112,9980.039920159681,10005.002501250625
18,2018-03-08 01:35:23.169916,2018-03-08 01:36:54.285272,True,short,630000,136355,0,10000,10000,100690000,101320000,10000,1,1,493645,0.025309821111111113,9931.47283742179,9869.71969996052
19,2018-03-08 01:39:26.744470,2018-03-08 01:41:29.398657,True,short,600000,137077,0,10000,10000,101240000,101840000,10000,1,1,462923,0.034070607499999996,9877.518767285657,9819.324430479182
20,2018-03-08 01:48:18.932880,2018-03-08 02:02:50.439644,True,short,2050009,161108,0,15000,15000,152060000,154110009,15000,6,1,1888901,0.2420852122222222,9864.527160331449,9733.306809423391
21,2018-03-08 02:11:59.035899,2018-03-08 02:23:34.758350,True,long,-1070000,279455,0,20000,20000,206470000,207540000,20000,3,1,-1349455,0.1932562363888889,9686.637283866905,9636.696540425943
22,2018-03-08 02:24:08.882562,2018-03-08 02:29:58.964910,True,long,1274650,210312,0,15000,15000,156426040,155151390,15000,1,1,1064338,0.09724509666666667,9589.196274482178,9667.976548582647
