episode_id,start,end,closed,direction,gross_sat,trade_fee_sat,funding_credit_sat,entry_contracts,exit_contracts,entry_cost_sat,exit_cost_sat,peak_contracts,opening_batches,closing_batches,net_sat,duration_hours,entry_harmonic_usd,exit_harmonic_usd,selection
2538,2021-06-01 13:42:08.850358,2021-06-08 14:19:43.859466,True,short,23092706614,-85921474,-562547492,225684559,225684559,614725101616,637817808230,58401516,5790,5954,22616080596,168.6263914188889,36713.08661493024,35383.85979317422,largest_profit
2573,2021-08-18 19:59:34.066307,2021-09-07 08:33:58.154893,True,long,18024432654,5834912,-621316339,251170700,251170700,529123323740,511098891086,74452600,2429,4275,17397281403,468.5733579405556,47469.21723742043,49143.268432123594,largest_profit
2512,2021-03-01 13:04:42.462011,2021-04-24 12:04:08.502373,True,short,13502322781,32626070,3144500557,704710869,704710869,1281941888240,1295444211021,80172646,13693,10186,16614197268,1294.9905667672224,54972.13839915237,54399.16771441547,largest_profit
2367,2020-08-30 08:19:41.775996,2020-09-03 15:09:02.852710,True,short,14643303592,203883066,243195098,86159779,86159779,750288518980,764931822572,24010268,1860,608,14682615624,102.82252130944445,11483.552902706313,11263.72004112695,largest_profit
2542,2021-06-13 20:13:09.519346,2021-06-18 14:09:40.954653,True,short,10535554691,12011184,-275218035,100656200,100656200,254287884674,264823439365,70002900,2035,1316,10248325472,113.94206536305556,39583.56102141571,38008.795687177786,largest_profit
2586,2021-09-27 13:31:37.857286,2021-10-22 20:27:34.539427,True,short,-19551913322,10684662,500481819,110088600,110088600,204602633566,185050720244,60092400,2387,994,-19062116165,606.9324117058333,53806.052288416904,59491.0410804356,largest_loss
2589,2021-11-09 16:45:44.851671,2021-12-24 03:28:15.683307,True,long,-18620713242,7637532,-412595848,110869800,110869800,191209460242,209830173484,70942300,2540,2143,-19040946622,1066.7085643433334,57983.42815239377,52837.87272303526,largest_loss
2498,2021-01-29 21:06:34.256901,2021-02-14 11:07:34.846106,True,short,-19612221073,-210116030,1325008882,350319742,350319742,859544144924,839931923851,55001150,5572,3908,-18077096161,374.0168303347223,40756.45725339388,41708.111342383636,largest_loss
2525,2021-05-19 01:55:01.316645,2021-05-19 13:33:45.158649,True,long,-17272858611,-27565061,-9589418,40702992,40702992,101205812846,118478671457,40702992,248,360,-17254882968,11.645511667777777,40218.03773458722,34354.69987927112,largest_loss
2540,2021-06-08 20:27:31.268747,2021-06-12 03:39:50.405293,True,short,-14826585665,-75586611,-172642873,102291200,102291200,295081345567,280254759902,64947200,3169,2924,-14923641927,79.20531570722223,34665.42414040001,36499.362235906134,largest_loss
