symbol,fills,orders,contracts,btc_turnover,fee_sat,maker_fills
ADAM18,526,149,9918332,325.79830651,-7794512,484
ADAM19,17,2,2000000,18.493724620000002,1842427,1
ADAU18,654,129,15131178,254.48972397,-8289754,560
ADAUSDT,485,6,3568,66.1443979,-1279504,463
ADAZ18,253,22,8341266,107.11891159,2394801,184
BCHM18,70,30,512,84.9247,471803,64
BCHM19,46,3,2000,124.65,-6232500,46
BCHU18,33,6,276,28.9842,-534102,27
BCHUSD,9217,31,1018798,718.0751383,-10474123,8943
BCHZ18,2467,280,54564,3317.45239,152075207,1583
BNBUSDT,4785,6,546786,212.08705521,-4540563,4768
DOGEUSDT,11183,27,2363462,645.58609489,-4409055,10744
DOTUSDT,11351,34,188550,598.9744460000001,-11342602,11275
EOSH21,2020,3,1000000,61.2958087,2015273,1923
EOSM18,276,55,144468,188.2379221,990959,246
EOSU18,1085,253,755420,805.8788217,-13798244,848
EOSZ18,384,31,307980,234.635095,7803386,223
ETHM18,5,4,40,3.3994,305972,2
ETHU18,158,39,2200,133.23118,1065451,122
ETHUSD,327428,2654,170343814,115489.80925755,-894099452,301437
ETHUSDM21,5356,27,144658,427.0098516,-2174660,5221
LINKUSDT,6381,39,170854,588.9278707,-7811522,6166
LTCH19,109,7,12000,169.64117,116663,46
LTCU18,12,4,2058,22.81293,-1026579,12
LTCUSD,17201,71,2467848,1049.07770992,-10576111,16489
TRXH19,38,5,3904294,25.24919129,300882,32
TRXU18,776,114,92871898,397.42968926,-14650116,739
TRXU19,497,6,50000000,130.29726124,5684684,371
TRXZ18,147,11,17632082,71.57903552,2875294,115
XBT7D_U110,11,4,35,0.08911,0,9
XBTH19,531,17,1810661,483.41755225,-2150469,297
XBTH20,5922,60,39131325,5441.63489561,-2404514,5652
XBTM18,212,42,841388,120.91091292,6088248,54
XBTM19,169,3,1805600,166.340568,-4158456,169
XBTU18,36,4,240000,35.53586625,-266325,11
XBTU21,25747,70,147283600,3902.35011818,-39792230,24318
XBTUSD,941007,18397,23574456258,1621124.72136591,8515015014,504390
XBTZ18,179,17,2202679,469.2838136,-4135877,147
XRPH19,72,4,1000000,81.72524647,-3161220,58
XRPH21,1809,30,35062198,222.30591387,15517366,1726
XRPM18,138,27,1355804,123.05077288,-2327427,128
XRPM19,59,2,600000,39.162,-1958077,59
XRPU18,2000,225,22185276,1689.5629479899999,96931959,1316
XRPUSD,55495,254,40789838,4464.24465914,-57677649,53592
XRPZ18,2849,207,23440220,1973.21967133,105074830,1539
YFIUSDTZ20,11,5,6316,10.5219651,508395,8
