year,symbol,exectype,rows,execcomm_sat
2018,ADAM18,Settlement,1,0
2018,ADAM18,Trade,526,-7794512
2018,ADAU18,Trade,654,-8289754
2018,ADAZ18,Trade,253,2394801
2018,BCHM18,Trade,70,471803
2018,BCHU18,Trade,33,-534102
2018,BCHZ18,Trade,2467,152075207
2018,EOSM18,Settlement,1,0
2018,EOSM18,Trade,276,990959
2018,EOSU18,Trade,1085,-13798244
2018,EOSZ18,Trade,384,7803386
2018,ETHM18,Trade,5,305972
2018,ETHU18,Trade,158,1065451
2018,ETHUSD,Funding,249,57169053
2018,ETHUSD,Trade,18119,203506865
2018,LTCU18,Trade,12,-1026579
2018,TRXU18,Trade,776,-14650116
2018,TRXZ18,Trade,147,2875294
2018,XBT7D_U110,Settlement,1,0
2018,XBT7D_U110,Trade,11,0
2018,XBTM18,Trade,212,6088248
2018,XBTU18,Trade,36,-266325
2018,XBTUSD,Funding,701,447911747
2018,XBTUSD,Trade,132752,3034008204
2018,XBTZ18,Settlement,1,13
2018,XBTZ18,Trade,179,-4135877
2018,XRPM18,Trade,138,-2327427
2018,XRPU18,Trade,2000,96931959
2018,XRPZ18,Trade,2849,105074830
2019,ADAM19,Trade,17,1842427
2019,BCHM19,Trade,46,-6232500
2019,ETHUSD,Funding,14,-12130626
2019,ETHUSD,Trade,2253,22864217
2019,LTCH19,Trade,109,116663
2019,TRXH19,Trade,38,300882
2019,TRXU19,Trade,497,5684684
2019,XBTH19,Settlement,1,12
2019,XBTH19,Trade,531,-2150469
2019,XBTM19,Settlement,1,7551000
2019,XBTM19,Trade,169,-4158456
2019,XBTUSD,Funding,1094,642624329
2019,XBTUSD,Trade,207908,2400251813
2019,XRPH19,Trade,72,-3161220
2019,XRPM19,Trade,59,-1958077
2020,BCHUSD,Funding,17,15929218
2020,BCHUSD,Trade,436,326102
2020,ETHUSD,Funding,32,559309381
2020,ETHUSD,Trade,1541,-9065659
2020,LINKUSDT,Trade,68,1128946
2020,XBTH20,Settlement,1,7
2020,XBTH20,Trade,5922,-2404514
2020,XBTUSD,Funding,1073,464660013
2020,XBTUSD,Trade,302878,4031856821
2020,XRPH21,Trade,938,13849271
2020,XRPUSD,Funding,18,-23945709
2020,XRPUSD,Trade,3888,-12561916
2020,YFIUSDTZ20,Trade,11,508395
2021,ADAUSDT,Trade,485,-1279504
2021,BCHUSD,Funding,34,-349558513
2021,BCHUSD,Trade,8781,-10800225
2021,BNBUSDT,Funding,23,-71785868
2021,BNBUSDT,Trade,4785,-4540563
2021,DOGEUSDT,Funding,46,-201652851
2021,DOGEUSDT,Trade,11183,-4409055
2021,DOTUSDT,Funding,61,-266685134
2021,DOTUSDT,Trade,11351,-11342602
2021,EOSH21,Trade,2020,2015273
2021,ETHUSD,Funding,494,-8159398386
2021,ETHUSD,Trade,305515,-1111404875
2021,ETHUSDM21,Settlement,1,0
2021,ETHUSDM21,Trade,5356,-2174660
2021,LINKUSDT,Funding,49,-671726887
2021,LINKUSDT,Trade,6313,-8940468
2021,LTCUSD,Funding,95,-600430604
2021,LTCUSD,Trade,17201,-10576111
2021,XBTU21,Trade,25747,-39792230
2021,XBTUSD,Funding,1093,-3816514431
2021,XBTUSD,Trade,297469,-951101824
2021,XRPH21,Trade,871,1668095
2021,XRPUSD,Funding,275,-2971318825
2021,XRPUSD,Trade,51607,-45115733
