date,symbol,fills,contracts,turnover_usd_proxy,maker_usd_proxy,known_liquidity_usd_proxy,forced_fills,fee_sat
2018-03-05,XBTUSD,37,297000,297000.0,64000.0,297000.0,0,1235355
2018-03-06,XBTUSD,51,269000,269000.0,40000.0,269000.0,0,1299692
2018-03-08,XBTUSD,85,480000,480000.0,5000.0,480000.0,0,3289340
2018-03-09,XBTUSD,174,624000,624000.0,15000.0,624000.0,2,4601862
2018-03-10,XBTUSD,134,455000,455000.0,0.0,455000.0,1,3307832
2018-03-11,XBTUSD,90,283200,283200.0,19000.0,283200.0,0,1911031
2018-03-12,XBTUSD,126,410000,410000.0,45000.0,410000.0,1,2480386
2018-03-13,XBTUSD,569,3210000,3210000.0,180000.0,3210000.0,1,21954113
2018-03-14,XBTUSD,76,960000,960000.0,479249.0,960000.0,1,2525167
2018-03-15,XBTUSD,99,980000,980000.0,388757.0,980000.0,0,3885997
2018-03-16,XBTUSD,455,4101522,4101522.0,1556814.0,4101522.0,0,16096119
2018-03-17,XBTUSD,116,1294262,1294262.0,420000.0,1294262.0,0,6066083
2018-03-19,XBTUSD,302,3933000,3933000.0,2335759.0,3933000.0,0,5888988
2018-03-20,XBTUSD,411,5599262,5599262.0,2261277.0,5599262.0,1,18325509
2018-03-21,XBTUSD,460,5685830,5685830.0,2824398.0,5685830.0,0,12890051
2018-03-22,XBTUSD,595,7287678,7287678.0,3195150.0,7287678.0,0,18761420
2018-03-29,XBTM18,16,60000,60000.0,7244.0,60000.0,1,468946
2018-03-29,XBTUSD,416,4790000,4790000.0,1068083.0,4790000.0,1,29806022
2018-03-30,XBTM18,7,40000,40000.0,0.0,40000.0,0,413724
2018-03-30,XBTUSD,883,7743406,7743406.0,1488649.0,7743406.0,0,56962925
2018-03-31,XBTM18,14,25000,25000.0,0.0,25000.0,0,250409
2018-03-31,XBTU18,25,40000,40000.0,0.0,40000.0,0,399918
2018-03-31,XBTUSD,865,7145296,7145296.0,910049.0,7145296.0,1,56324063
2018-04-01,XBTM18,36,166386,166386.0,16000.0,166386.0,1,1475388
2018-04-01,XBTUSD,2268,21078468,21078468.0,4281352.0,21078468.0,0,150722305
2018-04-02,XBTM18,11,80000,80000.0,0.0,80000.0,0,777372
2018-04-02,XBTUSD,1133,10486870,10486870.0,1933159.0,10486870.0,0,73972929
2018-04-03,XBTM18,16,50000,50000.0,0.0,50000.0,0,468368
2018-04-03,XBTUSD,662,6269910,6269910.0,1829221.0,6269910.0,0,35331800
2018-04-04,XBTM18,22,100000,100000.0,14064.0,100000.0,0,813096
2018-04-04,XBTUSD,299,3115984,3115984.0,842032.0,3115984.0,1,19283660
2018-04-05,XBTM18,38,100000,100000.0,39522.0,100000.0,0,482285
2018-04-05,XBTUSD,285,2791524,2791524.0,468456.0,2791524.0,0,20947511
2018-04-06,XBTUSD,74,485260,485260.0,94299.0,485260.0,0,3685845
2018-04-07,XBTUSD,51,680000,680000.0,130000.0,680000.0,0,5011618
2018-04-08,XBTUSD,40,240000,240000.0,0.0,240000.0,0,2317119
2018-04-09,XBTUSD,80,628200,628200.0,218210.0,628200.0,0,3314545
2018-04-10,XBTM18,8,40000,40000.0,3.0,40000.0,0,409015
2018-04-10,XBTUSD,29,208200,208200.0,58200.0,208200.0,0,1326786
2018-04-11,XBTUSD,8,60000,60000.0,30000.0,60000.0,0,194443
2018-04-12,XBTM18,14,40000,40000.0,20000.0,40000.0,0,116848
2018-04-12,XBTUSD,219,2116132,2116132.0,976265.0,2116132.0,0,7108149
2018-04-13,XBTUSD,772,8266324,8266324.0,2951539.0,8266324.0,0,34556042
2018-04-14,XBTUSD,890,7781658,7781658.0,3337238.0,7781658.0,0,30064138
2018-04-15,XBTUSD,749,8377266,8377266.0,3165653.0,8377266.0,0,32066152
2018-04-16,ADAM18,27,100000,27379.33375480363,27379.33375480363,27379.33375480363,0,-147670
2018-04-16,XBTUSD,1272,15941278,15941278.0,9082070.0,15941278.0,1,29674182
2018-04-17,ADAM18,9,103584,27128.488944059474,26816.90432390066,27128.488944059474,0,-141250
2018-04-17,XBTUSD,68,1000000,1000000.0,800000.0,1000000.0,0,-593905
2018-04-18,XBTUSD,419,4921588,4921588.0,3878785.0,4921588.0,0,-2168234
2018-04-19,XBTUSD,1074,11416624,11416624.0,5099183.0,11416624.0,0,37738569
2018-04-20,XBTUSD,398,7475470,7475470.0,5437952.0,7475470.0,0,1549917
2018-04-21,XBTUSD,274,5400000,5400000.0,3760481.0,5400000.0,0,2885270
2018-04-22,XBTUSD,189,2400000,2400000.0,1671885.0,2400000.0,0,1285325
2018-04-23,BCHM18,28,120,168605.2538067124,168605.2538067124,168605.2538067124,0,-862086
2018-04-24,BCHM18,31,312,481763.1393505567,339750.2675001991,481763.1393505567,0,1865924
2018-04-24,XBTUSD,384,7525126,7525126.0,5287797.0,7525126.0,0,3446123
2018-04-25,ADAM18,24,400000,132427.19667290038,66705.27298550555,132427.19667290038,0,1221044
2018-04-25,XBTUSD,570,12752000,12752000.0,9648275.0,12752000.0,0,-524075
