period,calendar_days,active_trade_days,fills,executed_orders_started,xbt_orders_started,xbt_orders_per_calendar_day,xbt_median_order_face_usd,xbt_p90_order_face_usd,xbt_median_order_to_prior_equity,xbt_maker_turnover_share,all_turnover_usd_proxy,alt_turnover_share_proxy,traded_contracts,closed_xbt_episodes,xbt_median_closed_hours,xbt_p90_closed_hours,xbt_reversal_batches,xbt_add_batches,xbt_reduce_batches,btc_short_time_share,btc_long_time_share,median_daily_peak_btc_gross_usd,median_fills_per_order
2018Q1,27,19,6006,1406,1397,51.74074074074074,40000.0,70000.0,5.693309280577864,0.3113711207382614,55713456.0,0.0,3,305,0.1174819969444444,1.2070838917222229,5,950,742,0.17391580939771947,0.1643871400154321,45000.0,2.0
2018Q2,91,82,25179,2973,2651,29.13186813186813,100000.0,200000.0,4.266198236062756,0.6547697339973784,350923652.82749975,0.017865247261008903,10,644,0.11240831458333331,2.5878600161388894,144,5510,6424,0.1928958779001323,0.3006459713567104,328759.0,5.0
2018Q3,92,88,42330,3771,2120,23.043478260869566,250000.0,250000.0,1.4652353150139152,0.7326242370791344,555331840.0591346,0.1691050526638894,10,325,0.5856593877777777,17.227423227444447,319,7113,8693,0.42357362156073863,0.5507104851225343,503189.5,7.0
2018Q4,92,72,89627,3704,2637,28.66304347826087,250000.0,350000.0,0.9215424834241418,0.6067835280828203,714204308.2473379,0.10598716133916578,8,480,0.3539642783333333,8.891403718194454,477,16462,15558,0.6189536580746778,0.3504707982646437,499999.0,16.0
2019Q1,90,74,22866,584,503,5.588888888888889,450000.0,700000.0,0.8469567560309594,0.7603052650552523,206320298.98016393,0.054657287896079126,6,66,9.867983286388888,77.46844691416666,66,5889,5680,0.7614759281089248,0.2385240718910751,1000001.0,25.0
2019Q2,91,82,90149,2173,2149,23.615384615384617,700000.0,1400000.0,0.8571378341189921,0.7292847969656285,1555055070.2147985,0.0030252782071238738,6,238,1.3526744291666666,20.751484875666687,238,20127,22199,0.7639751709600122,0.2360248290399878,2800637.0,26.0
2019Q3,92,69,52170,645,633,6.880434782608695,1732788.0,2000000.0,0.9081582423514889,0.5621658157642784,841371233.5609671,0.010723834142486505,3,90,5.432600953333333,62.95646421436111,89,7083,8861,0.7186502283402526,0.2793356012057166,2000576.0,48.0
2019Q4,92,66,46514,455,455,4.945652173913044,1859018.0,2500000.0,0.7624334803741109,0.6853414766808864,621027487.0,0.0,1,39,24.57401733555556,145.15871909261128,39,11791,10919,0.6284715538903987,0.37152844610960145,2000512.0,64.0
2020Q1,91,84,90585,1468,1403,15.417582417582418,1000000.0,1500000.0,0.31463293738132553,0.7098762978461275,1434879801.6833134,0.003971334516402397,3,99,1.5855309355555556,63.5718865975556,94,24161,20869,0.8301530499727818,0.16869671861479957,6000355.0,36.0
2020Q2,91,68,73606,525,525,5.769230769230769,1500000.0,3000000.0,0.3063622989169062,0.5557830615668423,793086248.0,0.0,1,40,18.310879067638886,138.06334053761114,40,10344,9012,0.6736925730739978,0.3263074269260022,6000189.0,69.0
2020Q3,92,65,74595,677,674,7.326086956521739,3000000.0,3328312.200000005,0.3794730840687476,0.5967240958413159,1611665204.7094197,0.0021561132543320583,2,56,11.519342845,115.62198021236111,56,18600,12048,0.6594812947502767,0.3405187052497232,10500144.5,73.0
2020Q4,92,67,76896,1090,909,9.880434782608695,3000000.0,5000000.0,0.3192573097779958,0.8035651354187096,2896981823.221248,0.021441272680192646,7,82,6.658849504027778,71.1045428408889,70,22151,19227,0.5050875497258706,0.4156595014472625,10018407.0,48.0
2021Q1,90,77,84267,1128,848,9.422222222222222,5000000.0,7839565.600000015,0.18779106727550976,0.8425179958613368,4109325598.992016,0.05563980621250832,5,47,12.02590904,86.30808288727778,46,28434,23459,0.789411110885288,0.20181997038605967,32535141.5,49.0
2021Q2,91,74,372259,1799,883,9.703296703296703,5000000.0,10000000.0,0.12659650148287604,0.7764828945832735,6377417144.748757,0.29491931985309294,12,44,16.741125233888887,129.18773675544452,44,56233,48715,0.6475296550429893,0.3524703449570106,45007500.0,136.0
2021Q3,92,75,218888,888,532,5.782608695652174,5000000.0,10000000.0,0.11575485229652427,0.6882427114379396,5170898435.6717,0.32432637316997476,6,30,33.24508377763889,189.25663808800002,30,24058,20416,0.2973731360357538,0.7026268639642461,65754800.0,155.5
2021Q4,92,28,73270,130,78,0.8478260869565217,8400800.0,10000000.0,0.17144679045302663,0.7362219614065932,927796684.3424404,0.4263162296411618,3,4,417.0903143905555,928.7757185520834,4,7193,3872,0.4258318787227003,0.5741681212772997,30011600.0,246.5
