frequency,period,currency,flow_timing,days,valid_days,linked_return,invalid_reasons,net_flow,flow_adjusted_gain
Y,2018,BTC,BOD,302,291,,"cash_date_ambiguity,missing_valuation,nonpositive_capital,nonpositive_link_factor",-68.46355999,191.86589053038756
Y,2018,BTC,EOD,302,289,,"cash_date_ambiguity,missing_valuation,nonpositive_capital,nonpositive_link_factor",-68.46355999,191.86589053038756
Y,2018,BTC,MID,302,291,,"cash_date_ambiguity,missing_valuation,nonpositive_capital,nonpositive_link_factor",-68.46355999,191.86589053038756
Y,2018,USD,BOD,302,291,,"cash_date_ambiguity,missing_valuation,nonpositive_capital,nonpositive_link_factor",-301978.8939797328,756987.9597556494
Y,2018,USD,EOD,302,289,,"cash_date_ambiguity,missing_valuation,nonpositive_capital,nonpositive_link_factor",-299792.40231095697,754801.4680868736
Y,2018,USD,MID,302,291,,"cash_date_ambiguity,missing_valuation,nonpositive_capital,nonpositive_link_factor",-300885.6481453449,755894.7139212615
Y,2019,BTC,BOD,365,365,13.447317493591866,,-259.1844,515.2637709009337
Y,2019,BTC,EOD,365,365,12.551315652238339,,-259.1844,515.2637709009337
Y,2019,BTC,MID,365,365,12.968084422201459,,-259.1844,515.2637709009337
Y,2019,USD,BOD,365,365,27.08354134271623,,-1914390.1617845397,4179276.366247955
Y,2019,USD,EOD,365,365,25.341840520680382,,-1951198.194760152,4216084.399223567
Y,2019,USD,MID,365,365,26.167288598121935,,-1932794.178272346,4197680.382735761
Y,2020,BTC,BOD,366,366,3.4564729958337956,,-622.149,756.2133314585935
Y,2020,BTC,EOD,366,366,3.298598920703217,,-622.149,756.2133314585935
Y,2020,BTC,MID,366,366,3.3727420148739187,,-622.149,756.2133314585935
Y,2020,USD,BOD,366,366,17.04543358238232,,-6568477.529517629,18753060.02738922
Y,2020,USD,EOD,366,366,16.406159847342916,,-6522577.980532629,18707160.47840422
Y,2020,USD,MID,366,366,16.720928210420574,,-6545527.75502513,18730110.25289672
Y,2021,BTC,BOD,365,365,6.8372180921895405,,-1850.257,2132.1120021928027
Y,2021,BTC,EOD,365,365,6.795743325181304,,-1850.257,2132.1120021928027
Y,2021,BTC,MID,365,365,6.813944841193892,,-1850.257,2132.1120021928027
Y,2021,USD,BOD,365,365,11.517633509380275,,-79503020.4958044,101469451.03403834
Y,2021,USD,EOD,365,365,11.451389859249703,,-81401375.34921393,103367805.88744786
Y,2021,USD,MID,365,365,11.484926859645709,,-80452197.92250916,102418628.4607431
M,2018-03,BTC,BOD,27,20,,"nonpositive_capital,nonpositive_link_factor",1.60841947,0.9464138786480969
M,2018-03,BTC,EOD,27,18,,"nonpositive_capital,nonpositive_link_factor",1.60841947,0.9464138786480969
M,2018-03,BTC,MID,27,20,,"nonpositive_capital,nonpositive_link_factor",1.60841947,0.9464138786480969
M,2018-03,USD,BOD,27,20,,"nonpositive_capital,nonpositive_link_factor",13057.117455821239,4628.1576502280095
M,2018-03,USD,EOD,27,18,,"nonpositive_capital,nonpositive_link_factor",12416.715052263016,5268.560053786232
M,2018-03,USD,MID,27,20,,"nonpositive_capital,nonpositive_link_factor",12736.916254042128,4948.358852007121
M,2018-04,BTC,BOD,30,28,,cash_date_ambiguity,-2.7716933600000004,4.354022491351904
M,2018-04,BTC,EOD,30,28,,cash_date_ambiguity,-2.7716933600000004,4.354022491351904
M,2018-04,BTC,MID,30,28,,cash_date_ambiguity,-2.7716933600000004,4.354022491351904
M,2018-04,USD,BOD,30,28,,cash_date_ambiguity,-25229.038051094765,45724.50389132381
M,2018-04,USD,EOD,30,28,,cash_date_ambiguity,-25555.48494628902,46050.950786518064
M,2018-04,USD,MID,30,28,,cash_date_ambiguity,-25392.261498691892,45887.727338920944
M,2018-05,BTC,BOD,31,29,,missing_valuation,1.4583510100000003,2.1164849476700667
M,2018-05,BTC,EOD,31,29,,missing_valuation,1.4583510100000003,2.1164849476700667
M,2018-05,BTC,MID,31,29,,missing_valuation,1.4583510100000003,2.1164849476700667
M,2018-05,USD,BOD,31,29,,missing_valuation,9169.204490371409,10326.10015767597
M,2018-05,USD,EOD,31,29,,missing_valuation,9226.525877902794,10268.778770144585
M,2018-05,USD,MID,31,29,,missing_valuation,9197.865184137103,10297.439463910276
M,2018-06,BTC,BOD,30,30,0.8950328339782627,,0.0,6.902491817303771
M,2018-06,BTC,EOD,30,30,0.8950328339782627,,0.0,6.902491817303771
M,2018-06,BTC,MID,30,30,0.8950328339782627,,0.0,6.902491817303771
M,2018-06,USD,BOD,30,30,0.6154936462267313,,0.0,35499.239602790716
M,2018-06,USD,EOD,30,30,0.6154936462267313,,0.0,35499.239602790716
M,2018-06,USD,MID,30,30,0.6154936462267313,,0.0,35499.239602790716
