currency,flow_timing,first_return_date,last_return_date,days,linked_return
BTC,BOD,2018-03-05,2018-03-21,17,-0.9663372076374004
BTC,BOD,2018-03-29,2018-04-26,29,3.368278102641108
BTC,BOD,2018-04-29,2018-05-02,4,0.09963596464143142
BTC,BOD,2018-05-05,2021-12-31,1337,15064.490814215276
BTC,EOD,2018-03-06,2018-03-11,6,-0.008462825136610069
BTC,EOD,2018-03-13,2018-03-22,10,19.320569562158937
BTC,EOD,2018-03-30,2018-04-26,28,3.298687222869029
BTC,EOD,2018-04-29,2018-05-02,4,0.09963596464143142
BTC,EOD,2018-05-05,2021-12-31,1337,6085.579363128908
BTC,MID,2018-03-05,2018-03-11,7,-0.8961395517304419
BTC,MID,2018-03-13,2018-03-22,10,0.5314646448331612
BTC,MID,2018-03-29,2018-04-26,29,2.075383402700855
BTC,MID,2018-04-29,2018-05-02,4,0.09963596464143142
BTC,MID,2018-05-05,2021-12-31,1337,10154.133537355028
USD,BOD,2018-03-05,2018-03-21,17,-0.9739228119376068
USD,BOD,2018-03-29,2018-04-26,29,4.101175755570622
USD,BOD,2018-04-29,2018-05-02,4,0.08342750140681011
USD,BOD,2018-05-05,2021-12-31,1337,72020.06964373321
USD,EOD,2018-03-06,2018-03-11,6,-0.1826271533453152
USD,EOD,2018-03-13,2018-03-22,10,18.349343865357213
USD,EOD,2018-03-30,2018-04-26,28,4.602555908880562
USD,EOD,2018-04-29,2018-05-02,4,0.08342750140681011
USD,EOD,2018-05-05,2021-12-31,1337,29096.090935158674
USD,MID,2018-03-05,2018-03-11,7,-0.9113177374930598
USD,MID,2018-03-13,2018-03-22,10,0.44820037747107244
USD,MID,2018-03-29,2018-04-26,29,2.4861488457670373
USD,MID,2018-04-29,2018-05-02,4,0.08342750140681011
USD,MID,2018-05-05,2021-12-31,1337,48805.90862390053
