date,transactid,account,currency,amount,transactstatus,address,network,text,timestamp,transacttime,transacttype,tx,walletbalance,source_row,amount_sat,balance_sat
2018-03-05,c9782b7b-d4f6-7b24-6c3b-ee6b8b5d3239,aoa,XBt,17244633,Completed,,,,57:26.3,57:26.3,Deposit,-,17244633,2,17244633,17244633
2018-03-12,b4bcb74b-9265-3b75-74dd-e96f2508b238,aoa,XBt,4950000,Completed,,,,25:46.0,25:46.0,Deposit,-,10835001,10,4950000,10835001
2018-03-13,8a731613-ae0d-c67e-1cfa-fa6981d40d5f,aoa,XBt,11000000,Completed,,,,36:25.7,36:25.7,Deposit,-,25987833,12,11000000,25987833
2018-03-13,21fae944-a14e-83e0-03dd-9aec88f8cf29,aoa,XBt,30000000,Completed,,,,22:42.1,22:42.1,Deposit,-,55987833,13,30000000,55987833
2018-03-14,f745d8ef-e267-7237-d755-0e65b8b90572,aoa,XBt,41817608,Completed,,,,56:26.8,56:26.8,Deposit,-,76715176,15,41817608,76715176
2018-03-20,0f36b3ca-a100-9d28-2947-bd6afc726e2e,aoa,XBt,116503238,Completed,,,,39:01.8,39:01.8,Deposit,-,392392206,22,116503238,392392206
2018-03-22,8657ea16-cc20-0956-ca1f-9e6622345627,aoa,XBt,-196801713,Completed,External exchange,btc,,08:23.2,25:20.0,Withdrawal,-,0,26,-196801713,0
2018-03-29,608e7919-b2ef-ba9f-baba-a831f5770238,aoa,XBt,100000000,Completed,,,,52:14.9,52:14.9,Deposit,-,100000000,27,100000000,100000000
2018-03-30,92d74ddb-7a81-68ab-550d-5d49208cd6c7,aoa,XBt,76368181,Completed,,,,43:11.7,43:11.7,Deposit,-,171990827,29,76368181,171990827
2018-03-30,9abf6bd2-442c-46b3-e0a1-685e28e2c99d,aoa,XBt,-20120000,Completed,External exchange,btc,,19:25.0,13:34.4,Withdrawal,-,221035794,32,-20120000,221035794
2018-03-31,bd1b0b02-f873-7775-1e15-f61e3aed2955,aoa,XBt,-20120000,Completed,External exchange,btc,,17:12.5,40:14.8,Withdrawal,-,236217277,36,-20120000,236217277
2018-04-03,582661d5-4338-cb86-78f1-a1f1f35412f7,aoa,XBt,29950000,Completed,,,,43:03.8,43:03.8,Deposit,-,84913422,43,29950000,84913422
2018-04-16,efa10b30-df0d-1a71-2a7c-c41eef4c311e,aoa,XBt,43400664,Completed,,,,38:28.4,38:28.4,Deposit,-,198917086,59,43400664,198917086
2018-04-18,85146ec6-3ae7-925d-c223-d1f02278818a,aoa,XBt,-100120000,Completed,External exchange,btc,,09:59.8,27:42.5,Withdrawal,-,333818361,66,-100120000,333818361
2018-04-24,2028aed0-b268-e0d0-a56e-972151cec32c,aoa,XBt,-100120000,Completed,External exchange,btc,,12:44.4,05:26.8,Withdrawal,-,302608379,75,-100120000,302608379
2018-04-25,f0e1d5e3-2a6d-3ccc-2ed7-21055bf0bf1d,aoa,XBt,-50160000,Completed,External exchange,btc,,08:40.8,17:57.3,Withdrawal,-,254538234,78,-50160000,254538234
2018-04-27,245c7553-adb9-7071-5e6d-04b65f14a127,aoa,XBt,-100120000,Completed,External exchange,btc,,08:35.8,13:15.8,Withdrawal,-,380937178,82,-100120000,380937178
2018-05-12,810fee98-023a-1acd-e2b0-ee158e225152,aoa,XBt,-200120000,Completed,External exchange,btc,,08:50.8,00:07.7,Withdrawal,-,565967584,99,-200120000,565967584
2018-05-24,2e62eae2-5f7a-87b2-a752-5fa9cc9fac4c,aoa,XBt,345955101,Completed,,,,49:47.1,49:47.1,Deposit,-,992261187,113,345955101,992261187
2018-07-28,ca446e2f-85e9-6cb4-746a-0ddb633c1b8e,aoa,XBt,-400120000,Completed,External exchange,btc,,09:35.9,09:55.7,Withdrawal,-,2288308672,247,-400120000,2288308672
2018-08-10,195f7c3b-12c2-6096-beab-eeceadd47114,aoa,XBt,-250120000,Completed,External exchange,btc,,09:33.1,17:27.0,Withdrawal,-,2499486659,295,-250120000,2499486659
2018-08-13,5692a6c9-cc72-7272-f1cf-8282d700e1e7,aoa,XBt,-50040000,Completed,External exchange,btc,,22:54.5,28:56.1,Withdrawal,-,2672832838,302,-50040000,2672832838
2018-09-05,9a34f62a-cebb-075e-d212-1b9935811d31,aoa,XBt,-701200000,Completed,External exchange,btc,,23:04.1,12:26.8,Withdrawal,-,3021580918,343,-701200000,3021580918
2018-09-21,d7dc504a-f109-5fce-f83d-e23e3b301c5f,aoa,XBt,99950000,Completed,,,,46:48.6,46:48.6,Deposit,-,1867140500,378,99950000,1867140500
2018-09-23,65965a88-6ade-5a05-6ea6-d51e76536278,aoa,XBt,64362202,Completed,,,,10:49.9,10:49.9,Deposit,-,356940573,383,64362202,356940573
2018-10-03,c12e3cb7-87a7-dd6a-0751-028c336a1ac9,aoa,XBt,399950000,Completed,,,,14:54.2,14:54.2,Deposit,-,893718677,407,399950000,893718677
2018-10-08,50ef66c8-7cba-97c1-7a70-fac758b5be12,aoa,XBt,26922385,Completed,,,,38:27.3,38:27.3,Deposit,-,1037410801,420,26922385,1037410801
2018-10-11,79403005-4180-e341-05ec-08b9c9427289,aoa,XBt,6879957,Completed,,,,58:47.9,58:47.9,Deposit,-,1150296409,431,6879957,1150296409
2018-10-15,69472486-0a2e-4461-bd32-8f70b59585d1,aoa,XBt,19333507,Completed,,,,22:51.4,22:51.4,Deposit,-,1793696201,440,19333507,1793696201
2018-11-05,bb8c6efe-6854-5090-27f7-56c05efdae94,aoa,XBt,14338238,Completed,,,,43:21.7,43:21.7,Deposit,-,2083719987,484,14338238,2083719987
2018-11-25,9d2d9347-d95c-6918-5766-713bb0de1eff,aoa,XBt,-100120000,Completed,External exchange,btc,,19:38.7,40:57.1,Withdrawal,-,6976405751,546,-100120000,6976405751
2018-11-28,0b394af3-3401-0983-eba7-ee57c4bb893a,aoa,XBt,-1001200000,Completed,External exchange,btc,,19:36.1,19:38.0,Withdrawal,-,7571195880,553,-1001200000,7571195880
2018-11-29,f713b39a-720a-d085-1c75-94399e433029,aoa,XBt,-1001200000,Completed,External exchange,btc,,19:43.5,51:13.5,Withdrawal,-,6889699932,556,-1001200000,6889699932
2018-12-07,43e385be-9171-b3fa-bb61-e3eea1cb8638,aoa,XBt,-1001200000,Completed,External exchange,btc,,14:35.7,57:35.7,Withdrawal,-,9810936439,575,-1001200000,9810936439
2018-12-23,06c26fe8-5a58-38e8-6a6d-154264459c6d,aoa,XBt,-1001200000,Completed,External exchange,btc,,15:25.4,12:08.1,Withdrawal,-,10940339517,608,-1001200000,10940339517
