time,symbol,execcomm,lastqty
2018-03-05 12:00:00,XBTUSD,-608514,40000
2018-03-05 20:00:00,XBTUSD,52189,5000
2018-03-06 20:00:00,XBTUSD,79993,20000
2018-03-08 04:00:00,XBTUSD,77143,10000
2018-03-09 12:00:00,XBTUSD,10518,6000
2018-03-10 04:00:00,XBTUSD,593189,30000
2018-03-12 12:00:00,XBTUSD,-49884,45000
2018-03-13 04:00:00,XBTUSD,12385,10000
2018-03-13 12:00:00,XBTUSD,-1355036,70000
2018-03-13 20:00:00,XBTUSD,-546861,130000
2018-03-14 04:00:00,XBTUSD,-66923,100000
2018-03-14 12:00:00,XBTUSD,21716,30000
2018-03-17 04:00:00,XBTUSD,-154359,70000
2018-03-19 12:00:00,XBTUSD,541168,210000
2018-03-20 20:00:00,XBTUSD,-782530,700000
2018-03-21 04:00:00,XBTUSD,-221580,200000
2018-03-21 12:00:00,XBTUSD,83760,400000
2018-03-21 20:00:00,XBTUSD,1339107,500000
2018-03-22 04:00:00,XBTUSD,-554300,500000
2018-03-29 12:00:00,XBTUSD,334625,250000
2018-03-29 20:00:00,XBTUSD,136200,100000
2018-03-30 04:00:00,XBTUSD,-291640,200000
2018-03-30 12:00:00,XBTUSD,-2600260,50000
2018-03-30 20:00:00,XBTUSD,2748563,50000
2018-03-31 04:00:00,XBTUSD,-1429112,70000
2018-04-01 04:00:00,XBTUSD,-2124379,90000
2018-04-02 04:00:00,XBTUSD,3233834,400000
2018-04-02 12:00:00,XBTUSD,284160,200000
2018-04-02 20:00:00,XBTUSD,11464,100000
2018-04-03 04:00:00,XBTUSD,-97426,70000
2018-04-03 12:00:00,XBTUSD,205395,150000
2018-04-03 20:00:00,XBTUSD,1143093,150000
2018-04-04 04:00:00,XBTUSD,-68585,50000
2018-04-04 12:00:00,XBTUSD,-70705,50000
2018-04-06 04:00:00,XBTUSD,329379,30000
2018-04-06 12:00:00,XBTUSD,56500,20000
2018-04-06 20:00:00,XBTUSD,408795,20000
2018-04-08 04:00:00,XBTUSD,10342,20000
2018-04-08 12:00:00,XBTUSD,28170,20000
2018-04-08 20:00:00,XBTUSD,42921,30000
2018-04-09 04:00:00,XBTUSD,-42114,30000
2018-04-09 20:00:00,XBTUSD,-196629,40000
2018-04-12 12:00:00,XBTUSD,-94491,58400
2018-04-13 04:00:00,XBTUSD,755239,100000
2018-04-13 12:00:00,XBTUSD,-19149,50000
2018-04-13 20:00:00,XBTUSD,20005,60000
2018-04-14 04:00:00,XBTUSD,-366921,50000
2018-04-14 12:00:00,XBTUSD,62665,50000
2018-04-14 20:00:00,XBTUSD,62310,50000
2018-04-16 12:00:00,XBTUSD,-494680,400000
2018-04-19 20:00:00,XBTUSD,15639,5000
2018-04-20 04:00:00,XBTUSD,758526,200000
