date,valid_minutes,peak_sampled_gross_usd,peak_sampled_gross_time,min_sampled_equity_bod_btc,max_abs_mark_index_equity_delta_usd
2019-04-01,1440,2100822.5376585885,2019-04-01 14:00:00,185.72130609070976,1387.0902125966968
2019-05-01,1440,3001086.75831892,2019-05-01 23:57:00,164.6898987862296,1019.7583189200377
2019-06-01,1440,4200405.862059439,2019-06-01 00:15:00,162.8674046998584,1039.8741670660675
2019-07-01,1440,3597431.0322065265,2019-07-01 15:02:00,149.3347242487395,3489.52423721808
2019-08-01,1440,2000592.0000000002,2019-08-01 04:00:00,167.05816746143887,200.0674027632922
2019-09-01,1440,2000424.0,2019-09-01 04:00:00,211.9862878205772,199.3208998676855
2019-10-01,1440,4000578.355980452,2019-10-01 03:10:00,213.780335446343,192.4501810001675
2019-11-01,1440,497.00000000000006,2019-11-01 12:00:00,214.74772580807038,0.04984075902029872
2019-12-01,1440,4000350.130843402,2019-12-01 00:08:00,316.04545746548223,90.21151637053117
2020-01-01,1440,2500254.0,2020-01-01 03:58:00,376.8370921095211,250.07020424492657
2020-02-01,1440,7994562.669883797,2020-02-01 23:59:00,425.30996642038855,88345.41206200328
2020-03-01,1440,7500620.562274919,2020-03-01 09:17:00,415.484475525116,473.83916614111513
2020-04-01,1440,4001443.2591971382,2020-04-01 23:46:00,596.3578033773936,1770.2765470100567
2020-05-01,1440,8000588.0,2020-05-01 04:00:00,565.9195963433898,801.6085765808821
2020-06-01,1440,48.00000000000001,2020-06-01 19:59:00,537.9408737156677,0.004821425303816795
2020-07-01,1440,9004161.133305252,2020-07-01 16:15:00,572.2938815650182,681.6285216584802
2020-08-01,1440,7879506.534444731,2020-08-01 20:29:00,618.0372541370638,1149.2610908970237
2020-09-01,1440,24005021.15081434,2020-09-01 13:06:00,522.5106614267846,6064.229242521338
2020-10-01,1440,9001753.004804976,2020-10-01 00:01:00,666.7428380831816,900.0718630077317
2020-11-01,1440,9999788.330555936,2020-11-01 04:01:00,591.0578890700698,699.8287900974974
2020-12-01,1440,34985755.74646782,2020-12-01 00:06:00,543.5187277969802,17263.99010565318
2021-01-01,1440,23129115.449498862,2021-01-01 17:16:00,496.2746118976236,220989.41732478328
2021-02-01,1440,31471550.673794266,2021-02-01 11:12:00,731.9245974532862,17003.303511377424
2021-03-01,1440,25456817.96800973,2021-03-01 13:04:00,690.8430383568783,12849.407312430441
2021-04-01,1440,60002544.51538616,2021-04-01 04:00:00,627.3091010388587,66945.3241763413
2021-05-01,1440,101794787.67056526,2021-05-01 23:38:00,636.298583882758,47708.39748736471
2021-06-01,1440,51361174.8511195,2021-06-01 13:31:00,818.2238912912096,922925.9324200265
2021-07-01,1440,104629682.3563578,2021-07-01 01:58:00,948.6183535231339,448083.01249376684
2021-08-01,1440,127031533.66558275,2021-08-01 20:20:00,1002.672119347341,412149.6097837314
2021-09-01,1440,63355051.61581738,2021-09-02 00:00:00,1290.5330412372211,68712.99104383588
2021-10-01,1440,66976777.46678374,2021-10-01 22:09:00,1129.1416841174396,115845.95706863701
2021-11-01,1439,112174239.98415616,2021-11-01 11:08:00,773.6002168615177,77416.37580846995
2021-12-01,1440,50143091.27440154,2021-12-01 20:00:00,859.4594455088833,5016.037162527442
