date,quantity_observations,peak_btc_gross_face_usd,peak_btc_gross_time,peak_btc_net_long_usd,peak_btc_net_short_usd,closing_btc_gross_face_usd,closing_btc_net_face_usd,peak_all_contract_reference_usd,reference_peak_time,reference_price_date,complete_reference,peak_active_contracts,btc_long_hours,btc_short_hours,btc_flat_hours
2018-03-05,20,47000,2018-03-05 07:28:18.063937,47000,40000,9000,9000,47000.0,2018-03-05 07:28:18.063937,2018-03-04,True,1,2.8945208288888886,9.644335506388886,11.461143664722224
2018-03-06,26,20000,2018-03-06 01:00:29.349048,20000,20000,0,0,20000.0,2018-03-06 01:00:29.349048,2018-03-05,True,1,7.375192905555555,2.4668299655555552,14.15797712888889
2018-03-07,1,0,2018-03-07 00:00:00,0,0,0,0,0.0,2018-03-07 00:00:00,2018-03-06,True,0,0.0,0.0,24.0
2018-03-08,51,20000,2018-03-08 02:16:19.345275,20000,15000,0,0,20000.0,2018-03-08 02:16:19.345275,2018-03-07,True,1,2.108354123611111,0.7699267036111112,21.12171917277778
2018-03-09,111,20000,2018-03-09 09:34:07.673188,20000,15000,0,0,20000.0,2018-03-09 09:34:07.673188,2018-03-08,True,1,7.47963103,2.4222800119444448,14.098088958055557
2018-03-10,64,30000,2018-03-10 01:16:46.917577,15000,30000,15000,15000,30000.0,2018-03-10 01:16:46.917577,2018-03-09,True,1,2.2418504019444443,6.856734653055555,14.901414945
2018-03-11,50,15000,2018-03-11 00:00:00,15000,10000,0,0,15000.0,2018-03-11 00:00:00,2018-03-10,True,1,3.0141526305555555,1.0620005774999999,19.92384679194445
2018-03-12,62,45000,2018-03-12 10:37:13.312842,45000,45000,0,0,45000.0,2018-03-12 10:37:13.312842,2018-03-11,True,1,1.5906508216666664,12.063204293611113,10.346144884722223
2018-03-13,185,130000,2018-03-13 17:58:02.580574,130000,80000,100000,100000,130000.0,2018-03-13 17:58:02.580574,2018-03-12,True,1,14.952388142222224,3.625722309166667,5.421889548611112
2018-03-14,56,130000,2018-03-14 02:57:37.665844,130000,10000,0,0,130000.0,2018-03-14 02:57:37.665844,2018-03-13,True,1,16.807720857499998,0.16201114555555557,7.030267996944444
2018-03-15,59,60000,2018-03-15 06:01:10.391351,60000,30000,0,0,60000.0,2018-03-15 06:01:10.391351,2018-03-14,True,1,1.2442291513888888,1.1099814605555554,21.645789388055555
2018-03-16,191,150000,2018-03-16 09:23:37.828467,70000,150000,0,0,150000.0,2018-03-16 09:23:37.828467,2018-03-15,True,1,1.2038311583333332,9.710102509444443,13.086066332222224
2018-03-17,38,140000,2018-03-17 04:03:17.123588,140000,17131,0,0,140000.0,2018-03-17 04:03:17.123588,2018-03-16,True,1,2.598028643888888,0.06719536777777778,21.334775988333334
2018-03-18,1,0,2018-03-18 00:00:00,0,0,0,0,0.0,2018-03-18 00:00:00,2018-03-17,True,0,0.0,0.0,24.0
2018-03-19,186,280000,2018-03-19 14:14:52.992818,70000,280000,0,0,280000.0,2018-03-19 14:14:52.992818,2018-03-18,True,1,0.4001984797222222,6.021506732777778,17.578294787499996
2018-03-20,174,900000,2018-03-20 19:24:18.023013,90000,900000,500000,-500000,900000.0,2018-03-20 19:24:18.023013,2018-03-19,True,1,0.28216195833333335,8.247065536944444,15.470772504722223
2018-03-21,232,500000,2018-03-21 00:00:00,0,500000,500000,-500000,500000.0,2018-03-21 00:00:00,2018-03-20,True,1,0.0,23.93863610416667,0.06136389583333333
