year,asset,net_realised_sat
2018,ada,-177607910
2018,bch,270576092
2018,btc,19131620109
2018,eos,415632159
2018,eth,442633333
2018,ltc,12403579
2018,trx,447508568
2018,xrp,-1700193698
2019,ada,-6469965
2019,bch,-128767500
2019,btc,50513719472
2019,eth,1890048084
2019,ltc,-7577663
2019,trx,-681458653
2019,xrp,57794650
2020,bch,684313260
2020,btc,69237308769
2020,eth,1441313698
2020,link,-24786586
2020,xrp,5015427313
2020,yfi,10688095
2021,ada,2209134
2021,bch,-7677816272
2021,bnb,1915294910
2021,btc,99293252524
2021,doge,5260704663
2021,dot,1640923646
2021,eos,685887397
2021,eth,93096448105
2021,link,-1759840705
2021,ltc,1686532127
2021,xrp,12744648669
