date,symbol
2019-04-01,XBTUSD
2019-05-01,XBTUSD
2019-06-01,XBTUSD
2019-07-01,XBTUSD
2019-08-01,XBTUSD
2019-09-01,XBTUSD
2019-10-01,XBTUSD
2019-11-01,XBTUSD
2019-12-01,XBTUSD
2020-01-01,XBTUSD
2020-02-01,XBTH20
2020-02-01,XBTUSD
2020-03-01,XBTUSD
2020-04-01,XBTUSD
2020-05-01,XBTUSD
2020-06-01,XBTUSD
2020-07-01,XBTUSD
2020-08-01,XBTUSD
2020-09-01,XBTUSD
2020-10-01,XBTUSD
2020-11-01,XBTUSD
2020-12-01,XBTUSD
2021-01-01,XBTUSD
2021-01-01,XRPH21
2021-01-01,XRPUSD
2021-02-01,XBTUSD
2021-02-01,XRPUSD
2021-03-01,ETHUSD
2021-03-01,XBTUSD
2021-04-01,XBTUSD
2021-05-01,BCHUSD
2021-05-01,ETHUSD
2021-05-01,LINKUSDT
2021-05-01,LTCUSD
2021-05-01,XBTUSD
2021-05-01,XRPUSD
2021-06-01,ETHUSD
2021-06-01,ETHUSDM21
2021-06-01,XBTUSD
2021-07-01,ETHUSD
2021-07-01,XBTU21
2021-07-01,XBTUSD
2021-08-01,ETHUSD
2021-08-01,XBTU21
2021-08-01,XBTUSD
2021-09-01,XBTU21
2021-09-01,XBTUSD
2021-10-01,ETHUSD
2021-10-01,XBTUSD
2021-10-01,XRPUSD
2021-11-01,ETHUSD
2021-11-01,XBTUSD
2021-11-01,XRPUSD
2021-12-01,XBTUSD
