symbol,peak_abs_contracts,peak_time,terminal_contracts
ADAM18,800000,2018-06-28 03:27:06.881758,0
ADAM19,1000000,2019-05-13 21:35:31.594297,0
ADAU18,2228628,2018-09-12 09:51:33.404599,0
ADAUSDT,1721,2021-06-03 10:17:38.433805,0
ADAZ18,2250000,2018-10-08 20:21:07.168499,0
BCHM18,60,2018-04-24 01:54:53.332780,0
BCHM19,1000,2019-04-03 16:47:57.887134,0
BCHU18,122,2018-07-20 06:14:02.215921,0
BCHUSD,250001,2020-10-08 07:43:57.083952,0
BCHZ18,1501,2018-11-12 03:52:03.459038,0
BNBUSDT,273393,2021-06-03 21:35:13.726438,0
DOGEUSDT,440826,2021-09-22 13:13:09.059712,0
DOTUSDT,50063,2021-05-10 20:27:18.486836,0
EOSH21,500000,2021-01-11 09:37:32.709018,0
EOSM18,30000,2018-06-26 14:17:28.803258,0
EOSU18,45001,2018-07-10 14:37:00.598980,0
EOSZ18,60000,2018-11-14 16:40:58.674555,0
ETHM18,20,2018-05-18 23:48:17.773435,0
ETHU18,573,2018-07-19 16:18:33.262485,0
ETHUSD,2025589,2019-02-24 21:16:53.394064,0
ETHUSDM21,136076,2021-06-03 21:19:25.222063,0
LINKUSDT,44719,2021-05-10 20:31:22.635225,0
LTCH19,3000,2019-03-05 13:07:34.131502,0
LTCU18,1029,2018-07-24 06:22:55.480775,0
LTCUSD,400412,2021-09-22 15:37:11.481836,0
TRXH19,1159991,2019-01-10 05:11:48.571254,0
TRXU18,5010810,2018-07-29 22:27:19.814988,0
TRXU19,25000000,2019-07-09 06:26:59.838000,0
TRXZ18,4000000,2018-10-08 07:23:46.129885,0
XBT7D_U110,20,2018-05-03 20:17:31.787392,0
XBTH19,450742,2019-01-09 02:06:03.277867,0
XBTH20,3600000,2020-03-13 02:03:51.130781,0
XBTM18,70000,2018-06-04 04:57:31.519507,0
XBTM19,1800000,2019-06-24 05:20:17.814822,0
XBTU18,100000,2018-06-23 05:32:10.911852,0
XBTU21,50000000,2021-06-20 23:10:01.351215,0
XBTUSD,85169400,2021-08-10 19:03:20.607363,-29080100
XBTZ18,500000,2018-11-14 16:42:55.823248,0
XRPH19,500000,2019-02-28 20:10:01.004631,0
XRPH21,17531099,2020-12-29 20:52:45.201993,0
XRPM18,300000,2018-05-09 04:32:46.803350,0
XRPM19,300000,2019-04-11 03:25:07.171806,0
XRPU18,1369735,2018-09-18 11:55:38.576578,0
XRPUSD,3512792,2020-12-23 22:32:14.650934,0
XRPZ18,973203,2018-11-06 09:50:31.606832,0
YFIUSDTZ20,3158,2020-11-07 01:25:23.385396,0
