time,orderid,side,lastqty,lastpx,lastliquidityind
2020-12-23 11:12:34.322588,24a6794d-839c-4f91-a484-4868a417fe96,Sell,9992978,22825,RemovedLiquidity
2021-01-23 02:46:24.380566,eb3286df-81a6-4ef5-8c30-1cb0388cc0e2,Buy,9879133,32177.5,RemovedLiquidity
2021-09-07 14:16:49.781043,2748656b-609d-4aed-ac47-f8c344ef355f,Buy,9662200,50197.5,RemovedLiquidity
2020-11-03 10:57:21.088166,753c5617-7881-4ae2-83c7-5c8ffe0cd24e,Sell,9074969,13552.5,RemovedLiquidity
2021-01-23 02:45:08.761756,9996026c-3f7c-4773-95ca-d13365301535,Buy,9016051,32131.5,RemovedLiquidity
2021-06-23 01:03:15.155104,cfe33081-7b66-4ef3-ac5b-306a89a3f632,Buy,9000000,33609,RemovedLiquidity
2021-09-07 15:51:28.039623,aa7cae5d-73df-481c-b286-fc4d92270dc2,Buy,7887800,46525,AddedLiquidity
2021-09-07 16:56:50.186654,002caad8-3755-4a79-8031-287a9357b429,Sell,7557100,47500,RemovedLiquidity
2021-09-06 12:36:02.933803,7050480e-0dd2-46de-8d91-4b3a92e17fcd,Sell,7160100,51400,AddedLiquidity
2021-09-21 07:50:21.572293,0ef89598-0ad4-480f-84b8-130193a877af,Sell,7136600,43025,AddedLiquidity
2021-04-04 13:44:30.583461,94fb9bd1-490f-499a-81f5-1162d6ae5770,Sell,6969696,58049,RemovedLiquidity
2021-12-06 23:40:57.069537,337e6bfe-f869-4c69-8d3a-8fdefa5bd276,Sell,6796800,50350,AddedLiquidity
2020-11-07 14:10:35.362324,9f8f935c-96da-4ae9-9fc6-0bd9da2bda27,Buy,6785846,15481,AddedLiquidity
2021-09-07 15:07:53.029284,6304558f-ed3f-4f26-9c77-03dbc4a0a802,Buy,6424700,46050,AddedLiquidity
2021-04-03 23:49:16.741317,915e5b5b-8e79-4b91-a257-8583d25a5541,Buy,6090540,57143.5,AddedLiquidity
2020-09-02 11:10:16.874103,7c80264a-6f23-1524-fa8f-71c6db63b308,Buy,6000000,11310,AddedLiquidity
2021-02-26 08:32:05.058958,12d26e8c-ca02-46fd-8c1b-2bea0790373d,Sell,6000000,45750,RemovedLiquidity
2021-09-15 18:28:20.822446,f6dc96f0-f087-4bd7-bd19-30e70ac124e7,Sell,5582200,47925,AddedLiquidity
2021-09-07 15:17:22.566475,623a046a-5880-4143-b2be-f0ad8ae87274,Sell,5563900,46250,AddedLiquidity
2021-05-19 14:05:58.485543,efdf65c9-9ac8-4115-ab46-7781ebf2b6b4,Buy,5431304,34250,AddedLiquidity
2021-08-03 12:01:45.400126,50a0cbbb-de2b-46a8-9d4b-40ac2705362a,Buy,5285700,37961,RemovedLiquidity
2020-11-08 17:58:12.629556,29352b9c-dd62-420b-b95e-ed9f0d445f98,Buy,5255225,15588.5,AddedLiquidity
2021-12-24 09:21:45.913236,8491e21d-c224-41b1-b251-fd57667536b8,Sell,5119600,51150,AddedLiquidity
2021-01-29 08:55:52.780867,94156dfa-2a08-4395-b130-e9f528d339de,Sell,5098563,35875,AddedLiquidity
2020-08-02 04:38:52.902728,b4dc28b7-9e68-b2af-fe21-53971c302724,Buy,5000000,11230,AddedLiquidity
2020-11-18 05:35:26.398596,6625bb98-f412-4a9b-ad05-4b54e84ffc5d,Buy,5000000,17446.5,RemovedLiquidity
2020-11-26 03:31:01.385681,bbf88f3f-fec3-4df5-8a92-5b84802edb17,Buy,5000000,17812.5,RemovedLiquidity
2020-11-30 15:32:10.799011,e2756395-5c50-4076-9481-40eb9978ba64,Buy,5000000,19600,AddedLiquidity
2021-01-10 21:01:21.639962,d8fc8395-87da-49d7-8598-09dfaabfa059,Sell,5000000,37900,AddedLiquidity
2021-01-15 12:48:40.721773,da20033c-9fad-4696-9ce5-560653832684,Buy,5000000,37750,RemovedLiquidity
