symbol,wallet_net_sat,model_in_window_sat,aggregate_residual_sat,max_abs_daily_residual_sat,nonzero_days,outside_wallet_window_sat,terminal_position,terminal_cost_sat,funding_rows
ADAM18,-19235291,-19235291,0,0,0,0,0,0,0
ADAM19,-6469965,-6469965,0,0,0,0,0,0,0
ADAU18,-148627071,-148627071,0,0,0,0,0,0,0
ADAUSDT,2209134,2209134,0,0,0,0,0,0,0
ADAZ18,-9745548,-9745548,0,0,0,0,0,0,0
BCHM18,17498197,17498197,0,0,0,0,0,0,0
BCHM19,-128767500,-128767500,0,0,0,0,0,0,0
BCHU18,16194102,16194102,0,0,0,0,0,0,0
BCHUSD,-6993503012,-6993503012,0,0,0,0,0,0,51
BCHZ18,236883793,236883793,0,0,0,0,0,0,0
BNBUSDT,1915294910,1915294910,0,0,0,0,0,0,23
DOGEUSDT,5260704663,5260704663,0,0,0,0,0,0,46
DOTUSDT,1640923646,1640923646,0,0,0,0,0,0,61
EOSH21,685887397,685887397,0,0,0,0,0,0,0
EOSM18,119280411,119280411,0,0,0,0,0,0,0
EOSU18,192900434,192900434,0,0,0,0,0,0,0
EOSZ18,103451314,103451314,0,0,0,0,0,0,0
ETHM18,-285972,-285972,0,0,0,0,0,0,0
ETHU18,-259147451,-259147451,0,1,2,0,0,0,0
ETHUSD,83036450739,83036450739,0,0,0,0,0,0,789
ETHUSDM21,14093425904,14093425904,0,0,0,0,0,0,0
LINKUSDT,-1784627291,-1784627291,0,1,2,0,0,0,49
LTCH19,-7577663,-7577663,0,0,0,0,0,0,0
LTCU18,12403579,12403579,0,0,0,0,0,0,0
LTCUSD,1686532127,1686532127,0,0,0,0,0,0,95
TRXH19,-55500093,-55500093,0,0,0,0,0,0,0
TRXU18,388446898,388446898,0,0,0,0,0,0,0
TRXU19,-625958560,-625958560,0,0,0,0,0,0,0
TRXZ18,59061670,59061670,0,0,0,0,0,0,0
XBT7D_U110,-909000,-909000,0,0,0,0,0,0,0
XBTH19,816725209,816725209,0,0,0,0,0,0,0
XBTH20,11920156973,11920156973,0,0,0,0,0,0,0
XBTM18,-41674848,-41674848,0,0,0,0,0,0,0
XBTM19,-1475753344,-1475753344,0,0,0,0,0,0,0
XBTU18,383204412,383204412,0,0,0,0,0,0,0
XBTU21,24633373320,24633373320,0,0,0,0,0,0,0
XBTUSD,200708464645,200708464645,0,2,12,1958048,-29080100,56922139118,3961
XBTZ18,1232313507,1232313507,0,0,0,0,0,0,0
XRPH19,15636573,15636573,0,0,0,0,0,0,0
XRPH21,373931041,373931041,0,0,0,0,0,0,0
XRPM18,31911239,31911239,0,0,0,0,0,0,0
XRPM19,42158077,42158077,0,0,0,0,0,0,0
XRPU18,-1774146044,-1774146044,0,0,0,0,0,0,0
XRPUSD,17386144941,17386144941,0,0,0,0,0,0,293
XRPZ18,42041107,42041107,0,0,0,0,0,0,0
YFIUSDTZ20,10688095,10688095,0,0,0,0,0,0,0
