date,symbol,position,kind,quote,reference_contract_price,unrealised_btc,signed_reference_value_usd,missing_reference
2018-03-05,XBTUSD,9000,inverse,USD,11540.6623205728,-0.0035112554999791085,9000.0,False
2018-03-10,XBTUSD,15000,inverse,USD,8786.56042314436,-0.0016026601568737626,15000.0,False
2018-03-13,XBTUSD,100000,inverse,USD,9160.54293278784,0.11916411970995903,100000.0,False
2018-03-20,XBTUSD,-500000,inverse,USD,8895.54717913501,0.27118483457722664,-500000.00000000006,False
2018-03-21,XBTUSD,-500000,inverse,USD,8879.5942565751,0.04183916187876701,-499999.99999999994,False
2018-03-30,XBTUSD,-50000,inverse,USD,6832.14906633548,-0.1404085067839849,-50000.0,False
2018-03-31,XBTM18,25000,inverse,USD,6922.2812969024,0.09833011864809632,25000.000000000004,False
2018-04-01,XBTM18,-30000,inverse,USD,6804.52487931035,-0.003924723532794118,-29999.999999999996,False
2018-04-02,XBTM18,-50000,inverse,USD,7033.25960958504,-0.09423192294269085,-50000.0,False
2018-04-02,XBTUSD,-100000,inverse,USD,7033.25960958504,-0.0614138958853817,-100000.0,False
2018-04-03,XBTUSD,-50000,inverse,USD,7420.80051548802,0.01581755696633339,-50000.0,False
2018-04-04,XBTM18,20000,inverse,USD,6780.54360140269,0.0419839845727706,20000.0,False
2018-04-05,XBTUSD,-30000,inverse,USD,6798.42261659848,0.013588332216126323,-30000.000000000004,False
2018-04-07,XBTUSD,20000,inverse,USD,6886.46947194623,-0.03984579408578574,20000.0,False
2018-04-09,XBTUSD,-8200,inverse,USD,6736.89282378726,0.005054336435257345,-8200.0,False
2018-04-12,XBTUSD,-50000,inverse,USD,7904.33027527762,-0.000853391281607151,-50000.0,False
2018-04-13,XBTUSD,210000,inverse,USD,7919.06469462303,0.07611683171271325,210000.0,False
2018-04-14,XBTUSD,-351000,inverse,USD,8006.41794330801,-0.10408019279192925,-351000.0,False
2018-04-15,XBTUSD,-400000,inverse,USD,8342.27110140269,0.006573612375535965,-400000.0,False
2018-04-16,ADAM18,-100000,linear_btc,XBT,3.1589592231484155e-05,0.12304077685158432,-25420.0884292808,False
2018-04-17,XBTUSD,600000,inverse,USD,7887.73795791935,-0.0014357085601902008,600000.0000000001,False
2018-04-19,XBTUSD,-5000,inverse,USD,8272.96731589714,-0.0026719823637218775,-5000.0,False
2018-04-20,XBTUSD,-400000,inverse,USD,8839.5011320865,0.03342245279434204,-400000.00000000006,False
2018-04-24,XBTUSD,-200000,inverse,USD,9652.21378872005,0.056791288311173915,-200000.00000000003,False
2018-05-03,XBT7D_U110,5,option,XBT,,,,True
2018-05-22,XBTUSD,300000,inverse,USD,8007.52653214495,0.07724745803870678,300000.0,False
2018-05-24,XBTUSD,300000,inverse,USD,7575.62448597312,0.4433043008567524,299999.99999999994,False
2018-05-25,XBTUSD,200001,inverse,USD,7425.37567445938,0.011336103870372772,200001.0,False
2018-05-30,XBTUSD,1,inverse,USD,7374.6690490941,1.110694682991998e-06,1.0,False
2018-05-31,XBTUSD,1,inverse,USD,7478.74186703682,-8.52329931800923e-07,1.0,False
2018-06-01,XBTUSD,-1,inverse,USD,7519.83573728814,-2.0683718187669367e-06,-1.0,False
2018-06-02,XBTUSD,-328759,inverse,USD,7637.44825306838,0.038030169288949964,-328759.0,False
2018-06-03,XBTUSD,-1,inverse,USD,7702.15793308007,3.537438271800056e-07,-1.0,False
2018-06-04,XBTUSD,-76243,inverse,USD,7486.65319959088,0.05116141290702939,-76243.0,False
2018-06-05,XBTUSD,-100001,inverse,USD,7611.14985271771,0.013619700193042756,-100001.0,False
2018-06-06,XBTUSD,-1,inverse,USD,7650.77580713033,5.35699030943415e-07,-1.0,False
