symbol,asset,kind,quote,settlement,multiplier_sat,is_future,api_settlement,api_multiplier,historical_override,max_unit_cost_error_sat,median_unit_cost_error_sat,evidence
ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
ADAM19,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,1.1368683772161603e-13,0.0,retrieved instrument metadata + execution-cost cross-check
ADAU18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,2.2737367544323206e-13,0.0,retrieved instrument metadata + execution-cost cross-check
ADAUSDT,ada,quanto,USDT,XBt,1000000,False,USDt,10000,True,0.0,0.0,historical issuer announcement + execution-cost cross-check
ADAZ18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
BCHM18,bch,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,1.862645149230957e-09,0.0,retrieved instrument metadata + execution-cost cross-check
BCHM19,bch,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
BCHU18,bch,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,9.313225746154785e-10,0.0,retrieved instrument metadata + execution-cost cross-check
BCHUSD,bch,quanto,USD,XBt,100,False,XBt,100,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
BCHZ18,bch,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,9.313225746154785e-10,0.0,retrieved instrument metadata + execution-cost cross-check
BNBUSDT,bnb,quanto,USDT,XBt,100,False,USDt,100,True,0.0,0.0,historical issuer announcement + execution-cost cross-check
DOGEUSDT,doge,quanto,USDT,XBt,100000,False,USDt,10000,True,3.637978807091713e-12,0.0,historical issuer announcement + execution-cost cross-check
DOTUSDT,dot,quanto,USDT,XBt,10000,False,USDt,1000,True,5.820766091346741e-11,0.0,historical issuer announcement + execution-cost cross-check
EOSH21,eos,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,9.094947017729282e-13,9.094947017729282e-13,retrieved instrument metadata + execution-cost cross-check
EOSM18,eos,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,1.4551915228366852e-11,0.0,retrieved instrument metadata + execution-cost cross-check
EOSU18,eos,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,1.4551915228366852e-11,0.0,retrieved instrument metadata + execution-cost cross-check
EOSZ18,eos,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
ETHM18,eth,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
ETHU18,eth,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,9.313225746154785e-10,0.0,retrieved instrument metadata + execution-cost cross-check
ETHUSD,eth,quanto,USD,XBt,100,False,XBt,100,False,5.820766091346741e-11,0.0,retrieved instrument metadata + execution-cost cross-check
ETHUSDM21,eth,quanto,USD,XBt,100,True,XBt,100,False,5.820766091346741e-11,0.0,retrieved instrument metadata + execution-cost cross-check
LINKUSDT,link,quanto,USDT,XBt,10000,False,USDt,1000,True,5.820766091346741e-11,0.0,historical issuer announcement + execution-cost cross-check
LTCH19,ltc,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
LTCU18,ltc,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
LTCUSD,ltc,quanto,USD,XBt,200,False,XBt,200,False,7.275957614183426e-12,0.0,retrieved instrument metadata + execution-cost cross-check
TRXH19,trx,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
TRXU18,trx,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,5.684341886080802e-14,0.0,retrieved instrument metadata + execution-cost cross-check
TRXU19,trx,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,2.842170943040401e-14,0.0,retrieved instrument metadata + execution-cost cross-check
TRXZ18,trx,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,5.684341886080802e-14,0.0,retrieved instrument metadata + execution-cost cross-check
XBT7D_U110,btc,option,XBT,XBt,100000000,False,XBt,100000000,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
XBTH19,btc,inverse,USD,XBt,100000000,True,XBt,-100000000,False,0.49593495934823295,0.2680726718317601,retrieved instrument metadata + execution-cost cross-check
XBTH20,btc,inverse,USD,XBt,100000000,True,XBt,-100000000,False,0.4973156568430568,0.19136591602000408,retrieved instrument metadata + execution-cost cross-check
XBTM18,btc,inverse,USD,XBt,100000000,True,XBt,-100000000,False,0.49984998499894573,0.2532674426165613,retrieved instrument metadata + execution-cost cross-check
XBTM19,btc,inverse,USD,XBt,100000000,True,XBt,-100000000,False,0.4125579659939831,0.10313075506383029,retrieved instrument metadata + execution-cost cross-check
XBTU18,btc,inverse,USD,XBt,100000000,True,XBt,-100000000,False,0.49984998499894573,0.38228595480632066,retrieved instrument metadata + execution-cost cross-check
XBTU21,btc,inverse,USD,XBt,100000000,True,XBt,-100000000,False,0.004994618165710563,0.0018950437320199853,retrieved instrument metadata + execution-cost cross-check
XBTUSD,btc,inverse,USD,XBt,100000000,False,XBt,-100000000,False,0.5,0.20584144645363267,retrieved instrument metadata + execution-cost cross-check
XBTZ18,btc,inverse,USD,XBt,100000000,True,XBt,-100000000,False,0.49894160129406373,0.1717693348073226,retrieved instrument metadata + execution-cost cross-check
XRPH19,xrp,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,9.094947017729282e-13,0.0,retrieved instrument metadata + execution-cost cross-check
XRPH21,xrp,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
XRPM18,xrp,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
XRPM19,xrp,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
XRPU18,xrp,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,9.094947017729282e-13,0.0,retrieved instrument metadata + execution-cost cross-check
XRPUSD,xrp,quanto,USD,XBt,20000,False,XBt,20000,False,3.637978807091713e-12,0.0,retrieved instrument metadata + execution-cost cross-check
XRPZ18,xrp,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,9.094947017729282e-13,0.0,retrieved instrument metadata + execution-cost cross-check
YFIUSDTZ20,yfi,quanto,USDT,XBt,10,True,XBt,10,False,0.0,0.0,retrieved instrument metadata + execution-cost cross-check
