date,position,held_cost_sat,symbol,asset,kind,quote,settlement,multiplier_sat,is_future,api_settlement,api_multiplier,historical_override,max_unit_cost_error_sat,median_unit_cost_error_sat,evidence
2018-03-05,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-06,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-07,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-08,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-09,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-10,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-11,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-12,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-13,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-14,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-15,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-16,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-17,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-18,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-19,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-20,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-21,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-22,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-23,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-24,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-25,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-26,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-27,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-28,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-29,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-30,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-03-31,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-01,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-02,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-03,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-04,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-05,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-06,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-07,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-08,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-09,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-10,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-11,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-12,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-13,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-14,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-15,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-16,-100000,328200000,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-17,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-18,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-19,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-20,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-21,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-22,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-23,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-24,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-25,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-26,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-27,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-28,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-29,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-04-30,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
2018-05-01,0,0,ADAM18,ada,linear_btc,XBT,XBt,100000000,True,XBt,100000000,False,4.547473508864641e-13,0.0,retrieved instrument metadata + execution-cost cross-check
