date,active_contracts,missing_mark_contracts,cash_flow_sat,model_wallet_btc,known_unrealised_btc,reference_equity_btc,reference_equity_usd,gross_reference_value_usd,gross_value_to_reference_equity,btc_collateral_value_usd,btc_factor_delta_usd,btc_derivative_delta_usd,alt_factor_delta_usd,btc_inverse_net_contracts,futures_gross_reference_usd,largest_alt_factor_abs_usd,largest_alt_factor,model_wallet_sat,cash_date_ambiguity
2018-03-05,1,0,17244633,0.09876603,-0.0035112554999791085,0.0952547745000209,1099.3031869270499,9000.0,8.187004374251162,1139.8254009735629,10099.30318692227,8959.477785948708,0.0,9000,0.0,0.0,,9876603,False
2018-03-06,0,0,0,0.07429038,0.0,0.07429038,793.2010045739103,0.0,0.0,793.2010045739103,793.2010045738025,-1.07775122160092e-10,0.0,0,0.0,0.0,,7429038,False
2018-03-07,0,0,0,0.07429038,0.0,0.07429038,735.7039514695193,0.0,0.0,735.7039514695193,735.7039514704411,9.217728802468628e-10,0.0,0,0.0,0.0,,7429038,False
2018-03-08,0,0,0,0.12164286,0.0,0.12164286,1134.9857192568147,0.0,0.0,1134.9857192568147,1134.985719256747,-6.775735528208315e-11,0.0,0,0.0,0.0,,12164286,False
2018-03-09,0,0,0,0.11809152,0.0,0.11809152,1095.6695590567765,0.0,0.0,1095.6695590567765,1095.669559056205,-5.716174200642854e-10,0.0,0,0.0,0.0,,11809152,False
2018-03-10,1,0,0,0.09276964,-0.0016026601568737626,0.09116697984312624,801.0441769872126,15000.0,18.72555900277077,815.1260472933499,15801.04417697953,14985.91812968618,0.0,15000,0.0,0.0,,9276964,False
2018-03-11,0,0,0,0.09444865,0.0,0.09444865,898.5405752351298,0.0,0.0,898.5405752351298,898.5405752349607,-1.6916601452976465e-10,0.0,0,0.0,0.0,,9444865,False
2018-03-12,0,0,4950000,0.00383027,0.0,0.00383027,35.03888932203202,0.0,0.0,35.03888932203202,35.038889322009936,-2.2083668227423914e-11,0.0,0,0.0,0.0,,383027,False
2018-03-13,1,0,41000000,0.50925912,0.11916411970995903,0.628423239709959,5756.698067324703,100000.0,17.371069114707414,4665.090032673754,105756.69806733458,101091.60803466084,0.0,100000,0.0,0.0,,50925912,False
2018-03-14,0,0,41817608,0.63715257,0.0,0.63715257,5238.749501222291,0.0,0.0,5238.749501222291,5238.749501222628,3.374225343577564e-10,0.0,0,0.0,0.0,,63715257,False
2018-03-15,0,0,0,0.78069233,0.0,0.78069233,6455.224107812697,0.0,0.0,6455.224107812697,6455.224107808135,-4.562025424093008e-09,0.0,0,0.0,0.0,,78069233,False
2018-03-16,0,0,0,1.47388247,0.0,1.47388247,12346.572692829868,0.0,0.0,12346.572692829868,12346.57269284071,1.0841176845133305e-08,0.0,0,0.0,0.0,,147388247,False
2018-03-17,0,0,0,1.50141761,0.0,1.5014176099999998,11833.66600352662,0.0,0.0,11833.66600352662,11833.666003522012,-4.6075001591816545e-09,0.0,0,0.0,0.0,,150141761,False
2018-03-18,0,0,0,1.50141761,0.0,1.50141761,12295.133910746383,0.0,0.0,12295.133910746383,12295.133910747609,1.2259988579899073e-09,0.0,0,0.0,0.0,,150141761,False
2018-03-19,0,0,0,2.6551121,0.0,2.6551121,22666.73347936518,0.0,0.0,22666.73347936518,22666.733479345567,-1.9612343749031425e-08,0.0,0,0.0,0.0,,265511210,False
2018-03-20,1,0,116503238,1.47048245,0.27118483457722664,1.7416672845772267,15493.083500312683,500000.00000000006,32.27246532234265,13080.746010065039,-484506.91649929463,-497587.66250935965,0.0,-500000,0.0,0.0,,147048245,False
2018-03-21,1,0,0,2.24868005,0.04183916187876701,2.2905192118787667,20338.88123837362,499999.99999999994,24.583456392706783,19967.366456855005,-479661.1187617236,-499628.48521857866,0.0,-500000,0.0,0.0,,224868005,False
2018-03-22,0,0,-196801713,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,0,False
2018-03-23,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,0,False
2018-03-24,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,0,False
2018-03-25,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,0,False
2018-03-26,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,0,False
2018-03-27,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,0,False
2018-03-28,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,0,False
2018-03-29,0,0,100000000,0.82921244,0.0,0.82921244,5894.515348981997,0.0,0.0,5894.515348981997,5894.515348986715,4.718458512797952e-09,0.0,0,0.0,0.0,,82921244,False
2018-03-30,1,0,56248181,2.62545999,-0.1404085067839849,2.4850514832160147,16978.242170849895,50000.0,2.9449456249272656,17937.53401937966,-33021.75782913764,-50959.2918485173,0.0,-50000,0.0,0.0,,262545999,False
2018-03-31,1,0,-20120000,2.45650323,0.09833011864809632,2.554833348648097,17685.27510604925,25000.000000000004,1.4136053779253202,17004.606364809333,42685.27510605054,25680.668741241207,0.0,25000,25000.000000000004,0.0,,245650323,False
2018-04-01,1,0,0,2.14372435,-0.003924723532794118,2.1397996264672057,14560.319795035095,29999.999999999996,2.060394306052925,14587.025673958407,-15439.680204945034,-30026.70587890344,0.0,-30000,29999.999999999996,0.0,,214372435,False
2018-04-02,2,0,0,1.3376977,-0.15564581882807255,1.1820518811719274,8313.677752280533,150000.0,18.04255643164102,9408.375203244806,-141686.3222478787,-151094.6974511235,0.0,-150000,50000.0,0.0,,133769770,False
2018-04-03,1,0,29950000,0.71269896,0.01581755696633339,0.7285165169663333,5406.175744645304,50000.0,9.248681944815406,5288.796809755776,-44593.82425534841,-49882.621065104184,0.0,-50000,0.0,0.0,,71269896,False
2018-04-04,1,0,0,0.88370854,0.0419839845727706,0.9256925245727706,6276.698524358202,20000.0,3.186388500640154,5992.024286401913,26276.698524338826,20284.674237936913,0.0,20000,20000.0,0.0,,88370854,False
2018-04-05,1,0,0,1.05243834,0.013588332216126323,1.0660266722161262,7247.299838291327,30000.000000000004,4.139472723550653,7154.92061323136,-22752.700161686334,-29907.620774917694,0.0,-30000,0.0,0.0,,105243834,False
2018-04-06,0,0,0,1.25715464,0.0,1.25715464,8310.41113022984,0.0,0.0,8310.41113022984,8310.411130223656,-6.184563972055912e-09,0.0,0,0.0,0.0,,125715464,False
2018-04-07,1,0,0,1.25482846,-0.03984579408578574,1.2149826659142142,8366.941037762082,20000.0,2.3903598590853017,8641.337882319302,28366.941037756987,19725.603155437686,0.0,20000,0.0,0.0,,125482846,False
2018-04-08,0,0,0,1.27759118,0.0,1.2775911800000002,8955.909194719929,0.0,0.0,8955.909194719929,8955.909194719425,-5.038600647822022e-10,0.0,0,0.0,0.0,,127759118,False
2018-04-09,1,0,0,1.62781409,0.005054336435257345,1.6328684264352573,11000.45958424048,8200.0,0.7454234013774765,10966.409061380788,2800.4595842412527,-8165.949477139535,0.0,-8200,0.0,0.0,,162781409,False
2018-04-10,0,0,0,1.68324675,0.0,1.68324675,11474.219455086322,0.0,0.0,11474.219455086322,11474.219455085404,-9.185896487906575e-10,0.0,0,0.0,0.0,,168324675,False
