date,active_contracts,missing_mark_contracts,cash_flow_sat,model_wallet_btc,known_unrealised_btc,reference_equity_btc,reference_equity_usd,gross_reference_value_usd,gross_value_to_reference_equity,btc_collateral_value_usd,btc_factor_delta_usd,btc_derivative_delta_usd,alt_factor_delta_usd,btc_inverse_net_contracts,futures_gross_reference_usd,largest_alt_factor_abs_usd,largest_alt_factor,model_wallet_sat,cash_date_ambiguity
2020-03-11,1,0,0,446.388577,3.382442701802559,449.7710197018026,3570885.6479024175,1500126.0,0.420099142878236,3544031.2807474886,5071011.64790336,1526980.3671558718,0.0,1500126,0.0,0.0,,44638857700,False
2020-03-12,1,0,0,474.11760309,56.801766381308745,530.9193694713088,2632995.5509719374,2992115.0000000005,1.13639196955555,2351297.7889967724,5625110.550967511,3273812.7619707384,0.0,2992115,0.0,0.0,,47411760309,False
2020-10-19,1,0,0,649.20992375,-57.5054874730426,591.7044362769574,6950049.0488818865,30000915.000000004,4.316647952984807,7625497.691843283,-23050865.951105952,-30676363.642949235,0.0,-30000915,0.0,0.0,,64920992375,False
2020-10-20,1,0,0,595.11939168,-49.13753620245117,545.9818554775488,6513267.204593992,23265378.0,3.5719980877784763,7099451.34212736,-16752110.795415938,-23851562.1375433,0.0,-23265378,0.0,0.0,,59511939168,False
2021-05-18,2,0,0,642.78267736,8.739438218070259,651.5221155780703,27878507.140367873,23817376.585329052,0.8543275457831695,27504548.244822014,11267447.140347213,-16237101.104474802,-7206316.5853358805,-16611060,0.0,7206316.58532905,eth,64278267736,False
2021-05-19,2,0,0,324.16124597,1.7219160457445464,325.8831620157445,12267063.444412308,11470424.513066562,0.9350587094494389,12202246.185219029,12262082.444410771,59836.25919174217,11465443.51306744,-4981,0.0,11465443.513066562,eth,32416124597,False
2021-06-24,4,0,0,1174.7597761,129.85619644238506,1304.615972542385,45216649.60591549,70695866.82050604,1.5634919313273759,40715967.21564107,97240549.60597306,56524582.390332,-67272.09948003292,52023900,49369619.46000619,67272.09950634837,eth,117475977610,False
2021-06-25,3,0,0,1314.15497918,-194.3177489860063,1119.8372301939937,35480366.46685417,77802929.67304413,2.1928445904223617,41637033.488759965,105502166.46686196,63865132.978102,7781129.673048854,70021800,39999999.99999999,7781129.673044129,eth,131415497918,False
2021-10-12,3,0,0,1264.51836397,-238.28150388126605,1026.2368600887341,57670592.60502384,117141112.72905105,2.031210491130736,71061103.18799073,16251792.605035007,-54809310.58295572,-75722312.7290979,-41418800,0.0,62857308.517954215,eth,126451836397,False
2021-12-22,1,0,0,729.55113649,6.185940283866176,735.7370767738663,35824582.38833286,6941200.0,0.1937552244087169,35523375.97323631,42765782.3882997,7242406.415063396,0.0,6941200,0.0,0.0,,72955113649,False
2021-12-31,1,0,0,737.28931453,58.11172056271759,795.4010350927174,36870908.30634486,29080100.000000004,0.7887003964856437,34177132.681395955,7790808.306336403,-26386324.375059552,0.0,-29080100,0.0,0.0,,73728931453,False
