date,scenario,component,change_usd
2020-03-11,btc_down20,BTC_cash,-708806.2561494978
2020-03-11,btc_down20,XBTUSD,-305396.07343098585
2020-03-11,btc_up20,BTC_cash,708806.2561494978
2020-03-11,btc_up20,XBTUSD,305396.0734309858
2020-03-11,alts_down30,BTC_cash,0.0
2020-03-11,alts_down30,XBTUSD,0.0
2020-03-11,joint_down,BTC_cash,-708806.2561494978
2020-03-11,joint_down,XBTUSD,-305396.07343098585
2020-03-11,joint_up,BTC_cash,708806.2561494978
2020-03-11,joint_up,XBTUSD,305396.0734309858
2020-03-11,usdt_down5,BTC_cash,0.0
2020-03-11,usdt_down5,XBTUSD,0.0
2020-03-11,futures_basis_down5,BTC_cash,0.0
2020-03-11,futures_basis_down5,XBTUSD,0.0
2020-03-11,futures_basis_up5,BTC_cash,0.0
2020-03-11,futures_basis_up5,XBTUSD,0.0
2020-03-12,btc_down20,BTC_cash,-470259.5577993545
2020-03-12,btc_down20,XBTUSD,-654762.5523950325
2020-03-12,btc_up20,BTC_cash,470259.5577993545
2020-03-12,btc_up20,XBTUSD,654762.5523950328
2020-03-12,alts_down30,BTC_cash,0.0
2020-03-12,alts_down30,XBTUSD,0.0
2020-03-12,joint_down,BTC_cash,-470259.5577993545
2020-03-12,joint_down,XBTUSD,-654762.5523950325
2020-03-12,joint_up,BTC_cash,470259.5577993545
2020-03-12,joint_up,XBTUSD,654762.5523950328
2020-03-12,usdt_down5,BTC_cash,0.0
2020-03-12,usdt_down5,XBTUSD,0.0
2020-03-12,futures_basis_down5,BTC_cash,0.0
2020-03-12,futures_basis_down5,XBTUSD,0.0
2020-03-12,futures_basis_up5,BTC_cash,0.0
2020-03-12,futures_basis_up5,XBTUSD,0.0
2020-10-19,btc_down20,BTC_cash,-1525099.5383686568
2020-10-19,btc_down20,XBTUSD,6135272.728592277
2020-10-19,btc_up20,BTC_cash,1525099.5383686568
2020-10-19,btc_up20,XBTUSD,-6135272.728592278
2020-10-19,alts_down30,BTC_cash,0.0
2020-10-19,alts_down30,XBTUSD,0.0
