posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-04-17,3007088,3007088,0,ADAM18
2018-04-25,8966767,8966767,0,ADAM18
2018-04-29,33452667,33452667,0,ADAM18
2018-05-04,16061478,16061478,0,ADAM18
2018-05-07,20063251,20063251,0,ADAM18
2018-05-09,27914934,27914934,0,ADAM18
2018-05-11,44995330,44995330,0,ADAM18
2018-05-23,739416,739416,0,ADAM18
2018-06-04,192367,192367,0,ADAM18
2018-06-11,14720098,14720098,0,ADAM18
2018-06-18,2529109,2529109,0,ADAM18
2018-06-22,596646,596646,0,ADAM18
2018-06-23,-927502,-927502,0,ADAM18
2018-06-28,279311,279311,0,ADAM18
2018-06-29,-191826251,-191826251,0,ADAM18
