posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-07-14,16861100,16861100,0,ADAU18
2018-07-17,5834364,5834364,0,ADAU18
2018-07-18,5864482,5864482,0,ADAU18
2018-07-19,7868409,7868409,0,ADAU18
2018-07-21,405628,405628,0,ADAU18
2018-07-22,9331114,9331114,0,ADAU18
2018-07-23,14758000,14758000,0,ADAU18
2018-07-24,4638757,4638757,0,ADAU18
2018-07-28,186879,186879,0,ADAU18
2018-07-29,-6340925,-6340925,0,ADAU18
2018-07-30,-4750566,-4750566,0,ADAU18
2018-07-31,313162,313162,0,ADAU18
2018-08-01,-66404986,-66404986,0,ADAU18
2018-08-02,166706,166706,0,ADAU18
2018-08-04,-21110311,-21110311,0,ADAU18
2018-08-05,-16906268,-16906268,0,ADAU18
2018-08-06,-2710400,-2710400,0,ADAU18
2018-08-07,-11452,-11452,0,ADAU18
2018-08-08,-51697763,-51697763,0,ADAU18
2018-08-14,486265,486265,0,ADAU18
2018-08-15,16902571,16902571,0,ADAU18
2018-08-16,10864425,10864425,0,ADAU18
2018-09-11,253829,253829,0,ADAU18
2018-09-12,561477,561477,0,ADAU18
2018-09-13,-74835492,-74835492,0,ADAU18
2018-09-14,843700,843700,0,ADAU18
2018-09-22,224,224,0,ADAU18
