posting_date,model_sat,wallet_sat,residual_sat,symbol
2020-10-08,-1189234,-1189234,0,BCHUSD
2020-10-09,-2182458,-2182458,0,BCHUSD
2020-10-10,-2257265,-2257265,0,BCHUSD
2020-10-11,-6699222,-6699222,0,BCHUSD
2020-10-12,-1873165,-1873165,0,BCHUSD
2020-10-13,-1787131,-1787131,0,BCHUSD
2020-10-14,696399356,696399356,0,BCHUSD
2020-12-28,3902379,3902379,0,BCHUSD
2021-05-01,37240095,37240095,0,BCHUSD
2021-05-02,23087613,23087613,0,BCHUSD
2021-05-03,27402052,27402052,0,BCHUSD
2021-05-04,69003198,69003198,0,BCHUSD
2021-05-05,42096645,42096645,0,BCHUSD
2021-05-06,-6314277877,-6314277877,0,BCHUSD
2021-05-07,16808593,16808593,0,BCHUSD
2021-05-08,16300961,16300961,0,BCHUSD
2021-05-09,17029665,17029665,0,BCHUSD
2021-05-10,16709384,16709384,0,BCHUSD
2021-05-11,24542159,24542159,0,BCHUSD
2021-05-12,-1653758760,-1653758760,0,BCHUSD
