posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-11-04,61943850,61943850,0,BCHZ18
2018-11-05,171666610,171666610,0,BCHZ18
2018-11-07,112787975,112787975,0,BCHZ18
2018-11-09,3487472,3487472,0,BCHZ18
2018-11-10,-397129274,-397129274,0,BCHZ18
2018-11-11,22805710,22805710,0,BCHZ18
2018-11-12,-170404586,-170404586,0,BCHZ18
2018-11-13,-112235529,-112235529,0,BCHZ18
2018-11-14,163199265,163199265,0,BCHZ18
2018-11-15,202005150,202005150,0,BCHZ18
2018-11-16,241756205,241756205,0,BCHZ18
2018-12-07,36567500,36567500,0,BCHZ18
2018-12-20,71902030,71902030,0,BCHZ18
2018-12-21,-209112530,-209112530,0,BCHZ18
2018-12-25,37643945,37643945,0,BCHZ18
