posting_date,model_sat,wallet_sat,residual_sat,symbol
2021-06-03,-223565,-223565,0,DOGEUSDT
2021-06-04,56351068,56351068,0,DOGEUSDT
2021-06-05,19714111,19714111,0,DOGEUSDT
2021-06-06,11745256,11745256,0,DOGEUSDT
2021-06-07,14459426,14459426,0,DOGEUSDT
2021-06-08,26878952,26878952,0,DOGEUSDT
2021-06-09,1740858424,1740858424,0,DOGEUSDT
2021-06-10,923534555,923534555,0,DOGEUSDT
2021-06-11,111671136,111671136,0,DOGEUSDT
2021-06-22,555067817,555067817,0,DOGEUSDT
2021-09-18,-217654,-217654,0,DOGEUSDT
2021-09-19,8978679,8978679,0,DOGEUSDT
2021-09-20,3218278,3218278,0,DOGEUSDT
2021-09-21,6642393,6642393,0,DOGEUSDT
2021-09-22,423546717,423546717,0,DOGEUSDT
2021-09-23,13480364,13480364,0,DOGEUSDT
2021-09-24,2927304,2927304,0,DOGEUSDT
2021-09-25,2745332,2745332,0,DOGEUSDT
2021-09-26,1339326070,1339326070,0,DOGEUSDT
