posting_date,model_sat,wallet_sat,residual_sat,symbol
2021-05-04,34988130,34988130,0,DOTUSDT
2021-05-05,19614344,19614344,0,DOTUSDT
2021-05-06,20191980,20191980,0,DOTUSDT
2021-05-07,34257494,34257494,0,DOTUSDT
2021-05-08,20645922,20645922,0,DOTUSDT
2021-05-09,16169338,16169338,0,DOTUSDT
2021-05-10,8832108,8832108,0,DOTUSDT
2021-05-11,32937409,32937409,0,DOTUSDT
2021-05-12,-336917075,-336917075,0,DOTUSDT
2021-05-13,-11702703,-11702703,0,DOTUSDT
2021-05-14,-133741113,-133741113,0,DOTUSDT
2021-05-15,6038594,6038594,0,DOTUSDT
2021-05-16,21587407,21587407,0,DOTUSDT
2021-05-17,-552581624,-552581624,0,DOTUSDT
2021-06-03,676324,676324,0,DOTUSDT
2021-06-04,11734687,11734687,0,DOTUSDT
2021-06-05,3310246,3310246,0,DOTUSDT
2021-06-06,3175495,3175495,0,DOTUSDT
2021-06-07,3211894,3211894,0,DOTUSDT
2021-06-08,3083948,3083948,0,DOTUSDT
2021-06-09,754616134,754616134,0,DOTUSDT
2021-06-10,941950881,941950881,0,DOTUSDT
2021-06-11,738843826,738843826,0,DOTUSDT
