posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-06-29,-2511932,-2511932,0,EOSU18
2018-06-30,83568510,83568510,0,EOSU18
2018-07-03,117811180,117811180,0,EOSU18
2018-07-04,30280975,30280975,0,EOSU18
2018-07-06,599031,599031,0,EOSU18
2018-07-07,294994,294994,0,EOSU18
2018-07-10,-123587932,-123587932,0,EOSU18
2018-07-11,-89134399,-89134399,0,EOSU18
2018-07-12,-14328874,-14328874,0,EOSU18
2018-07-13,-12695942,-12695942,0,EOSU18
2018-07-14,-1900341,-1900341,0,EOSU18
2018-07-15,-1256542,-1256542,0,EOSU18
2018-07-16,74765764,74765764,0,EOSU18
2018-07-17,27678848,27678848,0,EOSU18
2018-07-18,19893977,19893977,0,EOSU18
2018-07-19,2157069,2157069,0,EOSU18
2018-07-20,1191947,1191947,0,EOSU18
2018-07-21,241914,241914,0,EOSU18
2018-07-25,-32425791,-32425791,0,EOSU18
2018-07-27,201883,201883,0,EOSU18
2018-07-28,235841,235841,0,EOSU18
2018-07-29,231907,231907,0,EOSU18
2018-07-31,868751,868751,0,EOSU18
2018-08-01,-111715312,-111715312,0,EOSU18
2018-08-02,278374,278374,0,EOSU18
2018-08-03,-4287,-4287,0,EOSU18
2018-08-04,7426132,7426132,0,EOSU18
2018-08-05,53280151,53280151,0,EOSU18
2018-08-08,-4527,-4527,0,EOSU18
2018-08-09,19656351,19656351,0,EOSU18
2018-08-10,33684904,33684904,0,EOSU18
2018-08-12,348364,348364,0,EOSU18
2018-08-13,107127,107127,0,EOSU18
2018-08-14,3188130,3188130,0,EOSU18
2018-08-15,91934440,91934440,0,EOSU18
2018-08-16,-66051,-66051,0,EOSU18
2018-08-18,8719801,8719801,0,EOSU18
2018-08-19,3885999,3885999,0,EOSU18
