posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-08-09,1589372,1589372,0,ETHUSD
2018-08-14,4556069,4556069,0,ETHUSD
2018-08-18,64126241,64126241,0,ETHUSD
2018-09-11,25373837,25373837,0,ETHUSD
2018-09-12,61167058,61167058,0,ETHUSD
2018-09-13,50364265,50364265,0,ETHUSD
2018-09-14,-472131523,-472131523,0,ETHUSD
2018-09-15,102177229,102177229,0,ETHUSD
2018-09-16,-145429521,-145429521,0,ETHUSD
2018-09-17,66351439,66351439,0,ETHUSD
2018-09-18,-346121749,-346121749,0,ETHUSD
2018-09-19,-75435049,-75435049,0,ETHUSD
2018-09-20,354771168,354771168,0,ETHUSD
2018-09-21,37176384,37176384,0,ETHUSD
2018-09-22,-48800825,-48800825,0,ETHUSD
2018-09-24,11610850,11610850,0,ETHUSD
2018-09-25,151163635,151163635,0,ETHUSD
2018-09-26,-17541498,-17541498,0,ETHUSD
2018-09-27,121793897,121793897,0,ETHUSD
2018-09-28,65330972,65330972,0,ETHUSD
2018-09-29,-156031070,-156031070,0,ETHUSD
2018-10-02,888671,888671,0,ETHUSD
2018-10-03,-66678496,-66678496,0,ETHUSD
2018-10-04,43,43,0,ETHUSD
2018-10-05,24,24,0,ETHUSD
2018-10-06,26641671,26641671,0,ETHUSD
2018-10-07,19,19,0,ETHUSD
2018-10-08,51,51,0,ETHUSD
2018-10-09,45,45,0,ETHUSD
2018-10-10,54,54,0,ETHUSD
2018-10-11,55,55,0,ETHUSD
2018-10-12,-2,-2,0,ETHUSD
2018-10-13,-7,-7,0,ETHUSD
2018-10-14,-8,-8,0,ETHUSD
2018-10-15,5032163,5032163,0,ETHUSD
2018-10-16,39,39,0,ETHUSD
2018-10-17,6,6,0,ETHUSD
2018-10-18,33,33,0,ETHUSD
2018-10-19,9,9,0,ETHUSD
2018-10-20,6,6,0,ETHUSD
2018-10-21,23,23,0,ETHUSD
2018-10-22,0,0,0,ETHUSD
2018-10-23,24,24,0,ETHUSD
2018-10-24,7,7,0,ETHUSD
2018-10-25,6,6,0,ETHUSD
2018-10-26,27,27,0,ETHUSD
2018-10-27,16,16,0,ETHUSD
2018-10-28,5,5,0,ETHUSD
2018-10-29,16,16,0,ETHUSD
2018-10-30,26,26,0,ETHUSD
2018-10-31,22,22,0,ETHUSD
2018-11-01,13,13,0,ETHUSD
2018-11-02,8,8,0,ETHUSD
2018-11-03,5,5,0,ETHUSD
2018-11-04,19,19,0,ETHUSD
2018-11-05,13440938,13440938,0,ETHUSD
2018-11-06,35553483,35553483,0,ETHUSD
2018-11-07,4914932,4914932,0,ETHUSD
2018-11-09,120045447,120045447,0,ETHUSD
2018-11-10,-108927457,-108927457,0,ETHUSD
2018-11-11,21923555,21923555,0,ETHUSD
2018-11-14,7223043,7223043,0,ETHUSD
2018-11-15,370006071,370006071,0,ETHUSD
2018-11-16,130358295,130358295,0,ETHUSD
2018-11-17,3443132,3443132,0,ETHUSD
2018-11-18,-253459,-253459,0,ETHUSD
2018-11-19,-170661074,-170661074,0,ETHUSD
2018-11-20,5783403,5783403,0,ETHUSD
2018-11-21,109005094,109005094,0,ETHUSD
2018-11-22,-14,-14,0,ETHUSD
2018-11-23,155049009,155049009,0,ETHUSD
2018-11-24,17829788,17829788,0,ETHUSD
2018-11-25,113913920,113913920,0,ETHUSD
2018-11-26,96777350,96777350,0,ETHUSD
2018-11-27,92787332,92787332,0,ETHUSD
2018-11-28,-7,-7,0,ETHUSD
2018-11-29,-17,-17,0,ETHUSD
2018-11-30,-8,-8,0,ETHUSD
2018-12-01,-2,-2,0,ETHUSD
2018-12-02,-12,-12,0,ETHUSD
2018-12-03,-3,-3,0,ETHUSD
2018-12-04,-9,-9,0,ETHUSD
2018-12-05,-2,-2,0,ETHUSD
2018-12-06,-9,-9,0,ETHUSD
2018-12-07,-5,-5,0,ETHUSD
2018-12-08,-2013,-2013,0,ETHUSD
2018-12-09,-26,-26,0,ETHUSD
2018-12-10,111297491,111297491,0,ETHUSD
2018-12-11,-4,-4,0,ETHUSD
2018-12-12,-11,-11,0,ETHUSD
2018-12-13,-3,-3,0,ETHUSD
2018-12-14,-5,-5,0,ETHUSD
2018-12-15,-3,-3,0,ETHUSD
2018-12-16,-7,-7,0,ETHUSD
2018-12-17,-3,-3,0,ETHUSD
2018-12-18,-249387148,-249387148,0,ETHUSD
2019-01-05,46842867,46842867,0,ETHUSD
2019-02-25,806628441,806628441,0,ETHUSD
2019-02-26,307474624,307474624,0,ETHUSD
2019-03-01,90769436,90769436,0,ETHUSD
2019-03-04,-8002578,-8002578,0,ETHUSD
2019-03-05,-111356304,-111356304,0,ETHUSD
2019-03-06,261659591,261659591,0,ETHUSD
2019-03-08,68291902,68291902,0,ETHUSD
2019-04-08,14758986,14758986,0,ETHUSD
2019-04-23,3055692,3055692,0,ETHUSD
2019-05-07,20694510,20694510,0,ETHUSD
2019-05-23,-98126416,-98126416,0,ETHUSD
2019-09-05,4360000,4360000,0,ETHUSD
2019-09-06,241655568,241655568,0,ETHUSD
2019-09-09,241341765,241341765,0,ETHUSD
2020-01-15,-6064565,-6064565,0,ETHUSD
2020-01-16,-27739834,-27739834,0,ETHUSD
2020-01-17,36189514,36189514,0,ETHUSD
2020-02-13,161811239,161811239,0,ETHUSD
2020-07-08,2788799,2788799,0,ETHUSD
2020-07-09,-30858639,-30858639,0,ETHUSD
2020-07-10,-34057052,-34057052,0,ETHUSD
2020-07-11,-29373672,-29373672,0,ETHUSD
2020-07-12,-10444423,-10444423,0,ETHUSD
2020-07-13,-6984624,-6984624,0,ETHUSD
2020-07-14,17945758,17945758,0,ETHUSD
2020-11-07,604817759,604817759,0,ETHUSD
2020-11-08,-737728285,-737728285,0,ETHUSD
2020-12-28,-86845720,-86845720,0,ETHUSD
2020-12-29,-179972343,-179972343,0,ETHUSD
2020-12-30,1767829786,1767829786,0,ETHUSD
2021-01-06,-1207777607,-1207777607,0,ETHUSD
2021-01-11,1455623528,1455623528,0,ETHUSD
2021-02-18,21871977,21871977,0,ETHUSD
2021-02-19,218204712,218204712,0,ETHUSD
2021-02-20,130794642,130794642,0,ETHUSD
2021-02-21,-16309011,-16309011,0,ETHUSD
2021-02-22,791639888,791639888,0,ETHUSD
2021-02-26,1976860462,1976860462,0,ETHUSD
2021-02-27,-28456634,-28456634,0,ETHUSD
2021-02-28,-164903760,-164903760,0,ETHUSD
2021-03-01,-83713788,-83713788,0,ETHUSD
2021-03-02,458922932,458922932,0,ETHUSD
2021-03-03,-76482013,-76482013,0,ETHUSD
2021-03-04,2880041327,2880041327,0,ETHUSD
2021-04-23,-2525590969,-2525590969,0,ETHUSD
2021-04-24,-1225417377,-1225417377,0,ETHUSD
2021-04-25,-86626996,-86626996,0,ETHUSD
2021-04-26,2785065065,2785065065,0,ETHUSD
2021-05-01,25994783,25994783,0,ETHUSD
2021-05-02,62822010,62822010,0,ETHUSD
2021-05-03,66537665,66537665,0,ETHUSD
2021-05-04,-1631601811,-1631601811,0,ETHUSD
2021-05-05,52940775,52940775,0,ETHUSD
2021-05-06,-4045738122,-4045738122,0,ETHUSD
2021-05-13,2666223906,2666223906,0,ETHUSD
2021-05-14,1517603989,1517603989,0,ETHUSD
2021-05-15,-567775779,-567775779,0,ETHUSD
2021-05-16,49610410,49610410,0,ETHUSD
2021-05-17,2952231563,2952231563,0,ETHUSD
2021-05-18,1044907368,1044907368,0,ETHUSD
2021-05-19,-71309827,-71309827,0,ETHUSD
2021-05-20,-14773970756,-14773970756,0,ETHUSD
2021-05-21,-1182818892,-1182818892,0,ETHUSD
2021-05-22,10458342562,10458342562,0,ETHUSD
2021-05-23,-731207210,-731207210,0,ETHUSD
2021-05-24,10667081821,10667081821,0,ETHUSD
2021-05-25,2039625451,2039625451,0,ETHUSD
2021-05-26,4146908363,4146908363,0,ETHUSD
2021-05-27,2447463187,2447463187,0,ETHUSD
2021-05-28,2991320101,2991320101,0,ETHUSD
2021-05-29,-61318023,-61318023,0,ETHUSD
2021-05-30,1342971039,1342971039,0,ETHUSD
2021-05-31,93045742,93045742,0,ETHUSD
2021-06-01,2465046616,2465046616,0,ETHUSD
2021-06-02,563145950,563145950,0,ETHUSD
2021-06-03,4825872339,4825872339,0,ETHUSD
2021-06-04,1925753970,1925753970,0,ETHUSD
2021-06-05,-119291417,-119291417,0,ETHUSD
2021-06-06,989618976,989618976,0,ETHUSD
2021-06-07,147943625,147943625,0,ETHUSD
2021-06-08,4413752216,4413752216,0,ETHUSD
2021-06-09,6457740876,6457740876,0,ETHUSD
2021-06-10,-1080510995,-1080510995,0,ETHUSD
2021-06-11,62720398,62720398,0,ETHUSD
2021-06-12,-29959585,-29959585,0,ETHUSD
2021-06-13,-61017879,-61017879,0,ETHUSD
2021-06-14,-33738530,-33738530,0,ETHUSD
2021-06-15,2106424618,2106424618,0,ETHUSD
2021-06-16,21680018,21680018,0,ETHUSD
2021-06-17,20768609,20768609,0,ETHUSD
2021-06-18,6911290582,6911290582,0,ETHUSD
2021-06-21,6006682084,6006682084,0,ETHUSD
2021-06-22,1810959223,1810959223,0,ETHUSD
2021-06-23,539503900,539503900,0,ETHUSD
2021-06-24,-545615548,-545615548,0,ETHUSD
2021-06-25,-85241756,-85241756,0,ETHUSD
2021-06-26,-1567369530,-1567369530,0,ETHUSD
2021-06-27,66849735,66849735,0,ETHUSD
2021-06-28,-12223020,-12223020,0,ETHUSD
2021-06-29,77876018,77876018,0,ETHUSD
2021-06-30,-3505648032,-3505648032,0,ETHUSD
2021-07-01,-5171457048,-5171457048,0,ETHUSD
2021-07-02,-4471941611,-4471941611,0,ETHUSD
2021-07-05,86857965,86857965,0,ETHUSD
2021-07-06,33465667,33465667,0,ETHUSD
2021-07-07,46314245,46314245,0,ETHUSD
2021-07-08,3810726288,3810726288,0,ETHUSD
2021-07-09,3512371210,3512371210,0,ETHUSD
2021-07-26,-2095405,-2095405,0,ETHUSD
2021-07-27,66054262,66054262,0,ETHUSD
2021-07-28,2280696980,2280696980,0,ETHUSD
2021-07-29,42088539,42088539,0,ETHUSD
2021-07-30,87505134,87505134,0,ETHUSD
2021-07-31,64073236,64073236,0,ETHUSD
2021-08-01,36148646,36148646,0,ETHUSD
2021-08-02,28631486,28631486,0,ETHUSD
2021-08-03,-2767777671,-2767777671,0,ETHUSD
2021-08-07,414655,414655,0,ETHUSD
2021-08-08,1643527378,1643527378,0,ETHUSD
2021-08-09,6715633054,6715633054,0,ETHUSD
2021-08-10,133819463,133819463,0,ETHUSD
2021-08-11,-304768670,-304768670,0,ETHUSD
2021-08-12,-399186499,-399186499,0,ETHUSD
2021-08-13,474907081,474907081,0,ETHUSD
2021-08-14,241230095,241230095,0,ETHUSD
2021-08-15,237316937,237316937,0,ETHUSD
2021-08-16,48210357,48210357,0,ETHUSD
2021-08-17,265384046,265384046,0,ETHUSD
2021-08-18,2492568172,2492568172,0,ETHUSD
2021-08-19,2675143612,2675143612,0,ETHUSD
2021-08-25,596648886,596648886,0,ETHUSD
2021-08-26,4042781186,4042781186,0,ETHUSD
2021-08-28,118756422,118756422,0,ETHUSD
2021-08-29,369566915,369566915,0,ETHUSD
2021-08-30,689917284,689917284,0,ETHUSD
2021-09-02,-27648203,-27648203,0,ETHUSD
2021-09-03,1772439809,1772439809,0,ETHUSD
2021-09-04,-192896769,-192896769,0,ETHUSD
2021-09-05,-106490148,-106490148,0,ETHUSD
2021-09-06,-138487093,-138487093,0,ETHUSD
2021-09-07,-116146455,-116146455,0,ETHUSD
2021-09-08,-2688047396,-2688047396,0,ETHUSD
2021-09-09,-191941366,-191941366,0,ETHUSD
2021-09-10,-198406603,-198406603,0,ETHUSD
2021-09-11,-136965889,-136965889,0,ETHUSD
2021-09-12,-93751513,-93751513,0,ETHUSD
2021-09-13,-70492181,-70492181,0,ETHUSD
2021-09-14,-23689465,-23689465,0,ETHUSD
2021-09-15,-66889458,-66889458,0,ETHUSD
2021-09-16,476264441,476264441,0,ETHUSD
2021-09-17,43382739,43382739,0,ETHUSD
2021-09-18,1409013703,1409013703,0,ETHUSD
2021-09-19,29246123,29246123,0,ETHUSD
2021-09-20,1620968893,1620968893,0,ETHUSD
2021-09-21,10784064942,10784064942,0,ETHUSD
2021-09-22,1941827412,1941827412,0,ETHUSD
2021-09-23,1123082319,1123082319,0,ETHUSD
2021-09-24,4114128081,4114128081,0,ETHUSD
2021-09-25,96324495,96324495,0,ETHUSD
2021-09-26,2333927093,2333927093,0,ETHUSD
2021-09-27,2716448776,2716448776,0,ETHUSD
2021-09-29,17388872,17388872,0,ETHUSD
2021-09-30,62848364,62848364,0,ETHUSD
2021-10-01,147451420,147451420,0,ETHUSD
2021-10-02,40501013,40501013,0,ETHUSD
2021-10-03,20339860,20339860,0,ETHUSD
2021-10-04,20448920,20448920,0,ETHUSD
2021-10-05,20237240,20237240,0,ETHUSD
2021-10-06,25253695,25253695,0,ETHUSD
2021-10-07,72598108,72598108,0,ETHUSD
2021-10-08,37716357,37716357,0,ETHUSD
2021-10-09,145102450,145102450,0,ETHUSD
2021-10-10,37554974,37554974,0,ETHUSD
2021-10-11,38081044,38081044,0,ETHUSD
2021-10-12,93500430,93500430,0,ETHUSD
2021-10-13,-1596957520,-1596957520,0,ETHUSD
2021-10-14,215530773,215530773,0,ETHUSD
2021-10-15,311830008,311830008,0,ETHUSD
2021-10-16,250790428,250790428,0,ETHUSD
2021-10-17,222216514,222216514,0,ETHUSD
2021-10-18,246933265,246933265,0,ETHUSD
2021-10-19,235631222,235631222,0,ETHUSD
2021-10-20,227153073,227153073,0,ETHUSD
2021-10-21,-1098362916,-1098362916,0,ETHUSD
2021-10-22,-4699052865,-4699052865,0,ETHUSD
2021-10-23,-2335823483,-2335823483,0,ETHUSD
2021-10-24,247220214,247220214,0,ETHUSD
2021-10-25,232943556,232943556,0,ETHUSD
2021-10-26,248379142,248379142,0,ETHUSD
2021-10-27,175672713,175672713,0,ETHUSD
2021-10-28,114527408,114527408,0,ETHUSD
2021-10-29,175219047,175219047,0,ETHUSD
2021-10-30,352647686,352647686,0,ETHUSD
2021-10-31,202097983,202097983,0,ETHUSD
2021-11-01,165779992,165779992,0,ETHUSD
2021-11-02,225331387,225331387,0,ETHUSD
2021-11-03,271210575,271210575,0,ETHUSD
2021-11-04,171478272,171478272,0,ETHUSD
2021-11-05,-2270439541,-2270439541,0,ETHUSD
2021-11-06,138965506,138965506,0,ETHUSD
2021-11-07,91070267,91070267,0,ETHUSD
2021-11-08,166444317,166444317,0,ETHUSD
2021-11-09,173702473,173702473,0,ETHUSD
2021-11-10,55123050,55123050,0,ETHUSD
2021-11-11,196932960,196932960,0,ETHUSD
2021-11-12,81337555,81337555,0,ETHUSD
2021-11-13,139113834,139113834,0,ETHUSD
2021-11-14,97926583,97926583,0,ETHUSD
2021-11-15,41591130,41591130,0,ETHUSD
2021-11-16,-6997979686,-6997979686,0,ETHUSD
2021-11-17,-6207154522,-6207154522,0,ETHUSD
2021-11-18,100563935,100563935,0,ETHUSD
2021-11-19,-3403557975,-3403557975,0,ETHUSD
2021-11-26,1845388,1845388,0,ETHUSD
2021-11-27,1176690015,1176690015,0,ETHUSD
2021-11-28,709978953,709978953,0,ETHUSD
