posting_date,model_sat,wallet_sat,residual_sat,symbol
2020-11-07,-24786586,-24786586,0,LINKUSDT
2021-05-01,41743936,41743936,0,LINKUSDT
2021-05-02,52395999,52395999,0,LINKUSDT
2021-05-03,67907591,67907591,0,LINKUSDT
2021-05-04,61026262,61026262,0,LINKUSDT
2021-05-05,43549845,43549845,0,LINKUSDT
2021-05-06,71324589,71324589,0,LINKUSDT
2021-05-07,87961101,87961101,0,LINKUSDT
2021-05-08,-1595619335,-1595619335,0,LINKUSDT
2021-05-09,32721646,32721646,0,LINKUSDT
2021-05-10,24169082,24169082,0,LINKUSDT
2021-05-11,-1011845342,-1011845342,0,LINKUSDT
2021-05-12,16878151,16878151,0,LINKUSDT
2021-05-13,-6590013,-6590014,1,LINKUSDT
2021-05-14,36303600,36303600,0,LINKUSDT
2021-05-15,21997448,21997448,0,LINKUSDT
2021-05-16,19851400,19851400,0,LINKUSDT
2021-05-17,276383335,276383336,-1,LINKUSDT
