posting_date,model_sat,wallet_sat,residual_sat,symbol
2021-05-01,24718736,24718736,0,LTCUSD
2021-05-02,26690285,26690285,0,LTCUSD
2021-05-03,21945506,21945506,0,LTCUSD
2021-05-04,37617372,37617372,0,LTCUSD
2021-05-05,17452916,17452916,0,LTCUSD
2021-05-06,16793068,16793068,0,LTCUSD
2021-05-07,103901773,103901773,0,LTCUSD
2021-05-08,39077192,39077192,0,LTCUSD
2021-05-09,43913064,43913064,0,LTCUSD
2021-05-10,55352879,55352879,0,LTCUSD
2021-05-11,-3057842381,-3057842381,0,LTCUSD
2021-05-12,9073274,9073274,0,LTCUSD
2021-05-13,-43773820,-43773820,0,LTCUSD
2021-05-14,46312975,46312975,0,LTCUSD
2021-05-15,6141735,6141735,0,LTCUSD
2021-05-16,15810649,15810649,0,LTCUSD
2021-05-17,169723984,169723984,0,LTCUSD
2021-05-18,145627577,145627577,0,LTCUSD
2021-06-04,25158190,25158190,0,LTCUSD
2021-06-05,11486158,11486158,0,LTCUSD
2021-06-06,4571331,4571331,0,LTCUSD
2021-06-07,6733173,6733173,0,LTCUSD
2021-06-08,5836615,5836615,0,LTCUSD
2021-06-09,3371353,3371353,0,LTCUSD
2021-06-10,651275877,651275877,0,LTCUSD
2021-06-11,1227711547,1227711547,0,LTCUSD
2021-09-18,407506,407506,0,LTCUSD
2021-09-19,2943691,2943691,0,LTCUSD
2021-09-20,2305274,2305274,0,LTCUSD
2021-09-21,2389513,2389513,0,LTCUSD
2021-09-22,481243244,481243244,0,LTCUSD
2021-09-23,3582642,3582642,0,LTCUSD
2021-09-24,3870703,3870703,0,LTCUSD
2021-09-25,3607472,3607472,0,LTCUSD
2021-09-26,1571501054,1571501054,0,LTCUSD
