posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-07-19,50264313,50264313,0,TRXU18
2018-07-20,24594638,24594638,0,TRXU18
2018-07-21,37369,37369,0,TRXU18
2018-07-22,2967634,2967634,0,TRXU18
2018-07-23,4893048,4893048,0,TRXU18
2018-07-24,25715560,25715560,0,TRXU18
2018-07-25,71062161,71062161,0,TRXU18
2018-07-30,34302209,34302209,0,TRXU18
2018-08-01,7471083,7471083,0,TRXU18
2018-08-03,182250,182250,0,TRXU18
2018-08-04,15188957,15188957,0,TRXU18
2018-08-08,-18,-18,0,TRXU18
2018-08-14,5219669,5219669,0,TRXU18
2018-08-15,71377534,71377534,0,TRXU18
2018-08-16,2413314,2413314,0,TRXU18
2018-08-18,45870180,45870180,0,TRXU18
2018-08-19,16551241,16551241,0,TRXU18
2018-08-29,10335756,10335756,0,TRXU18
