posting_date,model_sat,wallet_sat,residual_sat,symbol
2020-01-17,607645,607645,0,XBTH20
2020-01-21,1675853001,1675853001,0,XBTH20
2020-01-22,10162430,10162430,0,XBTH20
2020-01-29,7805536,7805536,0,XBTH20
2020-01-31,1302103,1302103,0,XBTH20
2020-02-05,373650132,373650132,0,XBTH20
2020-02-06,3430273,3430273,0,XBTH20
2020-02-17,-1457585737,-1457585737,0,XBTH20
2020-02-18,-46074963,-46074963,0,XBTH20
2020-02-26,7861675,7861675,0,XBTH20
2020-02-27,-2373542887,-2373542887,0,XBTH20
2020-03-13,13380144161,13380144161,0,XBTH20
2020-03-15,336539365,336539365,0,XBTH20
2020-03-27,4239,4239,0,XBTH20
