posting_date,model_sat,wallet_sat,residual_sat,symbol
2021-06-19,9612398,9612398,0,XBTU21
2021-06-21,-2597410170,-2597410170,0,XBTU21
2021-06-22,-2694734890,-2694734890,0,XBTU21
2021-06-24,6293115,6293115,0,XBTU21
2021-06-25,3841581,3841581,0,XBTU21
2021-06-26,-1536057656,-1536057656,0,XBTU21
2021-07-01,3012028,3012028,0,XBTU21
2021-08-10,6880783761,6880783761,0,XBTU21
2021-08-11,7083031094,7083031094,0,XBTU21
2021-08-14,4905590048,4905590048,0,XBTU21
2021-09-06,12569412011,12569412011,0,XBTU21
