posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-03-05,-1910004,-1910004,0,XBTUSD
2018-03-06,-6358364,-6358364,0,XBTUSD
2018-03-07,-1547227,-1547227,0,XBTUSD
2018-03-08,4735248,4735248,0,XBTUSD
2018-03-09,3630907,3630907,0,XBTUSD
2018-03-10,-6403106,-6403106,0,XBTUSD
2018-03-11,-3507086,-3507086,0,XBTUSD
2018-03-12,4152832,4152832,0,XBTUSD
2018-03-13,-21090265,-21090265,0,XBTUSD
2018-03-14,-31394156,-31394156,0,XBTUSD
2018-03-15,32075933,32075933,0,XBTUSD
2018-03-16,49775425,49775425,0,XBTUSD
2018-03-17,22969383,22969383,0,XBTUSD
2018-03-19,8837371,8837371,0,XBTUSD
2018-03-20,116909836,116909836,0,XBTUSD
2018-03-21,-244125250,-244125250,0,XBTUSD
2018-03-22,48534757,48534757,0,XBTUSD
2018-03-29,-4377354,-4377354,0,XBTUSD
2018-03-30,83256038,83256038,0,XBTUSD
2018-03-31,36407160,36407160,0,XBTUSD
2018-04-01,-39384601,-39384601,0,XBTUSD
2018-04-02,-57338557,-57338557,0,XBTUSD
2018-04-03,-38825229,-38825229,0,XBTUSD
2018-04-04,3698744,3698744,0,XBTUSD
2018-04-05,10228935,10228935,0,XBTUSD
2018-04-06,24791006,24791006,0,XBTUSD
2018-04-07,-3974904,-3974904,0,XBTUSD
2018-04-08,54105,54105,0,XBTUSD
2018-04-09,27955181,27955181,0,XBTUSD
2018-04-10,13478235,13478235,0,XBTUSD
2018-04-12,632753,632753,0,XBTUSD
2018-04-13,4633657,4633657,0,XBTUSD
2018-04-14,56330627,56330627,0,XBTUSD
2018-04-15,-74601730,-74601730,0,XBTUSD
2018-04-16,45716144,45716144,0,XBTUSD
2018-04-17,99587101,99587101,0,XBTUSD
2018-04-18,86710942,86710942,0,XBTUSD
2018-04-19,-120570108,-120570108,0,XBTUSD
2018-04-20,37481502,37481502,0,XBTUSD
2018-04-21,37951682,37951682,0,XBTUSD
2018-04-22,7038462,7038462,0,XBTUSD
2018-04-23,8980670,8980670,0,XBTUSD
2018-04-24,84361648,84361648,0,XBTUSD
2018-04-25,-6876912,-6876912,0,XBTUSD
2018-04-26,170204947,170204947,0,XBTUSD
2018-04-27,1718121,1718121,0,XBTUSD
2018-04-28,54595876,54595876,0,XBTUSD
2018-04-29,-1731985,-1731985,0,XBTUSD
2018-04-30,496625,496625,0,XBTUSD
2018-05-02,3889155,3889155,0,XBTUSD
2018-05-04,-20595195,-20595195,0,XBTUSD
2018-05-06,2585069,2585069,0,XBTUSD
2018-05-07,12949628,12949628,0,XBTUSD
2018-05-12,214067210,214067210,0,XBTUSD
2018-05-13,9434026,9434026,0,XBTUSD
2018-05-14,9101193,9101193,0,XBTUSD
2018-05-15,4451860,4451860,0,XBTUSD
2018-05-16,87982015,87982015,0,XBTUSD
2018-05-17,13314440,13314440,0,XBTUSD
2018-05-19,3558972,3558972,0,XBTUSD
2018-05-20,10117951,10117951,0,XBTUSD
2018-05-21,-1761548,-1761548,0,XBTUSD
2018-05-22,8576357,8576357,0,XBTUSD
2018-05-23,-68722243,-68722243,0,XBTUSD
2018-05-24,-477220696,-477220696,0,XBTUSD
2018-05-25,45044602,45044602,0,XBTUSD
2018-05-26,139148116,139148116,0,XBTUSD
2018-05-27,-18900711,-18900711,0,XBTUSD
2018-05-28,-11788962,-11788962,0,XBTUSD
2018-05-29,6082273,6082273,0,XBTUSD
2018-05-30,51943196,51943196,0,XBTUSD
2018-05-31,42819050,42819050,0,XBTUSD
2018-06-01,46473340,46473340,0,XBTUSD
2018-06-02,3,3,0,XBTUSD
2018-06-03,-576007,-576007,0,XBTUSD
2018-06-04,29414559,29414559,0,XBTUSD
2018-06-05,47414512,47414512,0,XBTUSD
2018-06-06,7865738,7865738,0,XBTUSD
2018-06-07,20136839,20136839,0,XBTUSD
2018-06-08,7,7,0,XBTUSD
2018-06-09,7,7,0,XBTUSD
2018-06-10,24721342,24721342,0,XBTUSD
2018-06-11,35124042,35124042,0,XBTUSD
2018-06-12,-2267319,-2267319,0,XBTUSD
2018-06-13,26878917,26878917,0,XBTUSD
2018-06-14,31233244,31233244,0,XBTUSD
2018-06-15,63469436,63469436,0,XBTUSD
