posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-07-19,105748555,105748555,0,XRPU18
2018-07-20,17515434,17515434,0,XRPU18
2018-07-21,-268236153,-268236153,0,XRPU18
2018-08-01,16764042,16764042,0,XRPU18
2018-08-03,1410,1410,0,XRPU18
2018-08-09,2074713,2074713,0,XRPU18
2018-08-18,11767434,11767434,0,XRPU18
2018-09-18,-1090052,-1090052,0,XRPU18
2018-09-19,-233635353,-233635353,0,XRPU18
2018-09-21,74814531,74814531,0,XRPU18
2018-09-22,-1525761046,-1525761046,0,XRPU18
2018-09-24,2026499,2026499,0,XRPU18
2018-09-26,17113404,17113404,0,XRPU18
2018-09-27,6750538,6750538,0,XRPU18
