posting_date,model_sat,wallet_sat,residual_sat,symbol
2020-11-24,464399534,464399534,0,XRPUSD
2020-12-24,4509074786,4509074786,0,XRPUSD
2020-12-25,13382,13382,0,XRPUSD
2020-12-26,7816,7816,0,XRPUSD
2020-12-27,-599,-599,0,XRPUSD
2020-12-28,120900,120900,0,XRPUSD
2020-12-30,216778803,216778803,0,XRPUSD
2020-12-31,14984301,14984301,0,XRPUSD
2021-01-01,10421282,10421282,0,XRPUSD
2021-01-02,-2010536,-2010536,0,XRPUSD
2021-01-03,-1905705,-1905705,0,XRPUSD
2021-01-04,-23361301,-23361301,0,XRPUSD
2021-01-05,742319130,742319130,0,XRPUSD
2021-02-01,825062348,825062348,0,XRPUSD
2021-02-02,782280890,782280890,0,XRPUSD
2021-02-05,40256997,40256997,0,XRPUSD
2021-02-06,37567050,37567050,0,XRPUSD
2021-02-07,7034204,7034204,0,XRPUSD
2021-02-08,3059622,3059622,0,XRPUSD
2021-02-09,-131147718,-131147718,0,XRPUSD
2021-05-01,22383110,22383110,0,XRPUSD
2021-05-02,-7191215,-7191215,0,XRPUSD
2021-05-03,119991416,119991416,0,XRPUSD
2021-05-04,159070641,159070641,0,XRPUSD
2021-05-05,1441967605,1441967605,0,XRPUSD
2021-05-06,-424144069,-424144069,0,XRPUSD
2021-05-07,47946583,47946583,0,XRPUSD
2021-05-08,25948467,25948467,0,XRPUSD
2021-05-09,33675073,33675073,0,XRPUSD
2021-05-10,20292694,20292694,0,XRPUSD
2021-05-11,54068679,54068679,0,XRPUSD
2021-05-12,-201638921,-201638921,0,XRPUSD
2021-05-13,920702653,920702653,0,XRPUSD
2021-05-14,232497002,232497002,0,XRPUSD
2021-05-15,19153620,19153620,0,XRPUSD
2021-05-16,20530397,20530397,0,XRPUSD
2021-05-17,51447929,51447929,0,XRPUSD
2021-06-04,33017947,33017947,0,XRPUSD
2021-06-05,4951639,4951639,0,XRPUSD
2021-06-06,13896002,13896002,0,XRPUSD
2021-06-07,14693181,14693181,0,XRPUSD
2021-06-08,14625750,14625750,0,XRPUSD
2021-06-09,3641329,3641329,0,XRPUSD
2021-06-10,743391181,743391181,0,XRPUSD
2021-06-11,1745045389,1745045389,0,XRPUSD
2021-06-23,-69326603,-69326603,0,XRPUSD
2021-06-24,-721995500,-721995500,0,XRPUSD
2021-08-02,3171916,3171916,0,XRPUSD
2021-08-03,1021847062,1021847062,0,XRPUSD
2021-09-18,281214,281214,0,XRPUSD
2021-09-19,6312605,6312605,0,XRPUSD
2021-09-20,5037928,5037928,0,XRPUSD
2021-09-21,2092867,2092867,0,XRPUSD
2021-09-22,1329629869,1329629869,0,XRPUSD
2021-09-23,19892043,19892043,0,XRPUSD
2021-09-24,4479936,4479936,0,XRPUSD
2021-09-25,6045422,6045422,0,XRPUSD
2021-09-26,1917818075,1917818075,0,XRPUSD
2021-09-30,11548739,11548739,0,XRPUSD
2021-10-01,14938339,14938339,0,XRPUSD
2021-10-02,17417458,17417458,0,XRPUSD
2021-10-03,9596622,9596622,0,XRPUSD
2021-10-04,13381161,13381161,0,XRPUSD
2021-10-05,10163529,10163529,0,XRPUSD
2021-10-06,15115196,15115196,0,XRPUSD
2021-10-07,15589214,15589214,0,XRPUSD
2021-10-08,8030289,8030289,0,XRPUSD
2021-10-09,44241859,44241859,0,XRPUSD
2021-10-10,55341110,55341110,0,XRPUSD
2021-10-11,52610879,52610879,0,XRPUSD
2021-10-12,37320499,37320499,0,XRPUSD
2021-10-13,19844400,19844400,0,XRPUSD
2021-10-14,30498438,30498438,0,XRPUSD
2021-10-15,55173267,55173267,0,XRPUSD
2021-10-16,46516145,46516145,0,XRPUSD
2021-10-17,76553672,76553672,0,XRPUSD
2021-10-18,81672488,81672488,0,XRPUSD
2021-10-19,64388383,64388383,0,XRPUSD
2021-10-20,37522976,37522976,0,XRPUSD
2021-10-21,56325609,56325609,0,XRPUSD
2021-10-22,67073332,67073332,0,XRPUSD
2021-10-23,58795178,58795178,0,XRPUSD
2021-10-24,61285238,61285238,0,XRPUSD
2021-10-25,77962456,77962456,0,XRPUSD
2021-10-26,39232838,39232838,0,XRPUSD
2021-10-27,63500640,63500640,0,XRPUSD
2021-10-28,17055598,17055598,0,XRPUSD
2021-10-29,26043096,26043096,0,XRPUSD
2021-10-30,43325879,43325879,0,XRPUSD
2021-10-31,30335905,30335905,0,XRPUSD
2021-11-01,23498019,23498019,0,XRPUSD
2021-11-02,34811712,34811712,0,XRPUSD
2021-11-03,50930381,50930381,0,XRPUSD
2021-11-04,48763923,48763923,0,XRPUSD
2021-11-05,55931834,55931834,0,XRPUSD
2021-11-06,51809228,51809228,0,XRPUSD
2021-11-07,41002123,41002123,0,XRPUSD
2021-11-08,34412792,34412792,0,XRPUSD
2021-11-09,79922229,79922229,0,XRPUSD
2021-11-10,56289561,56289561,0,XRPUSD
2021-11-11,81540607,81540607,0,XRPUSD
2021-11-12,42708309,42708309,0,XRPUSD
2021-11-13,46766670,46766670,0,XRPUSD
2021-11-14,33311116,33311116,0,XRPUSD
2021-11-15,32904681,32904681,0,XRPUSD
2021-11-16,36635735,36635735,0,XRPUSD
2021-11-17,14564555,14564555,0,XRPUSD
2021-11-18,41765870,41765870,0,XRPUSD
2021-11-19,-810030938,-810030938,0,XRPUSD
