posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-10-03,9932820,9932820,0,XRPZ18
2018-10-07,54989979,54989979,0,XRPZ18
2018-10-10,5590397,5590397,0,XRPZ18
2018-11-06,-146801341,-146801341,0,XRPZ18
2018-11-07,48158909,48158909,0,XRPZ18
2018-11-08,-16261496,-16261496,0,XRPZ18
2018-11-09,113533542,113533542,0,XRPZ18
2018-11-13,50644589,50644589,0,XRPZ18
2018-11-14,14858797,14858797,0,XRPZ18
2018-11-18,-1957323,-1957323,0,XRPZ18
2018-11-19,8360374,8360374,0,XRPZ18
2018-12-18,-99008140,-99008140,0,XRPZ18
