posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-08-04,-19097832,-19097833,1,ETHU18
2018-08-05,7882225,7882226,-1,ETHU18
2021-05-13,-6590013,-6590014,1,LINKUSDT
2021-05-17,276383335,276383336,-1,LINKUSDT
2018-07-19,249581815,249581814,1,XBTUSD
2018-07-20,115292224,115292225,-1,XBTUSD
2018-08-05,-387063996,-387063998,2,XBTUSD
2018-08-06,51604308,51604310,-2,XBTUSD
2018-08-08,29095990,29095989,1,XBTUSD
2018-08-09,170312383,170312384,-1,XBTUSD
2018-12-29,15133352,15133353,-1,XBTUSD
2018-12-30,-58399629,-58399630,1,XBTUSD
2019-02-20,148211856,148211857,-1,XBTUSD
2019-02-21,144115785,144115784,1,XBTUSD
2021-04-18,9111990835,9111990836,-1,XBTUSD
2021-04-20,2901955248,2901955247,1,XBTUSD
