date,gross_btc_contracts_btc,gross_alt_contracts_btc,fee_credit_btc,funding_credit_btc,unrealised_change_btc,wallet_btc_fx_usd,prior_unrealised_fx_usd,gross_btc_contracts_usd,gross_alt_contracts_usd,fee_credit_usd,funding_credit_usd,unrealised_change_usd,flow_usd_eod,reference_gain_usd,decomposition_complete,residual_usd
2018-03-05,-0.06689,0.0,-0.01235355,0.00556325,-0.0035112554999791046,0.0,0.0,-771.9549026231145,0.0,-142.5681490103121,64.20358965492662,-40.52221404651286,1990.1448629520628,-890.8416760250127,True,2.2737367544323206e-13
2018-03-06,-0.0106788,0.0,-0.01299692,-0.00079993,0.0035112554999791046,-85.297019051476,3.032415368688177,-114.01792382329815,0.0,-138.76857273265725,-8.540880792221119,37.48979867782468,0.0,-306.1021823531398,True,-2.2737367544323206e-13
2018-03-07,0.0,0.0,-0.0,0.0,0.0,-57.49705310439091,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-57.49705310439094,True,-3.552713678800501e-14
2018-03-08,0.08101731,0.0,-0.0328934,-0.00077143,0.0,-42.53938448908096,-0.0,755.9300222191613,0.0,-306.9110612641146,-7.197808678670368,0.0,0.0,399.2817677872954,True,0.0
2018-03-09,0.04257246,0.0,-0.04601862,-0.00010518,0.0,-6.36633338892865,-0.0,394.99320930209257,0.0,-426.96716143378757,-0.9758746794146755,0.0,0.0,-39.31616020003821,True,9.947598300641403e-14
2018-03-10,0.01368833,0.0,-0.03307832,-0.00593189,-0.0016026601568737975,-58.05128311581583,-0.0,120.27333863693963,0.0,-290.64465737610453,-52.120909908445796,-14.08187030613764,0.0,-294.6253820695639,True,2.8421709430404007e-13
2018-03-11,0.02078932,0.0,-0.01911031,0.0,0.0016026601568737975,67.44120687021847,-1.165093830076117,197.77993175706789,0.0,-181.8066106855064,0.0,15.246964136213757,0.0,97.49639824791723,True,-3.694822225952521e-13
2018-03-12,-0.11581336,0.0,-0.02480386,0.00049884,0.0,-34.53469732956724,-0.0,-1059.447898725847,0.0,-226.90298733488163,4.5633335376885835,0.0,452.82056393950944,-1316.3222498526072,True,0.0
2018-03-13,0.29607486,0.0,-0.21954113,0.01889512,0.119164119709959,0.0484634571372595,0.0,2712.2064663491487,0.0,-2011.1159468777562,173.08955798017817,1091.6080346509489,3755.8226024430137,1965.8365755596565,True,-2.2737367544323206e-13
2018-03-14,-0.26548303,0.0,-0.02525167,0.00045207,-0.119164119709959,-477.89675039145493,-111.8254800672941,-2182.835252466269,0.0,-207.62244373828685,3.7169770609534867,-979.7825545836548,3438.2969380835934,-3956.2455041860053,True,1.3642420526593924e-12
2018-03-15,0.18239973,0.0,-0.03885997,0.0,0.0,29.603308416324623,0.0,1508.1884234145439,0.0,-321.3171252404621,0.0,0.0,0.0,1216.4746065904064,True,0.0
2018-03-16,0.85415133,0.0,-0.16096119,0.0,0.0,84.56098311095415,0.0,7155.14411846035,0.0,-1348.3565165541322,0.0,0.0,0.0,5891.348585017171,True,-9.094947017729282e-13
2018-03-17,0.08665238,0.0,-0.06066083,0.00154359,-2.220446049250313e-16,-729.9293537172796,-0.0,682.9647637679367,0.0,-478.10815387779263,12.1660545238867,-1.7500805072932656e-12,0.0,-512.9066893032486,True,1.9326762412674725e-12
2018-03-18,0.0,0.0,-0.0,0.0,2.220446049250313e-16,461.4679072197632,-6.824647483933089e-14,0.0,0.0,-0.0,0.0,1.8183269821325965e-12,0.0,461.46790721976504,True,5.684341886080802e-14
2018-03-19,1.21799605,0.0,-0.05888988,-0.00541168,0.0,522.4916829509403,0.0,10398.051307991682,0.0,-502.7438256154223,-46.19959670840675,0.0,0.0,10371.599568618794,True,1.8189894035458565e-12
2018-03-20,-2.17423224,0.0,-0.18325509,0.0078253,0.27118483457722675,951.9414720770567,0.0,-19340.985469316394,0.0,-1630.1542989116324,69.6103253408852,2412.337490247644,10363.600501509947,-17537.25048056244,True,0.0
2018-03-21,0.91911098,0.0,-0.12890051,-0.01201287,-0.22934567269845996,-23.45849265055791,-4.32619066543272,8161.332579163111,0.0,-1144.584228265601,-106.66941145698331,-2036.4965180635975,0.0,4845.797738060935,True,-2.7284841053187847e-12
2018-03-22,-0.09859172,0.0,-0.1876142,0.005543,-0.041839161878766795,-379.8679950033909,-7.067861226193317,-858.7994382977272,0.0,-1634.2444332716527,48.283215735401534,-364.44692029242015,-17142.737806017638,-3196.1434323559806,True,2.2737367544323206e-12
2018-03-23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,True,0.0
2018-03-24,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,True,0.0
