date,selection_score
2021-05-20,-281.83947272
2020-10-21,-146.1261631
2020-12-28,-129.99868839
2020-04-03,-110.02862944
2021-05-06,-109.37509876
2021-10-13,-105.70162143
2021-06-26,-96.76626656
2021-06-10,-91.64201166
2021-05-11,-90.12874258
2021-02-09,-82.18520875
2020-03-20,-78.8517813
2021-10-22,-76.85034747
2021-11-16,-75.11523338
2019-04-02,-74.76784228
2021-03-13,-73.64953181
2021-11-17,-67.30700401
2021-10-21,-67.17253017
2020-09-17,-62.37905103
2020-12-01,-61.5920771
2020-12-17,-57.98047425
2021-06-23,-57.49828968
2020-11-09,-57.3174462
