horizon_days,metric,events,valid_events,median_change,fraction_decreasing,matched_pairs,median_change_minus_control
1,btc_short_hours,7,7,0.0,0.42857142857142855,4,-8.233362718749998
1,median_order_usd,7,4,-50000.0,0.5,2,-1414761.25
1,orders,7,7,0.0,0.2857142857142857,4,-3.5
1,peak_btc_gross_face_usd,7,7,-15000057.0,0.7142857142857143,4,-20221924.5
1,peak_to_prior_equity,7,7,-0.4447588289771913,0.5714285714285714,4,-1.9194000078303852
7,btc_short_hours,7,7,0.0,0.42857142857142855,4,-17.27353856013889
7,median_order_usd,7,6,601185.7928571429,0.16666666666666666,4,-196722.5833333333
7,orders,7,7,0.2857142857142857,0.42857142857142855,4,-1.8571428571428568
7,peak_btc_gross_face_usd,7,7,-2821851.857142858,0.5714285714285714,4,-11547418.5
7,peak_to_prior_equity,7,7,-0.1360350838397908,0.5714285714285714,4,-1.133531129746657
30,btc_short_hours,7,7,-4.568554095675925,0.7142857142857143,4,-5.7606744934120435
30,median_order_usd,7,7,164637.45217391307,0.2857142857142857,4,196591.90615170167
30,orders,7,7,2.5666666666666664,0.42857142857142855,4,1.8499999999999988
30,peak_btc_gross_face_usd,7,7,4126102.5666666664,0.14285714285714285,4,2724133.5166666666
30,peak_to_prior_equity,7,7,0.0824132934239794,0.42857142857142855,4,0.31434755383417995
